变量名,describes,quality,describeStage,triggerTimes,triggerCondition,keyWords,aidID
21421,#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#220%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标30%物防,,对敌方生命最低单体造成220%物攻加成的物理伤害，本次伤害无视目标30%物防,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21422,#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标30%物防,2,伤害系数提升至260%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21423,#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标50%物防,3,本次伤害无视目标50%物防,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21424,#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标50%物防,4,伤害系数提升至300%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21425,"#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标50%物防,若目标生命比例低于30%,本次助战技伤害提升30%",5,若目标生命比例低于30%，本次助战技伤害提升30%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21426,"#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标50%物防,若目标生命比例低于30%,本次助战技伤害提升30%",6,伤害系数提升至340%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21427,"#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标50%物防,若目标生命比例低于30%,本次助战技伤害提升30%;本次攻击前有40%概率提升30%物攻",7,本次攻击前有40%概率提升30%物攻,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21428,"#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标50%物防,若目标生命比例低于30%,本次助战技伤害提升30%;本次攻击前有40%概率提升30%物攻",8,伤害系数提升至380%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21429,"#L10#助战技能效果：#L0#对敌方血量最低目标造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，本次伤害无视目标50%物防,若目标生命比例低于30%,本次助战技伤害提升30%;本次攻击前有80%概率提升30%物攻",9,本次攻击前有80%概率提升30%物攻,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#释放必杀技时触发,,1421
21891,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机1个敌人添加1层【撕裂】1回合,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】>,1891
21892,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机1个敌人添加1层【撕裂】1回合,2,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】>,1891
21893,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机2个敌人添加1层【撕裂】1回合,3,对随机2个敌人添加1层【撕裂】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】>,1891
21894,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机2个敌人添加1层【撕裂】1回合,4,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】>,1891
21895,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机2个敌人添加1层【撕裂】2回合,5,对随机2个敌人添加1层【撕裂】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】>,1891
21896,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机2个敌人添加1层【撕裂】2回合,6,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】>,1891
21897,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机2个敌人添加1层【撕裂】2回合；获得【撕裂】的目标额外获得【易伤Ⅰ】1回合,7,获得【撕裂】的目标额外获得【易伤Ⅰ】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】;【易伤Ⅰ】>,1891
21898,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#240%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机2个敌人添加1层【撕裂】2回合；获得【撕裂】的目标额外获得【易伤Ⅰ】1回合,8,伤害系数提升至240%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】;【易伤Ⅰ】>,1891
21899,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#240%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对随机2个敌人添加1层【撕裂】2回合；获得【撕裂】的目标额外获得【易伤Ⅱ】1回合,9,获得【撕裂】的目标额外获得【易伤Ⅱ】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#龙/飞系必杀技时触发,<【撕裂】;【易伤Ⅱ】>,1891
21911,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#40%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为1名友方添加【磐石】，触发1次或1回合后解除,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21912,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#80%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为1名友方添加【磐石】，触发1次或1回合后解除,2,伤害系数提升至80%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21913,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#80%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名友方添加【磐石】，触发1次或1回合后解除,3,为2名友方添加【磐石】，触发1次或1回合后解除,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21914,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名友方添加【磐石】，触发1次或1回合后解除,4,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21915,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名友方添加【磐石】，【磐石】触发2次或1回合后解除,5,【磐石】触发2次或1回合后解除,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21916,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名友方添加【磐石】，【磐石】触发2次或1回合后解除,6,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21917,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名友方添加【磐石】，【磐石】触发2次或1回合后解除；同时提升目标5%伤害减免1回合,7,同时提升目标5%伤害减免1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21918,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名友方添加【磐石】，【磐石】触发2次或1回合后解除；同时提升目标5%伤害减免1回合,8,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21919,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名友方添加【磐石】，【磐石】触发2次或1回合后解除；同时提升目标10%伤害减免1回合,9,同时提升目标10%伤害减免1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#岩系精灵释放必杀技时触发,<【磐石】>,1911
21921,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#40%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为1名冰系友方提升5%反弹率1回合,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21922,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为1名冰系友方提升5%反弹率1回合,2,伤害系数提升至80%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21923,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为2名冰系友方提升5%反弹率1回合,3,为2名冰系友方提升5%反弹率1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21924,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为2名冰系友方提升5%反弹率1回合,4,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21925,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为2名冰系友方提升5%反弹率2回合,5,效果持续回合+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21926,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为2名冰系友方提升5%反弹率2回合,6,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21927,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为2名冰系友方提升5%反弹率2回合；同时提升目标5%生命上限1回合（最高不可超过自身100%特攻值）,7,同时提升目标5%生命上限1回合（最高不可超过自身100%特攻值）,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21928,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为2名冰系友方提升5%反弹率2回合；同时提升目标5%生命上限1回合（最高不可超过自身100%特攻值）,8,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21929,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，为2名冰系友方提升5%反弹率2回合；同时提升目标10%生命上限1回合（最高不可超过自身200%特攻值）,9,同时提升目标10%生命上限1回合（最高不可超过自身200%特攻值）,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#冰系精灵释放必杀技时触发,,1921
21931,#L10#助战技能效果：#L0#对生命最低敌方造成#C0x3D8A99#140%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21932,#L10#助战技能效果：#L0#对生命最低敌方造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）,2,伤害系数提升至180%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21933,#L10#助战技能效果：#L0#对生命最低的2名敌方造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）,3,攻击目标+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21934,#L10#助战技能效果：#L0#对生命最低的2名敌方造成#C0x3D8A99#220%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）,4,伤害系数提升至220%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21935,#L10#助战技能效果：#L0#对生命最低的2名敌方造成#C0x3D8A99#220%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）,5,【助·淘汰】效果的秒杀概率提升至35%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21936,#L10#助战技能效果：#L0#对生命最低的2名敌方造成#C0x3D8A99#260%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）,6,伤害系数提升至260%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21937,#L10#助战技能效果：#L0#对生命最低的2名敌方造成#C0x3D8A99#260%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）；攻击前提升目标5%易伤1回合,7,攻击前提升目标5%易伤1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21938,#L10#助战技能效果：#L0#对生命最低的2名敌方造成#C0x3D8A99#300%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）；攻击前提升目标5%易伤1回合,8,伤害系数提升至300%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21939,#L10#助战技能效果：#L0#对生命最低的2名敌方造成#C0x3D8A99#300%特攻#C0x5B545B#+$(skillLevel*4*90*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，并附加【助·淘汰】效果（对BOSS无效）；攻击前提升目标10%易伤1回合,9,攻击前提升目标10%易伤1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢系精灵释放必杀技时触发,<【助·淘汰】>,1931
21991,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对1名超/钢系队友添加【助·天恩】效果1回合,,对敌方全体造成120%特攻加成的特殊伤害，为1名超/钢系队友添加【助·天恩】效果1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
21992,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对1名超/钢系队友添加【助·天恩】效果1回合,2,系数提升至150%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
21993,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果1回合,3,为2名超/钢系队友添加【助·天恩】效果1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
21994,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果1回合,4,系数提升至180%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
21995,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果2回合,5,【助·天恩】持续回合+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
21996,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果2回合,6,助战次数上限+1,#L10#助战触发次数：#L0#2次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
21997,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果2回合，获得【助·天恩】的目标额外获得基拉祈5%生命上限的护盾,7,获得【助·天恩】的目标额外获得基拉祈5%生命上限的护盾,#L10#助战触发次数：#L0#2次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
21998,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果2回合，获得【助·天恩】的目标额外获得基拉祈10%生命上限的护盾,8,获得【助·天恩】的目标额外获得基拉祈10%生命上限的护盾,#L10#助战触发次数：#L0#2次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
21999,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果2回合，获得【助·天恩】的目标额外获得基拉祈10%生命上限的护盾；许愿灵签添加成功时，为1个生命最低友方治疗基拉祈50%物攻的生命,9,许愿灵签添加成功时，为1个生命最低友方治疗基拉祈50%物攻的生命,#L10#助战触发次数：#L0#2次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
22000,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#210%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果2回合，获得【助·天恩】的目标额外获得基拉祈10%生命上限的护盾；许愿灵签添加成功时，为1个生命最低友方治疗基拉祈50%物攻的生命,10,系数提升至210%,#L10#助战触发次数：#L0#2次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
22001,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#210%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，对2名超/钢系队友添加【助·天恩】效果2回合，获得【助·天恩】的目标额外获得基拉祈10%生命上限的护盾；许愿灵签添加成功时，为1个生命最低友方治疗基拉祈100%物攻的生命,11,许愿灵签添加成功时，为1个生命最低友方治疗基拉祈100%物攻的生命,#L10#助战触发次数：#L0#2次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【助·天恩】>,1991
22242,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#220%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入50%特攻的【波导能量】,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22243,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入50%特攻的【波导能量】,2,伤害系数提升至260%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22244,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入50%特攻的【波导能量】,3,攻击目标+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22245,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入50%特攻的【波导能量】,4,伤害系数提升至300%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22246,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】,5,对目标注入100%特攻的【波导能量】,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22247,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】,6,伤害系数提升至340%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22248,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】；攻击前提升自身5%特攻,7,攻击前提升自身5%特攻,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22249,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】；攻击前提升自身5%特攻,8,伤害系数提升至380%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22250,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】；攻击前提升自身10%特攻,9,攻击前提升自身10%特攻,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2241
22342,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#220%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2243
22343,#L10#助战技能效果：#L0#对敌方单体造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】,2,伤害系数提升至260%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2243
22344,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】,3,攻击目标+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2243
22345,#L10#助战技能效果：#L0#对敌方2名目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*60*2)$的#C0xF13B54#物理伤害#C0x5B545B#，并对主目标注入100%特攻的【波导能量】,4,伤害系数提升至300%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#钢/斗系精灵释放必杀技时触发,<【波导能量】>,2243
