变量名,room,_roomType,_beizhu,icon,weight,group,name,monsterType,type,desc,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
347,59,混固补,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,20000,30,{libs=<504;504;>},
348,59,混固补,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
349,59,混固补,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
350,59,混固补,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
351,60,混固事,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
352,60,混固事,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
353,60,混固事,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
354,60,混固事,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
355,60,混固事,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
356,60,混固事,随机事件中,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
357,60,混固事,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,20000,30,{libs=<504;504;>},
358,60,混固事,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
359,60,混固事,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
360,60,混固事,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
361,61,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
362,61,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
363,61,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
364,61,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
365,61,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
366,61,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
367,62,混合,补给大,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
368,62,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
369,62,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
370,62,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
371,62,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
10371,62,战混,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2221;20>;<2223;20>;<2224;20>;<2228;20>;<2231;20>>,,,,,,
372,62,混合,随机事件优,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,也许会发生很好的事情也说不定,,,,,,<<3;100>>,,,,,
373,63,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,极为艰难的力量在前方,4,0.8,0.8,,,,,,,,
374,63,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,最为艰难的力量在前方,4,,,,,,,,,,
375,64,大宝箱,大宝箱,city/adventure/random_tower/icon_hhbx.png,,,豪华宝箱,,3,跨越巨大挑战后才会配拥有此回报,,,,,,,2,80000,400,{libs=<503;504;>},{libs=<506;505;>}
376,65,换层,,,,,,,,,,,,,,,,,,,
377,66,战混,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,0.8,0.6,,,,,,,,
378,66,战混,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,0.8,0.6,,,,,,,,
379,66,战混,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<101;20>;<102;20>;<103;20>;<200;300>;<1000;90>>,,,,,,
380,66,战混,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<4;100>>,,,,,,
381,67,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
382,67,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
383,67,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
384,67,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
385,67,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
386,67,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
387,68,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
388,68,混固箱,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
389,68,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;50>>,,,,,,
390,68,混固箱,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
391,68,混固箱,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
392,68,混固箱,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
393,68,混固箱,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,25000,30,{libs=<504;504;>},
394,68,混固箱,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
395,68,混固箱,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
396,68,混固箱,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
397,69,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
398,69,混固怪,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
399,69,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
400,69,混固怪,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
401,69,混固怪,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
402,69,混固怪,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
403,69,混固怪,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,25000,30,{libs=<504;504;>},
404,69,混固怪,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
405,69,混固怪,普通,city/adventure/random_tower/icon/img_ptdr@.png,-1,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
406,69,混固怪,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
407,70,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,-1,,属性加成,,2,,,,,,<<1;100>>,,,,,,
408,70,混固补,补给,city/adventure/random_tower/icon/icon_wz.png,-1,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
409,70,混固补,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;50>>,,,,,,
410,70,混固补,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
411,70,混固补,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
412,70,混固补,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
413,70,混固补,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,25000,30,{libs=<504;504;>},
414,70,混固补,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
415,70,混固补,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
416,70,混固补,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
10416,70,战混,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2223;20>;<2224;20>;<2227;5>>,,,,,,
417,71,混固事,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
418,71,混固事,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
419,71,混固事,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
420,71,混固事,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
421,71,混固事,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
422,71,混固事,随机事件中,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
423,71,混固事,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,25000,30,{libs=<504;504;>},
424,71,混固事,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
425,71,混固事,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
426,71,混固事,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
427,72,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
428,72,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
429,72,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
430,72,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
431,72,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
432,72,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
433,73,混合,补给大,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
434,73,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
435,73,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
436,73,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
437,73,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
10437,73,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;200>;<9999;10>;<2227;10>>,,,,,,
438,73,混合,随机事件优,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,也许会发生很好的事情也说不定,,,,,,<<3;100>>,,,,,
439,74,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,极为艰难的力量在前方,4,0.8,0.8,,,,,,,,
440,74,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,最为艰难的力量在前方,4,,,,,,,,,,
441,75,大宝箱,大宝箱,city/adventure/random_tower/icon_hhbx.png,,,豪华宝箱,,3,跨越巨大挑战后才会配拥有此回报,,,,,,,2,90000,400,{libs=<502;504;503>},{libs=<506;505;>}
