变量名,contestEndTime,type,contestDate,rightTeam,leftTeam,betEndTime,contestName,betID,weatherDetail,weatherSkillIDs,weatherID,__version
168,1501,,4,16,15,1500,Group Stage D2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
169,1601,,4,3,1,1600,Group Stage A3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
170,1701,,4,4,2,1700,Group Stage A4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
171,1801,,4,7,5,,Group Stage B3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
172,1901,,4,8,6,1900,Group Stage B4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
173,1401,,5,11,9,1400,Group Stage C3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
174,1501,,5,12,10,1500,Group Stage C4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
175,1601,,5,15,13,1600,Group Stage D3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
176,1701,,5,16,14,1700,Group Stage D4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
177,1801,,5,4,1,,Group Stage A5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
178,1901,,5,3,2,1900,Group Stage A6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
179,1401,,6,8,5,1400,Group Stage B5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
180,1501,,6,7,6,1500,Group Stage B6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
181,1601,,6,12,9,1600,Group Stage C5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
182,1701,,6,11,10,1700,Group Stage C6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
183,1801,,6,16,13,,Group Stage D5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
184,1901,,6,15,14,1900,Group Stage D6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
185,1601,2,7,6,1,1600,Top 4 Match 1,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
186,1701,2,7,3,8,1700,Top 4 Match 2,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
187,1801,2,7,4,5,,Top 4 Match 3,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
188,1901,2,7,7,2,1900,Top 4 Match 4,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
189,1601,3,8,,,1600,Semifinal 1,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
190,1801,3,8,,,,Semifinal 2,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
191,1601,4,9,,,1600,Third-Place Match,104,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
192,1801,5,9,,,,Championship Match,203,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1001,1401,,3,2,1,1400,Group Stage A1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1002,1501,,3,4,3,1500,Group Stage A2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1003,1601,,3,6,5,1600,Group Stage B1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1004,1701,,3,8,7,1700,Group Stage B2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1005,1801,,3,10,9,,Group Stage C1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1006,1901,,3,12,11,1900,Group Stage C2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1007,1401,,4,14,13,1400,Group Stage D1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1008,1501,,4,16,15,1500,Group Stage D2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1009,1601,,4,3,1,1600,Group Stage A3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1010,1701,,4,4,2,1700,Group Stage A4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1011,1801,,4,7,5,,Group Stage B3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1012,1901,,4,8,6,1900,Group Stage B4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1013,1401,,5,11,9,1400,Group Stage C3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1014,1501,,5,12,10,1500,Group Stage C4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1015,1601,,5,15,13,1600,Group Stage D3,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1016,1701,,5,16,14,1700,Group Stage D4,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1017,1801,,5,4,1,,Group Stage A5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1018,1901,,5,3,2,1900,Group Stage A6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1019,1401,,6,8,5,1400,Group Stage B5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1020,1501,,6,7,6,1500,Group Stage B6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1021,1601,,6,12,9,1600,Group Stage C5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1022,1701,,6,11,10,1700,Group Stage C6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1023,1801,,6,16,13,,Group Stage D5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1024,1901,,6,15,14,1900,Group Stage D6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1025,1601,2,7,6,1,1600,Top 4 Match 1,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1026,1701,2,7,3,8,1700,Top 4 Match 2,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1027,1801,2,7,4,5,,Top 4 Match 3,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1028,1901,2,7,7,2,1900,Top 4 Match 4,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1029,1101,3,8,,,1100,Semifinal 1,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1030,1201,3,8,,,1200,Semifinal 2,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1031,2101,4,9,,,2100,Third-Place Match,104,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
1032,2201,5,9,,,2200,Championship Match,203,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
