变量名,name,desc,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
默认值,"""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任务描述,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
564,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<115;119>,{gold=58500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<5;14;12>,30,3,{3=2},70
565,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<115;119>,{gold=78000;2102=4},{2102=2;901=2},<0.9;1.1>,4,<11;6;12>,30,1,{10=2},70
566,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<115;119>,{gold=78000;2102=4},{2102=2;5000=5},<0.9;1.1>,4,<5;7;13>,30,2,{14=2},70
567,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<115;119>,{gold=78000;2102=4},{2102=2;940=1},<0.9;1.1>,4,<2;8;13>,30,3,{3=2},70
568,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<115;119>,{gold=97500;2103=2},{2103=1;901=3},<1.1;1.3>,4,<11;12;16>,30,1,{10=3},70
569,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<115;119>,{gold=97500;2103=2},{2103=1;5000=5},<1.1;1.3>,4,<14;12;18>,30,2,{14=3},70
570,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<115;119>,{gold=97500;2103=2},{2103=1;941=1},<1.1;1.3>,4,<14;16;18>,30,3,{3=3},70
571,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<120;124>,{gold=41000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<2;8;15>,30,1,{10=1},70
572,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<120;124>,{gold=41000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<6;12;16>,30,2,{14=1},70
573,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<120;124>,{gold=41000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<6;16;18>,30,3,{2=1},70
574,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<120;124>,{gold=51250;2101=4},{2101=2;900=3},<0.5;0.7>,3,<12;16;18>,30,1,{10=1},70
575,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<120;124>,{gold=51250;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<3;11;16>,30,2,{14=1},70
576,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<120;124>,{gold=51250;2101=4},{2101=2;451=6},<0.5;0.7>,3,<7;13;5>,30,3,{2=1},70
577,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<120;124>,{gold=61500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<1;11;15>,30,1,{10=2},70
578,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<120;124>,{gold=61500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<5;7;17>,30,2,{14=2},70
579,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<120;124>,{gold=61500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<3;8;18>,30,3,{3=2},70
580,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<120;124>,{gold=82000;2102=4},{2102=2;901=2},<0.9;1.1>,4,<10;13;17>,30,1,{10=2},70
581,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<120;124>,{gold=82000;2102=4},{2102=2;5000=5},<0.9;1.1>,4,<10;17;5>,30,2,{14=2},70
582,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<120;124>,{gold=82000;2102=4},{2102=2;940=1},<0.9;1.1>,4,<13;17;5>,30,3,{3=2},70
583,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<120;124>,{gold=102500;2103=2},{2103=1;901=3},<1.1;1.3>,4,<2;8;16>,30,1,{10=3},70
584,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<120;124>,{gold=102500;2103=2},{2103=1;5000=5},<1.1;1.3>,4,<2;11;17>,30,2,{14=3},70
585,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<120;124>,{gold=102500;2103=2},{2103=1;941=1},<1.1;1.3>,4,<4;10;15>,30,3,{3=3},70
586,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<125;999>,{gold=43000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<13;5;11>,30,1,{10=1},70
587,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<125;999>,{gold=43000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<17;5;14>,30,2,{14=1},70
588,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<125;999>,{gold=43000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<17;11;6>,30,3,{2=1},70
589,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<125;999>,{gold=53750;2101=4},{2101=2;900=3},<0.5;0.7>,3,<1;11;17>,30,1,{10=1},70
590,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<125;999>,{gold=53750;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<6;11;16>,30,2,{14=1},70
591,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<125;999>,{gold=53750;2101=4},{2101=2;451=6},<0.5;0.7>,3,<5;11;14>,30,3,{2=1},70
592,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<125;999>,{gold=64500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<5;14;12>,30,1,{10=2},70
593,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<125;999>,{gold=64500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<11;6;12>,30,2,{14=2},70
594,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<125;999>,{gold=64500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<5;7;13>,30,3,{3=2},70
595,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<125;999>,{gold=86000;2102=4},{2102=2;901=2},<0.9;1.1>,4,<2;8;13>,30,1,{10=2},70
596,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<125;999>,{gold=86000;2102=4},{2102=2;5000=5},<0.9;1.1>,4,<11;12;16>,30,2,{14=2},70
597,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<125;999>,{gold=86000;2102=4},{2102=2;940=1},<0.9;1.1>,4,<14;12;18>,30,3,{3=2},70
598,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<125;999>,{gold=107500;2103=2},{2103=1;901=3},<1.1;1.3>,4,<14;16;18>,30,1,{10=3},70
599,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<125;999>,{gold=107500;2103=2},{2103=1;5000=5},<1.1;1.3>,4,<2;8;15>,30,2,{14=3},70
600,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<125;999>,{gold=107500;2103=2},{2103=1;941=1},<1.1;1.3>,4,<6;12;16>,30,3,{3=3},70
601,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,0,60,<30;34>,{gold=5000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<3;8;4>,70,1,{2=1},30
602,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,0,60,<30;34>,{gold=5000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<3;4;2>,70,2,{2=1},30
603,Waste sorting,Let's sort the waste in order to protect our environment.,1,0,60,<30;34>,{gold=5000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<8;4;15>,70,3,{2=1},30
604,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,0,120,<30;34>,{gold=6250;2101=2},{2101=2;930=2},<0.5;0.7>,3,<8;9;1>,70,1,{2=1},30
605,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,0,120,<30;34>,{gold=6250;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<4;9;1>,70,2,{2=1},30
606,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,0,120,<30;34>,{gold=6250;2101=2},{2101=2;12=7},<0.5;0.7>,3,<4;15;7>,70,3,{2=1},30
607,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,0,180,<30;34>,{gold=7500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<9;2;7>,70,1,{2=1},30
608,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,0,180,<30;34>,{gold=7500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<3;7;17>,70,2,{2=2},30
609,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,0,180,<30;34>,{gold=7500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<4;7;15>,70,3,{3=2},30
610,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,15,240,<30;34>,{gold=10000;2102=2},{2102=2;501=1},<0.9;1.1>,4,<9;1;10>,70,1,{2=2},30
611,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,15,240,<30;34>,{gold=10000;2102=2},{2102=2;520=1},<0.9;1.1>,4,<2;15;7>,70,2,{2=2},30
612,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,15,240,<30;34>,{gold=10000;2102=2},{2102=2;gold=100000},<0.9;1.1>,4,<6;11;13>,70,3,{3=2},30
613,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,15,300,<30;34>,{gold=12500;2103=1},{2103=1;515=1},<1.1;1.3>,4,<1;10;13>,70,1,{2=2},30
614,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,15,300,<30;34>,{gold=12500;2103=1},{2103=5;gold=30000},<1.1;1.3>,4,<1;8;15>,70,2,{2=2},30
615,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,15,300,<30;34>,{gold=12500;2103=1},{2103=1;502=1},<1.1;1.3>,4,<2;1;10>,70,3,{3=2},30
616,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,0,60,<35;39>,{gold=7000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<15;1;13>,70,1,{2=1},30
617,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,0,60,<35;39>,{gold=7000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<15;7;17>,70,2,{3=1},30
618,Waste sorting,Let's sort the waste in order to protect our environment.,1,0,60,<35;39>,{gold=7000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<4;12;18>,70,3,{2=1},30
619,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,0,120,<35;39>,{gold=8750;2101=2},{2101=2;930=2},<0.5;0.7>,3,<6;12;18>,70,1,{2=1},30
620,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,0,120,<35;39>,{gold=8750;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<4;9;14>,70,2,{3=1},30
621,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,0,120,<35;39>,{gold=8750;2101=2},{2101=2;12=7},<0.5;0.7>,3,<1;10;13>,70,3,{2=1},30
622,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,0,180,<35;39>,{gold=10500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<1;17;5>,70,1,{2=1},30
623,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,0,180,<35;39>,{gold=10500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<7;10;17>,70,2,{3=2},30
624,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,0,180,<35;39>,{gold=10500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<7;13;5>,70,3,{3=2},30
625,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,15,240,<35;39>,{gold=14000;2102=2},{2102=2;501=1},<0.9;1.1>,4,<1;11;15>,70,1,{2=2},30
626,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,15,240,<35;39>,{gold=14000;2102=2},{2102=2;520=1},<0.9;1.1>,4,<5;7;17>,70,2,{3=2},30
627,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,15,240,<35;39>,{gold=14000;2102=2},{2102=2;gold=100000},<0.9;1.1>,4,<3;8;18>,70,3,{3=2},30
628,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,15,300,<35;39>,{gold=17500;2103=1},{2103=1;515=1},<1.1;1.3>,4,<10;13;17>,70,1,{2=2},30
629,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,15,300,<35;39>,{gold=17500;2103=1},{2103=5;gold=30000},<1.1;1.3>,4,<10;17;5>,70,2,{3=2},30
630,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,15,300,<35;39>,{gold=17500;2103=1},{2103=1;502=1},<1.1;1.3>,4,<13;17;5>,70,3,{3=2},30
631,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,0,60,<40;44>,{gold=9000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<2;8;16>,70,1,{3=1},30
632,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,0,60,<40;44>,{gold=9000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<2;11;17>,70,2,{3=1},30
633,Waste sorting,Let's sort the waste in order to protect our environment.,1,0,60,<40;44>,{gold=9000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<4;10;15>,70,3,{2=1},30
634,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,0,120,<40;44>,{gold=11250;2101=2},{2101=2;930=2},<0.5;0.7>,3,<13;5;11>,70,1,{3=1},30
635,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,0,120,<40;44>,{gold=11250;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<17;5;14>,70,2,{3=1},30
636,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,0,120,<40;44>,{gold=11250;2101=2},{2101=2;12=7},<0.5;0.7>,3,<17;11;6>,70,3,{2=1},30
637,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,0,180,<40;44>,{gold=13500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<1;11;17>,70,1,{3=1},30
638,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,0,180,<40;44>,{gold=13500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<6;11;16>,70,2,{3=2},30
639,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,0,180,<40;44>,{gold=13500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<5;11;14>,70,3,{3=2},30
640,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,15,240,<40;44>,{gold=18000;2102=2},{2102=2;501=1},<0.9;1.1>,4,<5;14;12>,70,1,{3=2},30
641,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,15,240,<40;44>,{gold=18000;2102=2},{2102=2;520=1},<0.9;1.1>,4,<11;6;12>,70,2,{3=2},30
642,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,15,240,<40;44>,{gold=18000;2102=2},{2102=2;gold=100000},<0.9;1.1>,4,<5;7;13>,70,3,{3=2},30
643,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,15,300,<40;44>,{gold=22500;2103=1},{2103=1;515=1},<1.1;1.3>,4,<2;8;13>,70,1,{3=2},30
644,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,15,300,<40;44>,{gold=22500;2103=1},{2103=5;gold=30000},<1.1;1.3>,4,<11;12;16>,70,2,{3=2},30
645,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,15,300,<40;44>,{gold=22500;2103=1},{2103=1;502=1},<1.1;1.3>,4,<14;12;18>,70,3,{3=2},30
646,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,0,60,<45;49>,{gold=11000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<14;16;18>,60,1,{3=1},40
647,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,0,60,<45;49>,{gold=11000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<2;8;15>,60,2,{4=1},40
648,Waste sorting,Let's sort the waste in order to protect our environment.,1,0,60,<45;49>,{gold=11000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<6;12;16>,60,3,{2=1},40
649,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,0,120,<45;49>,{gold=13750;2101=2},{2101=2;930=2},<0.5;0.7>,3,<6;16;18>,60,1,{3=1},40
650,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,0,120,<45;49>,{gold=13750;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<12;16;18>,60,2,{4=1},40
651,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,0,120,<45;49>,{gold=13750;2101=2},{2101=2;12=7},<0.5;0.7>,3,<3;11;16>,60,3,{2=1},40
652,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,0,180,<45;49>,{gold=16500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<7;13;5>,60,1,{3=1},40
653,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,0,180,<45;49>,{gold=16500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<1;11;15>,60,2,{4=2},40
654,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,0,180,<45;49>,{gold=16500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<5;7;17>,60,3,{3=2},40
655,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,15,240,<45;49>,{gold=22000;2102=2},{2102=2;501=1},<0.9;1.1>,4,<3;8;18>,60,1,{3=2},40
656,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,15,240,<45;49>,{gold=22000;2102=2},{2102=2;520=1},<0.9;1.1>,4,<10;13;17>,60,2,{4=2},40
657,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,15,240,<45;49>,{gold=22000;2102=2},{2102=2;gold=100000},<0.9;1.1>,4,<10;17;5>,60,3,{3=2},40
658,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,15,300,<45;49>,{gold=27500;2103=1},{2103=1;515=1},<1.1;1.3>,4,<13;17;5>,60,1,{3=2},40
659,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,15,300,<45;49>,{gold=27500;2103=1},{2103=5;gold=30000},<1.1;1.3>,4,<2;8;16>,60,2,{4=2},40
660,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,15,300,<45;49>,{gold=27500;2103=1},{2103=1;502=1},<1.1;1.3>,4,<2;11;17>,60,3,{3=2},40
661,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,0,60,<50;54>,{gold=13000;2101=2},{2101=1;930=1},<0.4;0.6>,3,<4;10;15>,60,1,{4=1},40
662,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,0,60,<50;54>,{gold=13000;2101=2},{2101=1;gold=6000},<0.4;0.6>,3,<13;5;11>,60,2,{4=1},40
663,Waste sorting,Let's sort the waste in order to protect our environment.,1,0,60,<50;54>,{gold=13000;2101=2},{2101=1;12=5},<0.4;0.6>,3,<17;5;14>,60,3,{2=1},40
664,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,0,120,<50;54>,{gold=16250;2101=4},{2101=2;930=2},<0.5;0.7>,3,<17;11;6>,60,1,{4=1},40
665,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,0,120,<50;54>,{gold=16250;2101=4},{2101=2;gold=10000},<0.5;0.7>,3,<1;11;17>,60,2,{4=1},40
666,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,0,120,<50;54>,{gold=16250;2101=4},{2101=2;12=7},<0.5;0.7>,3,<6;11;16>,60,3,{2=1},40
667,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,0,180,<50;54>,{gold=19500;2102=2},{2102=1;930=3},<0.6;0.8>,3,<5;11;14>,60,1,{4=1},40
668,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,0,180,<50;54>,{gold=19500;2102=2},{2102=1;gold=16000},<0.6;0.8>,3,<5;14;12>,60,2,{4=2},40
669,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,0,180,<50;54>,{gold=19500;2102=2},{2102=1;12=10},<0.6;0.8>,3,<11;6;12>,60,3,{3=2},40
670,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,15,240,<50;54>,{gold=26000;2102=4},{2102=2;501=1},<0.9;1.1>,4,<5;7;13>,60,1,{4=2},40
671,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,15,240,<50;54>,{gold=26000;2102=4},{2102=2;520=1},<0.9;1.1>,4,<2;8;13>,60,2,{4=2},40
672,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,15,240,<50;54>,{gold=26000;2102=4},{2102=2;gold=100000},<0.9;1.1>,4,<11;12;16>,60,3,{3=2},40
673,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,15,300,<50;54>,{gold=32500;2103=2},{2103=1;515=1},<1.1;1.3>,4,<14;12;18>,60,1,{4=2},40
674,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,15,300,<50;54>,{gold=32500;2103=2},{2103=5;gold=30000},<1.1;1.3>,4,<14;16;18>,60,2,{4=2},40
675,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,15,300,<50;54>,{gold=32500;2103=2},{2103=1;502=1},<1.1;1.3>,4,<2;8;15>,60,3,{3=2},40
676,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,0,60,<55;59>,{gold=15000;2101=2},{2101=1;930=1},<0.4;0.6>,3,<6;12;16>,60,1,{4=1},40
677,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,0,60,<55;59>,{gold=15000;2101=2},{2101=1;gold=6000},<0.4;0.6>,3,<6;16;18>,60,2,{5=1},40
678,Waste sorting,Let's sort the waste in order to protect our environment.,1,0,60,<55;59>,{gold=15000;2101=2},{2101=1;12=5},<0.4;0.6>,3,<12;16;18>,60,3,{2=1},40
679,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,0,120,<55;59>,{gold=18750;2101=4},{2101=2;930=2},<0.5;0.7>,3,<3;11;16>,60,1,{4=1},40
680,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,0,120,<55;59>,{gold=18750;2101=4},{2101=2;gold=10000},<0.5;0.7>,3,<7;13;5>,60,2,{5=1},40
681,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,0,120,<55;59>,{gold=18750;2101=4},{2101=2;12=7},<0.5;0.7>,3,<1;11;15>,60,3,{2=1},40
682,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,0,180,<55;59>,{gold=22500;2102=2},{2102=1;930=3},<0.6;0.8>,3,<5;7;17>,60,1,{4=1},40
683,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,0,180,<55;59>,{gold=22500;2102=2},{2102=1;gold=16000},<0.6;0.8>,3,<3;8;18>,60,2,{5=2},40
684,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,0,180,<55;59>,{gold=22500;2102=2},{2102=1;12=10},<0.6;0.8>,3,<10;13;17>,60,3,{3=2},40
685,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,15,240,<55;59>,{gold=30000;2102=4},{2102=2;501=1},<0.9;1.1>,4,<10;17;5>,60,1,{4=2},40
686,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,15,240,<55;59>,{gold=30000;2102=4},{2102=2;520=1},<0.9;1.1>,4,<13;17;5>,60,2,{5=2},40
687,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,15,240,<55;59>,{gold=30000;2102=4},{2102=2;gold=100000},<0.9;1.1>,4,<2;8;16>,60,3,{3=2},40
688,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,15,300,<55;59>,{gold=37500;2103=2},{2103=1;515=1},<1.1;1.3>,4,<2;11;17>,60,1,{4=2},40
689,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,15,300,<55;59>,{gold=37500;2103=2},{2103=5;gold=30000},<1.1;1.3>,4,<4;10;15>,60,2,{5=2},40
690,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,15,300,<55;59>,{gold=37500;2103=2},{2103=1;502=1},<1.1;1.3>,4,<13;5;11>,60,3,{3=2},40
691,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,0,60,<60;64>,{gold=17000;2101=2},{2101=1;930=1},<0.4;0.6>,3,<17;5;14>,50,1,{5=1},50
692,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,0,60,<60;64>,{gold=17000;2101=2},{2101=1;gold=6000},<0.4;0.6>,3,<17;11;6>,50,2,{6=1},50
693,Waste sorting,Let's sort the waste in order to protect our environment.,1,0,60,<60;64>,{gold=17000;2101=2},{2101=1;12=5},<0.4;0.6>,3,<1;11;17>,50,3,{2=1},50
694,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,0,120,<60;64>,{gold=21250;2101=4},{2101=2;930=2},<0.5;0.7>,3,<6;11;16>,50,1,{5=1},50
