变量名,name,weight,price,resScale,findDesc,filterTarget,showInHandBook,pvpShowInHandBook,defence,cardEffect,hp,attack,nature1,rarity,logo,res,starUnlock,specialTarget,desc,actionTimes,equipSlots,resPos,buffid,keyWords,findBuff,nature2
18009,西狮海壬,40,5,,,,TRUE,,,受到攻击后，【魅惑】随机$(star)$个敌人,8*self:star(),4*self:star(),3,4,config/portrait/speedranktouxiang/img_730_xshr@.png,config/big_hero/normal/img_730_xshr@.png,,,,,,,<1800900;100010;100020;100030>,<【魅惑】>,,18
18010,拉鲁拉丝,80,3,,,,TRUE,,,【濒死】：【魅惑】随机$(star)$个敌人,1*self:star(),5*self:star(),11,2,config/portrait/speedranktouxiang/img_280_llls@.png,config/big_hero/normal/img_280_llls@.png,,,,,,,<1801000;100010;100020;100030>,<【濒死】;【魅惑】>,,18
18011,胖甜妮,60,4,,,,TRUE,,,受到溢出【治疗】时，永久+$(4*star)$生命,6*self:star(),2*self:star(),18,3,config/portrait/speedranktouxiang/img_685_ptn@.png,config/big_hero/normal/img_685_ptn@.png,,,,,,,<1801100;100010;100020;100030>,<【治疗】>,,
18012,绵绵泡芙,80,3,,,,TRUE,,,行动前，若自身满生命值，永久+$(2*star)$攻击，永久+$(2*star)$生命,3*self:star(),3*self:star(),18,2,config/portrait/speedranktouxiang/img_684_mmpf@.png,config/big_hero/normal/img_684_mmpf@.png,,,,,,,<1801200;100010;100020;100030>,<【治疗】>,,
18013,皮宝宝,100,2,,,,TRUE,,,【守卫】\n受到攻击后，为其他精灵【治疗】$(3*star)$点生命,5*self:star(),1*self:star(),18,,config/portrait/speedranktouxiang/img_173_pbb@.png,config/big_hero/normal/img_173_pbb@.png,,,,,,,<1801300;100010;100020;100030>,<【守卫】;【治疗】>,,
18014,露力丽,100,2,,,,TRUE,,,攻击龙系精灵前，将其【消灭】,1*self:star(),1*self:star(),,,config/portrait/speedranktouxiang/img_298_lll@.png,config/big_hero/normal/img_298_lll@.png,,,,,,,<1801400;100010;100020;100030>,<【消灭】>,,18
18015,魔尼尼,80,3,,,,TRUE,,,受到【治疗】时，获得【护盾】,5*self:star(),3*self:star(),11,2,config/portrait/speedranktouxiang/img_439_mnn@.png,config/big_hero/normal/img_439_mnn@.png,,,,,,,<1801500;100010;100020;100030>,<【治疗】;【护盾】>,,18
18016,捣蛋小妖,100,2,,,,TRUE,,,受到攻击后，偷取攻击者$(star)$点攻击，然后【治疗】自身N点生命（N为自身攻击）,6*self:star(),0,16,,config/portrait/speedranktouxiang/img_859_ddxy@.png,config/big_hero/normal/img_859_ddxy@.png,,,,,,,<1801600;100010;100020;100030>,<【治疗】>,,18
18017,蒂安希,20,6,,选择一个己方精灵使其永久获得【守卫】,TRUE,TRUE,,,【登场】：选择一个其他精灵永久获得【守卫】\n【光环】：【守卫】精灵受到攻击后，所有【守卫】精灵+$(3*star)$攻击，+$(6*star)$生命（仅战斗外生效）,6*self:star(),6*self:star(),13,5,config/portrait/speedranktouxiang/img_719_dax@.png,config/big_hero/normal/img_719_dax@.png,,,,,,,<1801702;100010;100020;100030>,<【登场】;【守卫】;【光环】>,<1801700>,18
300001,嘟嘟,,2,1.8,,,,,,行动次数+$(1*star)$,2*self:star(),1*self:star(),,,config/portrait/speedranktouxiang/img_84_dd@.png,config/big_hero/normal/img_84_dd@.png,,,,,,{x=20;y=0},<30000100>,,,10
300002,露力丽,,2,,,,,,,,1*self:star(),1*self:star(),,,config/portrait/speedranktouxiang/img_298_lll@.png,config/big_hero/normal/img_298_lll@.png,,,,,,,<>,,,18
300003,小拉达,,3,2.1,,,,,,【鼓舞】：对随机1个敌人造成$(5*star)$点技能伤害,1*self:star(),4*self:star(),,2,config/portrait/speedranktouxiang/img_19_xld@.png,config/big_hero/normal/img_19_xld@.png,,,,,,{x=20;y=30},<30000300>,<【鼓舞】>,,
300004,晃晃斑,,4,,,,,,,【鼓舞】：【晕眩】$(1*star)$个敌人,4*self:star(),6*self:star(),,3,config/portrait/speedranktouxiang/img_327_hhb@.png,config/big_hero/normal/img_327_hhb@.png,,,,,,,<30000400>,<【鼓舞】;【晕眩】>,,
300005,小福蛋,,4,,,,,,,【鼓舞】：给己方精灵【治疗】$(5*star)$点生命,6*self:star(),6*self:star(),,3,config/portrait/speedranktouxiang/img_440_xfd@.png,config/big_hero/normal/img_440_xfd@.png,,,,,,,<30000500>,<【鼓舞】;【治疗】>,,
300006,美洛耶塔·歌声,,6,2.5,,,,,,【鼓舞】：令攻击者的攻击和生命变为与自身相同，之后自身+$(6*star)$攻击，+$(6*star)$生命,8*self:star(),12*self:star(),,5,config/portrait/speedranktouxiang/img_648_mlytgsxt@.png,config/big_hero/normal/img_648_mlyt@.png,,,,,,{x=-180;y=-50},<30000600>,<【鼓舞】>,,11
300007,美洛耶塔·舞步,,6,3,,,,,,【鼓舞】：自身+$(6*star)$攻击，+$(6*star)$生命，每累计触发3次，【消灭】随机$(star)$个攻击低于自身的敌人,8*self:star(),12*self:star(),,5,config/portrait/speedranktouxiang/img_648_mlytwbxt@.png,config/big_hero/normal/img_648_mlyt@.png,,,,,,{x=150;y=-70},<30000700>,<【鼓舞】;【消灭】>,,7
300008,杰尼龟,,2,1.8,,,,,,【护盾】,3*self:star(),3*self:star(),3,,config/portrait/speedranktouxiang/img_7_jng@.png,config/big_hero/normal/img_7_jng@.png,,,,,,,<30000800>,<【护盾】>,,
300009,大舌贝,,3,2.8,,,,,,【守卫】,8*self:star(),2*self:star(),3,2,config/portrait/speedranktouxiang/img_90_dsb@.png,config/big_hero/normal/img_90_dsb@.png,,,,,,,<30000900>,<【守卫】>,,
300010,商店占位,,99,1.8,,,,,,,1,1,11,,config/portrait/speedranktouxiang/img_720_cjhp@.png,config/big_hero/normal/autochess_hp.png,,,,,,{x=20;y=0},<>,,,14
300011,烈雀,,2,1.8,,,,,,,1*self:star(),6*self:star(),,,config/portrait/speedranktouxiang/img_21_lq@.png,config/big_hero/normal/img_21_lq@.png,,,,,,,<>,,,10
301000,怪蛋,,,,,,,,,【计时】1：随机获得1张价格不高于$(2+star)$的精灵卡,1,0,,,config/portrait/speedranktouxiang/img_717_ypete@.png,config/big_hero/normal/autochess_ypete.png,,,,,,,<30100000;100010;100020;100030>,<【计时】>,,
301001,小拉达,,2,2.1,,,,TRUE,,【鼓舞】：对随机1个敌人造成$(5*star)$点技能伤害,1*self:star(),4*self:star(),,,config/portrait/speedranktouxiang/img_19_xld@.png,config/big_hero/normal/img_19_xld@.png,,,,,,{x=20;y=30},<30100100;100010;100020;100030>,<【鼓舞】>,,
301002,烈雀,,2,1.8,,,,TRUE,,【登场】：+N攻击，+N生命（N为$(star)$倍训练家已损失血量）,3*self:star(),3*self:star(),,,config/portrait/speedranktouxiang/img_21_lq@.png,config/big_hero/normal/img_21_lq@.png,,,,,,,<30100200;100010;100020;100030>,<【登场】>,,10
301003,嘟嘟,,2,1.8,,,,TRUE,,行动次数+$(1*star)$,4*self:star(),1*self:star(),,,config/portrait/speedranktouxiang/img_84_dd@.png,config/big_hero/normal/img_84_dd@.png,,,,,,{x=20;y=0},<30100300;100010;100020;100030>,,,10
301004,泡沫栗鼠,,2,,选择一个己方精灵使其永久提升属性,TRUE,,TRUE,,【登场】：选择一个精灵，使其永久+$(1*star)$攻击，永久+$(2*star)$生命,3*self:star(),2*self:star(),,,config/portrait/speedranktouxiang/img_572_pmls@.png,config/big_hero/normal/img_572_pmls@.png,,,,,,{x=100;y=0},<100010;100020;100030>,<【登场】>,<30100400>,
301005,露力丽,,2,,,,,TRUE,,【突袭】,3*self:star(),1*self:star(),,,config/portrait/speedranktouxiang/img_298_lll@.png,config/big_hero/normal/img_298_lll@.png,,,,,,,<30100500;100010;100020;100030>,<【突袭】>,,18
301006,百变怪·紫色,,2,,,,,,,【登场】：永久【变形】为1个不高于商店等级的随机精灵的原始复制，星级为$(1*star)$,4*self:star(),4*self:star(),,,config/portrait/speedranktouxiang/img_132_bbg_z@.png,config/big_hero/normal/img_132_bbg_z@.png,,,,,,,<30100600;100010;100020;100030>,<【登场】;【变形】>,,
301007,波波,,3,,选择一个除波波外的精灵使其回到手牌,target:unitID()~=301007,,TRUE,,【登场】：选择一个除波波外的精灵，使其回到手牌,6*self:star(),4*self:star(),,2,config/portrait/speedranktouxiang/img_16_bb@.png,config/big_hero/normal/img_16_bb@.png,,,,,,,<100010;100020;100030>,<【登场】>,<30100700>,10
301008,宝宝丁,,3,2.2,,,,TRUE,5*self:star(),【先机】：相邻的精灵+$(5*star)$护甲并获得【守卫】,1*self:star(),3*self:star(),,2,config/portrait/speedranktouxiang/img_174_bbd@.png,config/big_hero/normal/img_174_bbd@.png,,,,,,,<30100800;100010;100020;100030>,<【先机】;【守卫】>,,18
301009,喵喵,,3,,,,,TRUE,,【计时】1：获得$(1*star)$金币,4*self:star(),4*self:star(),,2,config/portrait/speedranktouxiang/img_52_mm@.png,config/big_hero/normal/img_52_mm@.png,,,,,,,<30100900;100010;100020;100030>,<【计时】>,,
301010,咕妞妞,,3,,,,,TRUE,,【连击】：对除自身外的全体精灵造成1点技能伤害，触发$(1*star)$次,6*self:star(),2*self:star(),,2,config/portrait/speedranktouxiang/img_293_gzz@.png,config/big_hero/normal/img_293_gzz@.png,,,,,,,<30101000;100010;100020;100030>,<【连击】>,,
301011,大舌头,,3,1.6,,,,TRUE,,【连击】：【晕眩】目标并使其降低$(4*star)$点攻击,6*self:star(),4*self:star(),,2,config/portrait/speedranktouxiang/img_108_dst@.png,config/big_hero/normal/img_108_dst@.png,,,,,,{x=0;y=-20},<30101100;100010;100020;100030>,<【连击】;【晕眩】>,,
301012,百变怪·橙色,,3,,,,,TRUE,,【登场】：随机永久【变形】为一个己方场上的其他精灵的原始复制，星级为$(1*star)$,6*self:star(),6*self:star(),,2,config/portrait/speedranktouxiang/img_132_bbg_c@.png,config/big_hero/normal/img_132_bbg_c@.png,,,,,,,<30101200;100010;100020;100030>,<【登场】;【变形】>,,
301013,大葱鸭,,4,,,,,TRUE,,【计时】1：获得1张【大葱】\n被使用【大葱】时，自身+$(5*star)$攻击，+$(5*star)$生命,7*self:star(),5*self:star(),,3,config/portrait/speedranktouxiang/img_83_dcy@.png,config/big_hero/normal/img_83_dcy@.png,,,,,,,<30101300;100010;100020;100030>,<【计时】;【大葱】>,,10
301014,晃晃斑,,4,,,,,TRUE,,【鼓舞】：【晕眩】$(1*star)$个敌人,4*self:star(),6*self:star(),,3,config/portrait/speedranktouxiang/img_327_hhb@.png,config/big_hero/normal/img_327_hhb@.png,,,,,,,<30101400;100010;100020;100030>,<【鼓舞】;【晕眩】>,,
301015,小福蛋,,4,,,,,TRUE,,【鼓舞】：给己方精灵【治疗】$(5*star)$点生命,6*self:star(),6*self:star(),,3,config/portrait/speedranktouxiang/img_440_xfd@.png,config/big_hero/normal/img_440_xfd@.png,,,,,,,<30101500;100010;100020;100030>,<【鼓舞】;【治疗】>,,
301016,姆克儿,,4,,,,,TRUE,,刷新商店后，自身+$(1*star)$攻击，+$(1*star)$生命\n【胜利】：永久保留这部分属性,4*self:star(),4*self:star(),,3,config/portrait/speedranktouxiang/img_396_mke@.png,config/big_hero/normal/img_396_mke@.png,,,,,,,<30101600;100010;100020;100030>,<【胜利】>,,10
301017,百变怪·红色,,4,,选择并永久变形成一个己方精灵,TRUE,,TRUE,,【登场】：选择一个精灵，永久【变形】为选择的精灵的原始复制，星级为$(1*star)$,8*self:star(),8*self:star(),,3,config/portrait/speedranktouxiang/img_132_bbg_r@.png,config/big_hero/normal/img_132_bbg_r@.png,,,,,,,<30101700;100010;100020;100030>,<【登场】;【变形】>,<30101703>,
301018,小卡比兽,,5,1.8,,,,TRUE,12*self:star(),【坚甲】\n【连击】：对目标额外造成等于$(1*star)$倍自身护甲值的技能伤害,2*self:star(),2*self:star(),,4,config/portrait/speedranktouxiang/img_446_xkbs@.png,config/big_hero/normal/img_446_xkbs@.png,,,,,,{x=-40;y=0},<30101800;100010;100020;100030>,<【连击】;【坚甲】>,,
301019,懒人獭,,5,2.2,,,,TRUE,,【连击】：【晕眩】自身。自身被【晕眩】时，永久+$(2*star)$攻击，永久+$(3*star)$生命。,6*self:star(),8*self:star(),,4,config/portrait/speedranktouxiang/img_287_lrt@.png,config/big_hero/normal/img_287_lrt@.png,,,,,,{x=0;y=100},<30101900;100010;100020;100030>,<【连击】;【晕眩】>,,
301020,青绵鸟,,5,,,,,TRUE,,【登场】：【发现】1张价格不高于$(2+star)$的精灵卡,9*self:star(),5*self:star(),,4,config/portrait/speedranktouxiang/img_333_qmn@.png,config/big_hero/normal/img_333_qmn@.png,,,,,,,<30102000;100010;100020;100030>,<【登场】;【发现】>,,10
301021,童偶熊,,5,,,,,TRUE,,【先机】/【击破】：敌方精灵获得$(8*star)$点【破甲】,8*self:star(),8*self:star(),,4,config/portrait/speedranktouxiang/img_759_tox@.png,config/big_hero/normal/img_759_tox@.png,,,,,,,<30102100;100010;100020;100030>,<【先机】;【击破】;【破甲】>,,7
301022,老翁龙,,5,,,,,TRUE,,【计时】4：令左侧相邻精灵的星级提升至与自身相等,8*self:star(),6*self:star(),,4,config/portrait/speedranktouxiang/img_780_lwl@.png,config/big_hero/normal/img_780_lwl@.png,,,,,,,<30102200;100010;100020;100030>,<【计时】>,,15
301023,雷吉奇卡斯,,6,2.2,,,,TRUE,,失去生命时，获得等于$(0.5*star)$倍伤害量的攻击，自身攻击前若目标生命低于自身攻击，先将其【消灭】,20*self:star(),0*self:star(),,5,config/portrait/speedranktouxiang/img_486_ljqks@.png,config/big_hero/normal/img_486_ljqks@.png,,,,,,{x=-10;y=30},<30102300;100010;100020;100030>,<【消灭】>,,
301024,美洛耶塔·歌声,,6,2.5,,,,TRUE,,【鼓舞】：令攻击者的攻击和生命变为与自身相同，之后自身+$(6*star)$攻击，+$(6*star)$生命,8*self:star(),12*self:star(),,5,config/portrait/speedranktouxiang/img_648_mlytgsxt@.png,config/big_hero/normal/img_648_mlyt@.png,,,,,,{x=-180;y=-50},<30102400;100010;100020;100030>,<【鼓舞】>,,11
301025,美洛耶塔·舞步,,6,3,,,,TRUE,,【鼓舞】：自身+$(6*star)$攻击，+$(6*star)$生命，每累计触发3次，【消灭】随机$(star)$个攻击低于自身的敌人,8*self:star(),12*self:star(),,5,config/portrait/speedranktouxiang/img_648_mlytwbxt@.png,config/big_hero/normal/img_648_mlyt@.png,,,,,,{x=150;y=-70},<30102500;100010;100020;100030>,<【鼓舞】;【消灭】>,,7
301026,洛奇亚,,6,,,,,TRUE,,【光环】：己方精灵进场时，使其永久+$(5*star)$攻击，+$(5*star)$生命\n行动后令手牌随机精灵进场,8*self:star(),6*self:star(),11,5,config/portrait/speedranktouxiang/img_249_lqy@.png,config/big_hero/normal/img_249_lqy@.png,,,,,,{x=50;y=0},<30102600;100010;100020;100030>,<【光环】>,,10
302001,火球鼠,,2,,,,,TRUE,,【强攻】,4*self:star(),2*self:star(),2,,config/portrait/speedranktouxiang/img_155_hqs@.png,config/big_hero/normal/img_155_hqs@.png,,,,,,{x=100;y=0},<30200100;100010;100020;100030>,<【强攻】>,,
302002,火狐狸,,2,,,,,TRUE,,【计时】1：己方【强攻】精灵永久+$(1*star)$攻击，永久+$(1*star)$生命,2*self:star(),2*self:star(),2,,config/portrait/speedranktouxiang/img_653_hhl@.png,config/big_hero/normal/img_653_hhl@.png,,,,,,,<30200200;100010;100020;100030>,<【计时】;【强攻】>,,
302003,小狮狮,,2,,,,,TRUE,,【击破】：自身永久+$(2*star)$攻击,2*self:star(),3*self:star(),2,,config/portrait/speedranktouxiang/img_667_xss@.png,config/big_hero/normal/img_667_xss@.png,,,,,,,<30200300;100010;100020;100030>,<【击破】>,,1
302004,小火龙,,3,1.7,,,,TRUE,,己方精灵进场时，自身永久+$(1*star)$攻击，若为火系精灵，额外永久+$(1*star)$生命,3*self:star(),3*self:star(),2,2,config/portrait/speedranktouxiang/img_4_xhl@.png,config/big_hero/normal/img_4_xhl@.png,,,,,,,<30200400;100010;100020;100030>,,,
302005,呆火驼,,3,,,,,TRUE,,【先机】：【晕眩】双方随机$(2*star)$个非【强攻】精灵,6*self:star(),4*self:star(),2,2,config/portrait/speedranktouxiang/img_322_dht@.png,config/big_hero/normal/img_322_dht@.png,,,,,,{x=30;y=0},<30200500;100010;100020;100030>,<【先机】;【晕眩】;【强攻】>,,9
302006,暖暖猪,,3,1.8,,,,TRUE,,【穿甲】\n【击破】：对随机敌人造成$(4*star)$点穿甲技能伤害,4*self:star(),6*self:star(),2,2,config/portrait/speedranktouxiang/img_498_nnz@.png,config/big_hero/normal/img_498_nnz@.png,,,,,,,<30200600;100010;100020;100030>,<【穿甲】;【击破】>,,
302007,卡蒂狗,,3,,,,,TRUE,,【强攻】\n【先机】：获得1次行动,4*self:star(),8*self:star(),2,2,config/portrait/speedranktouxiang/img_58_kdg@.png,config/big_hero/normal/img_58_kdg@.png,,,,,,,<30200700;100010;100020;100030>,<【强攻】;【先机】>,,
302008,火焰鸟,,5,,,,,TRUE,,【光环】：己方精灵获得“【强攻】；【连击】：【治疗】自身$(5*star)$点生命”,6*self:star(),6*self:star(),2,4,config/portrait/speedranktouxiang/img_146_hyn@.png,config/big_hero/normal/img_146_hyn@.png,,,,,,,<30200800;100010;100020;100030>,<【光环】;【连击】;【强攻】>,,10
302009,炎帝,,4,,,,,TRUE,,己方火系精灵进场时，使其获得自身$(0.5*star)$倍属性,6*self:star(),8*self:star(),2,3,config/portrait/speedranktouxiang/img_244_yd@.png,config/big_hero/normal/img_244_yd@.png,,,,,,,<30200900;100010;100020;100030>,,,
302010,席多蓝恩,,4,,,,,TRUE,4*self:star(),己方【强攻】精灵攻击前，己方精灵+$(3*star)$护甲,4*self:star(),4*self:star(),2,3,config/portrait/speedranktouxiang/img_485_xdle@.png,config/big_hero/normal/img_485_xdle@.png,,,,,,,<30201000;100010;100020;100030>,<【强攻】>,,17
302011,爆焰龟兽,,5,,,,,TRUE,,【护盾】\n【光环】：己方精灵失去【护盾】时，对随机敌人造成$(10*star)$点技能伤害,2*self:star(),10*self:star(),2,4,config/portrait/speedranktouxiang/img_776_bygs@.png,config/big_hero/normal/img_776_bygs@.png,,,,,,,<30201100;100010;100020;100030>,<【护盾】;【光环】>,,15
302012,砰头小丑,,4,,,,,TRUE,,【濒死】：对随机敌人造成N点技能伤害（N为$(1*star)$倍自身攻击）,3*self:star(),7*self:star(),2,3,config/portrait/speedranktouxiang/img_806_ptxc@.png,config/big_hero/normal/img_806_ptxc@.png,,,,,,{x=80;y=-80},<30201200;100010;100020;100030>,<【濒死】>,,14
302013,鸭嘴宝宝,,5,1.8,,,,TRUE,,己方【强攻】精灵攻击前，自身对随机敌方精灵造成N点技能伤害（N为$(0.5*star)$倍自身攻击）,6*self:star(),10*self:star(),2,4,config/portrait/speedranktouxiang/img_240_yzbb@.png,config/big_hero/normal/img_240_yzbb@.png,,,,,,,<30201300;100010;100020;100030>,<【强攻】>,,
302014,火稚鸡,,4,1.8,,,,TRUE,,【宿敌】：生命最低单位\n【贯穿】,8*self:star(),10*self:star(),2,3,config/portrait/speedranktouxiang/img_255_hzj@.png,config/big_hero/normal/img_255_hzj@.png,,,,,,{x=30;y=0},<30201400;100010;100020;100030>,<【宿敌】;【贯穿】>,,
302015,小火焰猴,,5,,,,,TRUE,,【光环】：己方【强攻】精灵获得“【连击】：永久+$(2*star)$攻击，永久+$(2*star)$生命”,6*self:star(),6*self:star(),2,4,config/portrait/speedranktouxiang/img_390_xhyh@.png,config/big_hero/normal/img_390_xhyh@.png,,,,,,,<30201500;100010;100020;100030>,<【光环】;【强攻】;【连击】>,,
302016,火斑喵,,4,,,,,TRUE,,【击破】：己方精灵+$(5*star)$攻击，+$(5*star)$生命,4*self:star(),8*self:star(),2,3,config/portrait/speedranktouxiang/img_725_hbm@.png,config/big_hero/normal/img_725_hbm@.png,,,,,,,<30201600;100010;100020;100030>,<【击破】>,,
302017,炎兔儿,,5,,,,,TRUE,,攻击前先对目标造成N点技能伤害（N为$(0.5*star)$倍自身攻击）,5*self:star(),10*self:star(),2,4,config/portrait/speedranktouxiang/img_813_yte@.png,config/big_hero/normal/img_813_yte@.png,,,,,,,<30201700;100010;100020;100030>,,,
302018,凤王,,6,,,,,TRUE,,自身左侧除凤王外的精灵阵亡时，在自身右侧【召唤】1个它的复制品，星级为$(1*star)$，使其获得【强攻】,12*self:star(),6*self:star(),2,5,config/portrait/speedranktouxiang/img_250_fw@.png,config/big_hero/normal/img_250_fw@.png,,,,,,,<30201800;100010;100020;100030>,<【召唤】;【强攻】>,,10
302019,波尔凯尼恩,,6,,,,,TRUE,,【先机】：己方$(1*star)$个【强攻】精灵获得【护盾】和【突袭】\n战斗中，己方【强攻】精灵进场时获得【护盾】和【突袭】,10*self:star(),10*self:star(),2,5,config/portrait/speedranktouxiang/img_721_bekne@.png,config/big_hero/normal/img_721_bekne@.png,,,,,,,<30201900;100010;100020;100030>,<【先机】;【强攻】;【护盾】;【突袭】>,,3
302020,假面超级火焰鸡,,6,,,,,TRUE,,【连击】：触发右侧相邻精灵的【击破】效果$(1*star)$次,8*self:star(),12*self:star(),2,5,config/portrait/speedranktouxiang/img_257_jmcjhyj@.png,config/big_hero/normal/img_257_jmcjhyj@.png,,,,,,,<30202000;100010;100020;100030>,<【连击】;【击破】>,,7
302021,艾岚超级喷火龙X,,6,,,,,,,,,,2,5,config/portrait/speedranktouxiang/img_6_alcjphlx@.png,config/big_hero/normal/img_6_alcjphlx@.png,,,,,,,<30202100;100010;100020;100030>,,,15
303001,角金鱼,,2,,,,,,,【濒死】：己方精灵+$(2*star)$攻击，+$(3*star)$生命,2*self:star(),3*self:star(),3,,config/portrait/speedranktouxiang/img_118_jjy@.png,config/big_hero/normal/img_118_jjy@.png,,,,,,{x=0;y=-80},<30300100;100010;100020;100030>,<【濒死】>,,
303002,莲叶童子,,2,,,,,,,【计时】1：己方$(1*star)$个精灵永久+1攻击，永久+1生命,3*self:star(),2*self:star(),3,,config/portrait/speedranktouxiang/img_270_lytz@.png,config/big_hero/normal/img_270_lytz@.png,,,,,,{x=0;y=60},<30300200;100010;100020;100030>,<【计时】>,,4
303003,杰尼龟,,2,1.8,,,,TRUE,,【护盾】,3*self:star(),3*self:star(),3,,config/portrait/speedranktouxiang/img_7_jng@.png,config/big_hero/normal/img_7_jng@.png,,,,,,,<30300300;100010;100020;100030>,<【护盾】>,,
303004,可达鸭,,2,,,,,,,,,,3,,config/portrait/speedranktouxiang/img_54_kdy@.png,config/big_hero/normal/img_54_kdy@.png,,,,,,,<30300400;100010;100020;100030>,,,
303005,海星星,,2,,,,,,,,,,3,,config/portrait/speedranktouxiang/img_120_hxx@.png,config/big_hero/normal/img_120_hxx@.png,,,,,,,<30300500;100010;100020;100030>,,,
303006,轻飘飘·雌,,2,2.1,,,,TRUE,,【应激】：己方精灵永久+$(1*star)$生命,4*self:star(),1*self:star(),3,,config/portrait/speedranktouxiang/img_592_hqpp@.png,config/big_hero/normal/img_592_hqpp@.png,,,,,,{x=0;y=-130},<30300600;100010;100020;100030>,<【应激】>,,14
303007,轻飘飘·雄,,2,2.3,,,,TRUE,,【应激】：己方精灵永久+$(1*star)$攻击,4*self:star(),1*self:star(),3,,config/portrait/speedranktouxiang/img_592_lqpp@.png,config/big_hero/normal/img_592_lqpp@.png,,,,,,,<30300700;100010;100020;100030>,<【应激】>,,14
303008,小锯鳄,,3,,,,,,,,,,3,2,config/portrait/speedranktouxiang/img_158_xje@.png,config/big_hero/normal/img_158_xje@.png,,,,,,,<30300800;100010;100020;100030>,,,
303009,铁臂枪虾,,3,,,,,TRUE,,【特技】：对最近的敌方造成$(5*star)$点技能伤害，然后自身攻击减半,4*self:star(),4*self:star(),3,2,config/portrait/speedranktouxiang/img_692_tbqx@.png,config/big_hero/normal/img_692_tbqx@.png,,,,,,,<30300900;100010;100020;100030>,<【特技】>,,
303010,蚊香蝌蚪,,3,,,,,TRUE,,【特技】：己方精灵+$(1*star)$攻击，+$(1*star)$生命,3*self:star(),2*self:star(),3,2,config/portrait/speedranktouxiang/img_60_wxkd@.png,config/big_hero/normal/img_60_wxkd@.png,,,,,,,<30301000;100010;100020;100030>,<【特技】>,,
303011,大舌贝,,3,2.8,,,,TRUE,,【护盾】\n【守卫】\n失去【护盾】时己方精灵永久+$(2*star)$生命,9*self:star(),1*self:star(),3,2,config/portrait/speedranktouxiang/img_90_dsb@.png,config/big_hero/normal/img_90_dsb@.png,,,,,,,<30301100;100010;100020;100030>,<【护盾】;【守卫】>,,
303012,鲤鱼王,,3,,,,,,,,,,3,2,config/portrait/speedranktouxiang/img_129_lyw@.png,config/big_hero/normal/img_129_lyw@.png,,,,,,,<30301200;100010;100020;100030>,,,
303013,拉普拉斯,,3,,,,,TRUE,,【先机】：己方$(1*star)$个精灵获得【护盾】,6*self:star(),4*self:star(),3,2,config/portrait/speedranktouxiang/img_131_lpls@.png,config/big_hero/normal/img_131_lpls@.png,,,,,,,<30301300;100010;100020;100030>,<【先机】;【护盾】>,,6
303014,鳃鱼龙,,3,,,,,,,,,,3,2,config/portrait/speedranktouxiang/img_882_syl@.png,config/big_hero/normal/img_882_syl@.png,,,,,,,<30301400;100010;100020;100030>,,,15
303015,呆呆兽,,4,1.7,,,,TRUE,,【护盾】\n【应激】：获得【护盾】并+$(3*star)$攻击，+$(3*star)$攻击,10*self:star(),1*self:star(),3,3,config/portrait/speedranktouxiang/img_79_dds@.png,config/big_hero/normal/img_79_dds@.png,,,,,,,<30301500;100010;100020;100030>,<【护盾】;【应激】>,,11
303016,水君,,4,1.8,,,,TRUE,,己方精灵阵亡时，将其$(star)$倍攻击均分给己方其他精灵,6*self:star(),6*self:star(),3,3,config/portrait/speedranktouxiang/img_245_sj@.png,config/big_hero/normal/img_245_sj@.png,,,,,,{x=-30;y=0},<30301600;100010;100020;100030>,,,
303017,水跃鱼,,4,,,,,TRUE,,行动前，解除己方$(1*star)$个精灵的负面【状态】,6*self:star(),6*self:star(),3,3,config/portrait/speedranktouxiang/img_258_syy@.png,config/big_hero/normal/img_258_syy@.png,,,,,,{x=0;y=30},<30301700;100010;100020;100030>,<【状态】>,,
303018,丑丑鱼,,4,,,,,TRUE,,【濒死】：对双方所有精灵造成1点技能伤害，触发$(1*star)$次,2*self:star(),8*self:star(),3,3,config/portrait/speedranktouxiang/img_349_ccy@.png,config/big_hero/normal/img_349_ccy@.png,,,,,,,<30301800;100010;100020;100030>,<【濒死】>,,
303019,波加曼,,4,,,,,TRUE,,战斗中，自身受到负面【状态】时，永久+$(4*star)$攻击，+$(4*star)$生命,6*self:star(),5*self:star(),3,3,config/portrait/speedranktouxiang/img_393_bjm@.png,config/big_hero/normal/img_393_bjm@.png,,,,,,,<30301900;100010;100020;100030>,<【状态】>,,
303020,泳圈鼬,,4,,,,,TRUE,,【濒死】：令己方$(1*star)$个精灵获得【护盾】,3*self:star(),6*self:star(),3,3,config/portrait/speedranktouxiang/img_418_yqy@.png,config/big_hero/normal/img_418_yqy@.png,,,,,,,<30302000;100010;100020;100030>,<【濒死】>,,
303021,呱呱泡蛙,,5,,,,,TRUE,,【特技】：自身攻击减半，然后令随机敌方【晕眩】并降低N点攻击（N为$(1*star)$倍自身攻击减少值）,4*self:star(),8*self:star(),3,4,config/portrait/speedranktouxiang/img_656_ggpw@.png,config/big_hero/normal/img_656_ggpw@.png,,,,,,{x=-30;y=0},<30302100;100010;100020;100030>,<【特技】;【晕眩】>,,
