变量名,name,easyEffectFunc,time,immuneType,overlayLimit,overlayType,combineArgs,groupPower,skillTimePos,equipBond,isShow,group,immuneBuff,dispelBuff,dispelType,specialVal,triggerBehaviors,specialEffect,specialTarget,triggerPriority
3000411,Victory Rush,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3000417;value=0;holder=1;caster=1}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
3000412,Victory Rush,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder={process=left(1);input=selfRight};cfgId=3000413}>>;onSomeFlag=<target:inField()>;triggerPoint=6;effectFuncs=<castBuff>}},,,
3000413,Victory Rush,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3000414;value=0;holder=1;caster=2}>;<{prob=1;cfgId=3000415;value=5;holder=1;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
3000414,Victory Rush,newAction,,,1,1,TRUE,,,,,,,,,,,,,
3000415,Victory Rush,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
3000416,Victory Rush,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3000412;value=0;holder=1;caster=1}>;<{prob=1;cfgId=3000418;value=10;holder=1;caster=1}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
3000417,Victory Rush,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=1;cfgId=3000416;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
3000418,Victory Rush,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
3000511,Swords Dance,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3000512;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
3000512,Swords Dance,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=3000513;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
3000513,Swords Dance,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=10;holder={process=field;input=selfForce|nodead};cfgId=3000514}>>;onSomeFlag=<target:inField()>;triggerPoint=6;effectFuncs=<castBuff>};2={funcArgs=<<{caster=1;value=20;holder=1;cfgId=3000515}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>}},,,
3000514,Swords Dance,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
3000515,Swords Dance,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
3000611,Teamwork,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3000612;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
3000612,Teamwork,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=3000613;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
3000613,Teamwork,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=1;cfgId=3000614;value=0;holder=18;prob=(target2:team()==self:team()) and  1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff>}},,,
3000614,Teamwork,,99,,99,2,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=<1008>;holder=2;cfgId=100040}>;<{ignoreAura=1;cfgId=3000615;prob=1;value=3;holder=2;caster=2}>;<{ignoreAura=1;cfgId=3000616;prob=1;value=3;holder=2;caster=2}>>;onSomeFlag=<less(target:attack(),self:attack())>;triggerPoint=231;effectFuncs=<castBuff;castBuff;castBuff>}}",,,
3000615,Teamwork,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
3000616,Teamwork,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
3000711,Rot,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3000712;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
3000712,Rot,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=3000713;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
3000713,Rot,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=target:attack();holder=9;cfgId=3000714}>>;onSomeFlag=<target:inField()>;triggerPoint=32;effectFuncs=<castBuff>}},,,
3000714,Rot,broken,,,99,2,TRUE,,,,,<121>,,,,,,,,
3000811,Fragile,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=3000812;prob=1;value=-math.floor(target2:hpMax()*0.5);holder={process=field;input=enemyForce|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff>}},,,
3000812,Fragile,hpMax,,,99,2,TRUE,,,,,<24;27;34;35>,,,,,,,,
3000911,Bind,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3000912;value=<2;1>;holder={process=field;input=enemyForce|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff>}},,,
3000912,Bind,stun,,,1,1,TRUE,,,,TRUE,<119;34;35>,,,,,,{0=1003},,
3001011,Deflect,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3001012;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
3001012,Deflect,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=3001013;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
3001013,Deflect,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=trigger.attacker:attack();holder={process=field|random(1);input=enemyForce|nodead};cfgId=3001014}>>;onSomeFlag=<target:inField()>;triggerPoint=12;effectFuncs=<castBuff>}},,,
3001014,Deflect,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
3001111,Pin Down II,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<{cfgId=3001112;prob=1;value=1-target2:hpMax();holder={process=field|attr(""attack"",""max"",1);input=enemyForce|nodead};caster=2}>;<{cfgId=3001113;prob=1;value=1-target2:attack();holder={process=field|attr(""hp"",""max"",1);input=enemyForce|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff;castBuff>}}",,,
3001112,Pin Down II,hpMax,,,99,2,TRUE,,,,,<24;27;34;35>,,,,,,,,
3001113,Pin Down II,attack,,,99,2,TRUE,,,,,<24;25;34;35>,,,,,,,,
3001211,New Garb,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=3001212;prob=1;value=0;holder={process=field;input=enemyForce|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff>}},,,
3001212,New Garb,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=20;holder=1;cfgId=3001214}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=1;value=0;holder=1;cfgId=3001213}>>;onSomeFlag=<target:inField() and target:shield()==0>;triggerPoint=26;effectFuncs=<castBuff>}},,,
3001213,New Garb,destroy,,,1,1,TRUE,,,,,<135>,,,,,,,,
3001214,New Garb,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
3001311,Toxic,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=3001312;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
3001312,Toxic,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=3001313;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
3001313,Toxic,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=100060;value=0;holder=9;caster=1}>>;triggerPoint=32;effectFuncs=<castBuff>}},,,
4000111,Ambush,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4000112;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4000112,Ambush,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4000115;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4000113,Ambush,stealth,,,1,,TRUE,,,,TRUE,<124;34;36>,,,,,,{0=1004},,
4000114,Ambush,quickStrike,99,,1,1,TRUE,,,,,<129;34;36>,,,,<holder:hasBuffGroup(124)>,,,,
4000115,Ambush,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4000113;value=0;holder=1;caster=1}>;<{prob=1;cfgId=4000114;value=0;holder=1;caster=1}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,11
4000211,BlessingⅣ,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=4000212;prob=1;value=30;holder={process=field;input=selfForce|nodead};caster=2}>;<{cfgId=4000213;prob=1;value=60;holder={process=field;input=selfForce|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff;castBuff>}},,,
4000212,BlessingⅣ,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
4000213,BlessingⅣ,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
4000311,Silver Wind,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4000312;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{cfgId=4000314;prob=1;value=8;holder={process=field;input=enemyForce|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff>}},,,
4000312,Silver Wind,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4000313;value=0;holder=18;prob=(target2:team()==self:team()) and 0 or 1}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4000313,Silver Wind,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=8;holder={process=field;input=enemyForce|nodead};cfgId=4000314}>>;onSomeFlag=<target:inField()>;triggerPoint=4;effectFuncs=<castBuff>}},,,
4000314,Silver Wind,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
4000411,Self-Destruct,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4000412;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4000412,Self-Destruct,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4000413;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4000413,Self-Destruct,,,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<{caster=1;value=target:attack();holder={process=field;input=enemyForce|nodead};cfgId=4000414}>>;onSomeFlag=<target:inField()>;triggerPoint=204;effectFuncs=<castBuff>};2={funcArgs=<<{caster=1;value=5;holder=1;cfgId=4000415}>>;onSomeFlag=<target:inField()>;triggerPoint=18;effectFuncs=<castBuff>}},,,
4000414,Self-Destruct,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
4000415,Self-Destruct,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
4000511,Shatter,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4000512;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4000512,Shatter,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4000513;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4000513,Shatter,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=3;holder={process=field;input=enemyForce|nodead};cfgId=4000514}>>;onSomeFlag=<target:inField()>;triggerPoint=17;effectFuncs=<castBuff>}},,,
4000514,Shatter,buffDamage,,,1,1,,,,,,<29>,,,,<{processId=6}>,,,,
4000611,Endless,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=4000612;prob=1;value=0;holder={process=field;input=selfForce|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff>}},,,
4000612,Endless,,,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<{caster=1;value=<target:unitID();target:star();0;<>>;holder=1;cfgId=4000613}>>;onSomeFlag=<target:inField()>;triggerPoint=204;effectFuncs=<castBuff>}},,,
4000613,Endless,summon,,,1,1,,,,,,<112>,,,,,,,,
4000711,Foam,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4000712;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4000712,Foam,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4000713;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4000713,Foam,,,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<{prob=target2:isTrainer() and 0 or 1;cfgId=4000714;value=0;holder=10;caster=1}>>;onSomeFlag=<target:inField()>;triggerPoint=204;effectFuncs=<castBuff>}},,,
4000714,Foam,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=4000715}>>;delSelfWhenTriggered=1;onSomeFlag=<target:inField()>;triggerPoint=20;effectFuncs=<castBuff>}},,,
4000715,Foam,oneHitKill,,,1,,,,,,TRUE,<144;34;35>,,,,,,{0=1009},,
4000811,Savage,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4000812;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4000812,Savage,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4000813;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4000813,Savage,,,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<{caster=1;value=target:attack();holder=1;cfgId=4000814}>;<{caster=1;value=target:hpMax();holder=1;cfgId=4000815}>>;onSomeFlag=<target:inField()>;triggerPoint=17;effectFuncs=<castBuff;castBuff>}},,,
4000814,Savage,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
4000815,Savage,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
4000911,Madness,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4000912;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4000912,Madness,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4000913;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4000913,Madness,,,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<{caster=1;value=target:hpMax();holder=1;cfgId=4000915}>;<{caster=1;value=5;holder=1;cfgId=4000916}>>;onSomeFlag=<target:inField()>;triggerPoint=17;effectFuncs=<castBuff;castBuff>};2={funcArgs=<<{caster=1;value=<1>;holder=1;cfgId=4000914}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4000914,Madness,actionTimes,,,1,1,,,,,,<137>,,,,,,,,
4000915,Madness,heal,,,1,1,,,,,TRUE,<127>,,,,,,{0=1006},,
4000916,Madness,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
4001011,Equality,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<{cfgId=4001012;prob=1;value=0;holder={process=field|attr(""attack"",""max"",3);input=all|nodead};caster=2}>>;triggerPoint=5;effectFuncs=<castBuff>}}",,,
4001012,Equality,destroy,,,1,1,TRUE,,,,,<135>,,,,,,,,
4001111,Moon in Water,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=7;cfgId=4001112}>>;triggerPoint=5;effectFuncs=<castBuff>}},,,
4001112,Moon in Water,oneHitKill,,,1,,,,,,TRUE,<144;34;35>,,,,,{0={triggerPoint=1};1={triggerPoint=21;delSelfWhenTriggered=1}},{0=1009},,
4001211,Flower in Mirror,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4001212;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4001212,Flower in Mirror,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4001213;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4001213,Flower in Mirror,,,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<2>;<{cfgId=4001214;prob=1;value=<target:unitID();target:star();0;<4001215>>;holder=1;caster=2}>>;onSomeFlag=<target:inField()>;triggerPoint=10;effectFuncs=<playEffect;castBuff>}},,,
4001214,Flower in Mirror,summon,,,1,1,,,,,,<112>,,,,,,,,
4001215,Flower in Mirror,oneHitKill,,,1,,,,,,TRUE,<144;34;35>,,,,,,{0=1009},,
4001311,Bitter Winter,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4001312;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4001312,Bitter Winter,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4001313;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4001313,Bitter Winter,,,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{cfgId=4001314;prob=more(target2:shield(),0) and 0 or 1;value=-math.ceil(target2:hp()*0.5);holder={process=field;input=enemyForce|nodead};caster=1}>>;onSomeFlag=<target:inField()>;triggerPoint=11;effectFuncs=<playEffect;castBuff>}}",,,
4001314,Bitter Winter,hpMax,,,99,2,TRUE,,,,,<24;27;34;35>,,,,,,,,
4001411,Devour,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{prob=1;cfgId=4001412;value=0;holder=3;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
4001412,Devour,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=4001413;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;triggerPoint=99;effectFuncs=<castBuff>}},,,
4001413,Devour,,,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{prob=1;cfgId=4001414;value=trigger.target:attack();holder=1;caster=1}>;<{prob=1;cfgId=4001415;value=trigger.target:defence();holder=1;caster=1}>;<{prob=1;cfgId=4001416;value=trigger.target:hpMax();holder=1;caster=1}>>;onSomeFlag=<target:inField()>;triggerPoint=6;effectFuncs=<playEffect;castBuff;castBuff;castBuff>}},,,
4001414,Devour,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
4001415,Devour,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
4001416,Devour,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
9000100,Ash·Talent Scout,,,,1,1,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=<4>;holder=1;cfgId=9000101}>;<{caster=2;value=0;holder=3;cfgId=9000102}>>;onSomeFlag=<less(selfTrainer:getBuffOverlayCount(9000102),1)>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}}",,,
9000101,Star Up,setStar,,,1,1,,,,,,,,,,,,,,
9000102,Count Marker,,99,,99,2,,,,,,,,,,,,,,
9000200,Misty·Perception,,99,,1,1,,,,,,<50>,,<50>,<2;99>,,"{1={funcArgs=<<{caster=2;value=<makeCardPool(1,numArray(1,18),list(shopLevel()-1),list(1));1>;holder=3;cfgId=9000201}>>;onSomeFlag=<lessE(shopLevel(),6)>;triggerPoint=39;effectFuncs=<castBuff>}}",,,
9000201,Misty·Perception,getCard,,,1,1,,,,,,,,,,,,,,
9000300,Rapp·Revenge,,99,,1,1,,,,,,<50>,,<50>,<2;99>,,{1={funcArgs=<<{caster=2;value=selfTrainer:hasBuff(9000301) and (2*selfTrainer:getBuff(9000301):getValue()) or 2;holder=3;cfgId=9000301}>>;triggerPoint=8;effectFuncs=<castBuff>}},,,
9000301,Record,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=math.floor(buff:getValue()/2);holder={input=selfForce|nodead};cfgId=9000302}>;<{caster=2;value=math.floor(buff:getValue()/2);holder={input=selfForce|nodead};cfgId=9000303}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
9000302,Permanent +Attack,attack,99,,99,2,TRUE,,,,,<10;11;34;36>,,,,,,,,
9000303,Permanent +HP,hpMax,99,,99,2,TRUE,,,,,<10;13;34;36>,,,,,,,,
9000400,Plumeria·On Play,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=9000401}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
9000401,,backToHand,,,1,1,,,,,,,,,,,,,,
9000500,Morgan·Mercy,,99,,1,1,,,,,,<50>,,<50>,<2;99>,,{1={funcArgs=<<{caster=2;value=0;holder=3;cfgId=9000501}>>;triggerPoint=8;effectFuncs=<castBuff>}},,,
9000501,Fail Count Log,,99,,99,2,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=<1;9>;holder=3;cfgId=9000502}>>;onSomeFlag=<selfTrainer:getBuffOverlayCount(9000501)==3>;triggerPoint=1;effectFuncs=<castBuff>}},,,
9000502,Set Refresh Cost,setRefreshCost,99,,1,1,,,,,,,,,,,,,,
9000600,Meray·Profit,,99,,1,1,,,,,,<50>,,<50>,<2;99>,,{1={funcArgs=<<{caster=2;value=2;holder=3;cfgId=9000601}>>;onSomeFlag=<getGoldNum()==0>;triggerPoint=9;effectFuncs=<castBuff>}},,,
9000601,Gain Coins,gainGold,,,99,2,,,,,,,,,,,,,,
9000700,Alexa·Secret Tech,,,,1,1,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=9000701}>;<{caster=2;value=0;holder=3;cfgId=9000708}>>;onSomeFlag=<less(selfTrainer:getBuffOverlayCount(9000708),3)>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}}",,,
9000701,Transition,,,,1,1,,,,,,,,,,,"{1={funcArgs=<<{prob=hasIntersection(trigger:group(),list(21)) and 1 or 0;cfgId=9000702;value=trigger:getValue()+(target:hasBuff(9000702) and target:getBuff(9000702):getValue() or 0);holder=1;caster=2}>;<{prob=hasIntersection(trigger:group(),list(22)) and 1 or 0;cfgId=9000703;value=trigger:getValue()+(target:hasBuff(9000703) and target:getBuff(9000703):getValue() or 0);holder=1;caster=2}>;<{prob=hasIntersection(trigger:group(),list(23)) and 1 or 0;cfgId=9000704;value=trigger:getValue()+(target:hasBuff(9000704) and target:getBuff(9000704):getValue() or 0);holder=1;caster=2}>>;onSomeFlag=<inBattle() and target:inField() and hasIntersection(trigger:group(),list(21,22,23))>;triggerPoint=16;effectFuncs=<castBuff;castBuff;castBuff>}}",,,
9000702,Attack to Add (Log),,2,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=buff:getValue();holder=1;cfgId=9000705}>>;delSelfWhenTriggered=1;triggerPoint=25;effectFuncs=<castBuff>}},,,
9000703,Armor to Add (Log),,2,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=buff:getValue();holder=1;cfgId=9000706}>>;delSelfWhenTriggered=1;triggerPoint=25;effectFuncs=<castBuff>}},,,
9000704,HP to Add (Log),,2,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=buff:getValue();holder=1;cfgId=9000707}>>;delSelfWhenTriggered=1;triggerPoint=25;effectFuncs=<castBuff>}},,,
9000705,Permanent +Attack,attack,99,,99,2,TRUE,,,,,<10;11;34;36>,,,,,,,,
9000706,Permanent +Armor,defence,99,,99,2,TRUE,,,,,<10;12;34;36>,,,,,,,,
9000707,Permanent +HP,hpMax,99,,99,2,TRUE,,,,,<10;13;34;36>,,,,,,,,
9000708,Count Marker,,99,,99,2,,,,,,,,,,,,,,
9000800,Viola·Pair Up,,99,,1,1,,,,,,<50>,,<50>,<2;99>,,{1={funcArgs=<<{caster=2;value=<list(505000);1>;holder=3;cfgId=9000801}>>;onSomeFlag=<trigger.obj:star()==4 and trigger.obj:team()==self:team()>;triggerPoint=37;effectFuncs=<castBuff>}},,,
9000801,Viola·Pair Up,getCard,,,1,1,,,,,,,,,,,,,,
9000900,Use Count Log,,99,,99,2,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=100;holder={process=field;input=selfForce|nodead};cfgId=9000901}>;<{caster=2;value=100;holder={process=field;input=selfForce|nodead};cfgId=9000902}>>;onSomeFlag=<selfTrainer:getBuffOverlayCount(9000900)==4>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
9000901,Permanent +Attack,attack,99,,99,2,TRUE,,,,,<10;11;34;36>,,,,,,,,
9000902,Permanent +HP,hpMax,99,,99,2,TRUE,,,,,<10;13;34;36>,,,,,,,,
9001000,(Main Buff),,,,99,2,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=<list(301006,301012,301017);1>;holder=3;cfgId=9001001}>>;triggerPoint=1;effectFuncs=<castBuff>}}",,,
9001001,Roxanne·Transform,getCard,,,1,1,,,,,,,,,,,,,,
9001100,(Main Buff),,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=-1;holder=3;cfgId=9001101}>;<{caster=2;value=3;holder=3;cfgId=9001102}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
9001101,Trainer HP Loss,changeTrainerHp,,,99,2,,,,,,,,,,,,,,
9001102,Gain Coins,gainGold,,,99,2,,,,,,,,,,,,,,
9001200,Use,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=<getMultiOpponentSkillID()>;holder=3;cfgId=9001201}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=2;value=<list(506001);1>;holder=3;cfgId=9001202}>>;triggerPoint=2;effectFuncs=<castBuff>}},,,
9001201,Skill Reroll,changeTrainerSkill,,,1,1,,,,,,,,,,,,,,
9001202,Gain Lift Disguise,getCard,,,1,1,,,,,,,,,,,,,,
9001300,DiscoverPokémon,,,,1,1,,,,,,,,,,,"{1={funcArgs=<<{caster=1;value=makeCardPool(1,numArray(1,18),list(1+selfTrainer:getBuffOverlayCount(9001302)),list(1));holder=3;cfgId=9001301}>;<{caster=1;value=0;holder=3;cfgId=9001302}>;<{caster=1;value=0;holder=3;cfgId=9001303}>>;onSomeFlag=<less(selfTrainer:getBuffOverlayCount(9001303),5)>;triggerPoint=1;effectFuncs=<castBuff;castBuff;castBuff>}}",,,
9001301,Discover,find,,,1,1,,,,,,,,,,<1>,,,,
