变量名,skillLevel,sceneLevel,showLevel,sceneType,star,speedC,specialDefenceC,defenceC,specialDamageC,damageC,hpC,floor,theme,zawake,extraSkill
4014,113,100,100,1,7,1.36,1.022,1.022,1.168,1.168,1.46,14,104,<8;0;0;0;0;0;0;0>,<86984>
4015,114,100,100,1,7,1.4,1.05,1.05,1.2,1.2,1.5,15,104,<8;0;0;0;0;0;0;0>,<86984>
4016,115,100,100,1,8,1.46,1.092,1.092,1.248,1.248,1.56,16,104,<8;0;0;0;0;0;0;0>,<86984>
4017,116,100,100,1,8,1.52,1.134,1.134,1.296,1.296,1.62,17,104,<8;0;0;0;0;0;0;0>,<86984>
4018,117,100,100,1,8,1.58,1.176,1.176,1.344,1.344,1.68,18,104,<8;0;0;0;0;0;0;0>,<86984>
4019,118,100,100,1,8,1.64,1.218,1.218,1.392,1.392,1.74,19,104,<8;0;0;0;0;0;0;0>,<86984>
4020,119,100,100,1,8,1.7,1.26,1.26,1.44,1.44,1.8,20,104,<8;0;0;0;0;0;0;0>,<86984>
4021,120,100,100,1,8,1.78,1.316,1.316,1.504,1.504,1.88,21,104,<8;8;0;0;0;0;0;0>,<86984>
4022,121,100,100,1,8,1.86,1.372,1.372,1.568,1.568,1.96,22,104,<8;8;0;0;0;0;0;0>,<86984>
4023,122,100,100,1,8,1.94,1.428,1.428,1.632,1.632,2.04,23,104,<8;8;0;0;0;0;0;0>,<86984>
4024,123,100,100,1,8,2.02,1.484,1.484,1.696,1.696,2.12,24,104,<8;8;0;0;0;0;0;0>,<86984>
4025,124,100,100,1,8,2.1,1.54,1.54,1.76,1.76,2.2,25,104,<8;8;0;0;0;0;0;0>,<86984>
4026,125,100,100,1,8,2.14,1.568,1.568,1.792,1.792,2.24,26,104,<8;8;0;0;0;0;0;0>,<86984>
4027,126,100,100,1,8,2.18,1.596,1.596,1.824,1.824,2.28,27,104,<8;8;8;0;0;0;0;0>,<86984>
4028,127,100,100,1,11,2.22,1.624,1.624,1.856,1.856,2.32,28,104,<8;8;8;0;0;0;0;0>,<86984>
4029,128,100,100,1,11,2.26,1.652,1.652,1.888,1.888,2.36,29,104,<8;8;8;8;0;0;0;0>,<86984>
4030,129,100,100,1,11,2.3,1.68,1.68,1.92,1.92,2.4,30,104,<8;8;8;8;0;0;0;0>,<86984>
4031,110,100,100,2,5,1.16,0.945,0.945,1.134,1.134,1.26,1,104,,<86984>
4032,111,100,100,2,5,1.22,0.99,0.99,1.188,1.188,1.32,2,104,,<86984>
4033,112,100,100,2,5,1.28,1.035,1.035,1.242,1.242,1.38,3,104,,<86984>
4034,113,100,100,2,5,1.34,1.08,1.08,1.296,1.296,1.44,4,104,,<86984>
4035,114,100,100,2,6,1.4,1.125,1.125,1.35,1.35,1.5,5,104,,<86984>
4036,115,100,100,2,6,1.46,1.17,1.17,1.404,1.404,1.56,6,104,,<86984>
4037,116,100,100,2,6,1.52,1.215,1.215,1.458,1.458,1.62,7,104,,<86984>
4038,117,100,100,2,7,1.58,1.26,1.26,1.512,1.512,1.68,8,104,,<86984>
4039,118,100,100,2,7,1.64,1.305,1.305,1.566,1.566,1.74,9,104,,<86984>
4040,119,100,100,2,8,1.7,1.35,1.35,1.62,1.62,1.8,10,104,<8;8;0;0;0;0;0;0>,<86984>
4041,120,100,100,2,8,1.78,1.41,1.41,1.692,1.692,1.88,11,104,<8;8;0;0;0;0;0;0>,<86984>
4042,121,100,100,2,8,1.86,1.47,1.47,1.764,1.764,1.96,12,104,<8;8;0;0;0;0;0;0>,<86984>
4043,122,100,100,2,8,1.94,1.53,1.53,1.836,1.836,2.04,13,104,<8;8;0;0;0;0;0;0>,<86984>
4044,123,100,100,2,9,2.02,1.59,1.59,1.908,1.908,2.12,14,104,<8;8;0;0;0;0;0;0>,<86984>
4045,124,100,100,2,9,2.1,1.65,1.65,1.98,1.98,2.2,15,104,<8;8;0;0;0;0;0;0>,<86984>
4046,125,100,100,2,9,2.22,1.74,1.74,2.088,2.088,2.32,16,104,<8;8;8;0;0;0;0;0>,<86984>
4047,126,100,100,2,9,2.34,1.83,1.83,2.196,2.196,2.44,17,104,<8;8;8;0;0;0;0;0>,<86984>
4048,127,100,100,2,9,2.46,1.92,1.92,2.304,2.304,2.56,18,104,<8;8;8;0;0;0;0;0>,<86984>
4049,128,100,100,2,10,2.58,2.01,2.01,2.412,2.412,2.68,19,104,<8;8;8;0;0;0;0;0>,<86984>
4050,129,100,100,2,10,2.7,2.1,2.1,2.52,2.52,2.8,20,104,<8;8;8;8;8;8;0;0>,<86984>
4051,130,100,100,2,10,2.68,2.085,2.085,2.502,2.502,2.78,21,104,<8;8;8;8;8;8;0;0>,<86984>
4052,131,100,100,2,10,2.76,2.145,2.145,2.574,2.574,2.86,22,104,<8;8;8;8;8;8;0;0>,<86984>
4053,132,100,100,2,11,2.84,2.205,2.205,2.646,2.646,2.94,23,104,<8;8;8;8;8;8;0;0>,<86984>
4054,133,100,100,2,11,2.92,2.265,2.265,2.718,2.718,3.02,24,104,<8;8;8;8;8;8;8;8>,<86984>
4055,134,100,100,2,12,3,2.325,2.325,2.79,2.79,3.1,25,104,<8;8;8;8;8;8;8;8>,<86984>
4056,135,100,100,2,12,3.04,2.355,2.355,2.826,2.826,3.14,26,104,<8;8;8;8;8;8;8;8>,<86984>
4057,136,100,100,2,12,3.08,2.385,2.385,2.862,2.862,3.18,27,104,<8;8;8;8;8;8;8;8>,<86984>
4058,137,100,100,2,12,3.12,2.415,2.415,2.898,2.898,3.22,28,104,<8;8;8;8;8;8;8;8>,<86984>
4059,138,100,100,2,12,3.16,2.445,2.445,2.934,2.934,3.26,29,104,<8;8;8;8;8;8;8;8>,<86984>
4060,139,100,100,2,12,3.2,2.475,2.475,2.97,2.97,3.3,30,104,<8;8;8;8;8;8;8;8>,<86984>
4061,110,100,100,3,6,1.2,1.3,1.3,1.17,1.17,1.3,1,104,<8;8;0;0;0;0;0;0>,<86984>
4062,112,100,100,3,6,1.3,1.4,1.4,1.26,1.26,1.4,2,104,<8;8;0;0;0;0;0;0>,<86984>
4063,114,100,100,3,6,1.4,1.5,1.5,1.35,1.35,1.5,3,104,<8;8;0;0;0;0;0;0>,<86984>
4064,116,100,100,3,6,1.5,1.6,1.6,1.44,1.44,1.6,4,104,<8;8;0;0;0;0;0;0>,<86984>
4065,118,100,100,3,7,1.6,1.7,1.7,1.53,1.53,1.7,5,104,<8;8;0;0;0;0;0;0>,<86984>
4066,120,100,100,3,7,1.7,1.8,1.8,1.62,1.62,1.8,6,104,<8;8;0;0;0;0;0;0>,<86984>
4067,122,100,100,3,7,1.8,1.9,1.9,1.71,1.71,1.9,7,104,<8;8;0;0;0;0;0;0>,<86984>
4068,124,100,100,3,8,1.9,2,2,1.8,1.8,2,8,104,<8;8;0;0;0;0;0;0>,<86984>
4069,126,100,100,3,8,2,2.1,2.1,1.89,1.89,2.1,9,104,<8;8;0;0;0;0;0;0>,<86984>
4070,128,100,100,3,8,2.1,2.2,2.2,1.98,1.98,2.2,10,104,<8;8;0;0;0;0;0;0>,<86984>
4071,130,100,100,3,9,2.2,2.3,2.3,2.07,2.07,2.3,11,104,<8;8;0;0;0;0;0;0>,<86984>
4072,132,100,100,3,9,2.3,2.4,2.4,2.16,2.16,2.4,12,104,<8;8;0;0;0;0;0;0>,<86984>
4073,134,100,100,3,10,2.4,2.5,2.5,2.25,2.25,2.5,13,104,<8;8;0;0;0;0;0;0>,<86984>
4074,136,100,100,3,10,2.5,2.6,2.6,2.34,2.34,2.6,14,104,<8;8;0;0;0;0;0;0>,<86984>
4075,138,100,100,3,10,2.6,2.7,2.7,2.43,2.43,2.7,15,104,<8;8;0;0;0;0;0;0>,<86984>
4076,140,100,100,3,10,2.72,2.82,2.82,2.538,2.538,2.82,16,104,<8;8;8;0;0;0;0;0>,<86984>
4077,142,100,100,3,11,2.84,2.94,2.94,2.646,2.646,2.94,17,104,<8;8;8;0;0;0;0;0>,<86984>
4078,144,100,100,3,11,2.96,3.06,3.06,2.754,2.754,3.06,18,104,<8;8;8;0;0;0;0;0>,<86984>
4079,146,100,100,3,11,3.08,3.18,3.18,2.862,2.862,3.18,19,104,<8;8;8;8;0;0;0;0>,<86984>
4080,148,100,100,3,11,3.2,3.465,3.465,3.036,3.036,3.63,20,104,<8;8;8;8;0;0;0;0>,<86984>
4081,151,100,100,3,11,3.38,3.549,3.549,3.1096,3.1096,3.718,21,104,<8;8;8;8;0;0;0;0>,<86984>
4082,154,100,100,3,11,3.46,3.633,3.633,3.1832,3.1832,3.806,22,104,<8;8;8;8;8;8;0;0>,<86984>
4083,157,100,100,3,11,3.54,3.717,3.717,3.2568,3.2568,3.894,23,104,<8;8;8;8;8;8;0;0>,<86984>
4084,160,100,100,3,11,3.62,3.801,3.801,3.3304,3.3304,3.982,24,104,<8;8;8;8;8;8;0;0>,<86984>
4085,163,100,100,3,11,3.7,4.07,4.07,3.404,3.404,4.44,25,104,<8;8;8;8;8;8;0;0>,<86984>
4086,166,100,100,3,12,3.84,4.224,4.224,3.648,3.648,4.608,26,104,<8;8;8;8;8;8;0;0>,<86984>
4087,169,100,100,3,12,3.98,4.378,4.378,3.781,3.781,4.776,27,104,<8;8;8;8;8;8;0;0>,<86984>
4088,172,100,100,3,12,4.12,4.532,4.532,3.914,3.914,4.944,28,104,<8;8;8;8;8;8;8;8>,<86984>
4089,175,100,100,3,12,4.26,4.686,4.686,4.047,4.047,5.112,29,104,<8;8;8;8;8;8;8;8>,<86984>
4090,178,100,100,3,12,4.4,4.84,4.84,4.18,4.18,5.28,30,104,<8;8;8;8;8;8;8;8>,<86984>
