变量名,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,desc,jumpTo,languages
7001,7,59,59,50,,,50,{2511=1;rmb=1000},,,Hard work can perform miracles,Draw diamonds 10 times consecutively for 50 times,,
7002,7,73,73,10,,,50,{2512=1;rmb=500},,,Pocket Egg Pair,Perform 10 10 consecutive diamonds draws and get 2 S-quality Pokémons,,
7003,7,74,74,3,,,50,{2513=1;rmb=800},,,Hat Trick,Perform 3 10 consecutive diamonds draws and get 3 S-quality Pokémons,,
7004,7,63,63,1000,,,50,{2514=1;rmb=350},,,My family owns a mine,"Draw coins 10 times consecutively for 1,000 times",,
7005,7,61,61,200,,,50,{rmb=1000},,,Treasure Hunt Obsession,Draw five times consecutively in Treasure Hunt for 200 times,,
7006,7,62,62,1000,,,50,{rmb=200},,,Shopaholic,"Refresh at any shop for 1,000 times",,
7007,7,64,64,40,,,50,{rmb=500},,,Title collection,Obtain 40 titles in total,,
7008,7,65,65,10,,,50,{rmb=200},,,Image Collection,Unlock 10 images in total,,
7009,7,66,66,10,,,50,{rmb=200},,,Avatar frame collection,Unlock 10 avatar frames in total,,
7010,7,67,67,250,,,50,{rmb=200},,,Avatar collection,Unlock 250 avatars in total,,
7011,7,68,68,3000,,,50,{rmb=100},,,"Wake up, your energy is full","Attain 3,000 combat power",,
7012,7,69,69,50,,,50,{rmb=100},,,Mails piling up,Mailbox is full with 50 mails,,
7013,7,70,70,200,,,50,{rmb=100},,,Cute Mimikyu,Tap and interact with Mimikyu in the Main City 200 times,,
7014,7,72,72,2000,,,50,{rmb=100},,,Charming little lads,"Tap and interact with any Pokémon in the Main City 2,000 times",,
7015,7,71,71,1000,,,50,{2515=1;rmb=100},,,The Dragon King arrives,"Chat in Global Channel 1,000 times",,
7016,7,75,75,150,,,50,{rmb=250},,,Salaryman,Attain 100 activity level for 150 days in total,,
7017,7,76,76,5000,,,50,{rmb=300},,,Treasure naturally appears from the deep mountains,Use diamond to draw Gems for 5000 times in total,,
7018,7,86,86,100,,,50,{rmb=350},,,Invisible Variety,Accumulatively discover all kinds of monsters in the main city and click to interact 100 times,,
7019,7,90,90,10,1,2622,50,{rmb=350},,,We won!,"Won the bet ( won the first place) 10 times in total at the ""Pokémon Race Season"" of the first anniversary carnival",,
7020,7,90,91,10,4,2622,50,{rmb=200},,,Unexpected accident...,"A total of 10 failed betting(Pokémon you bet as the last one) in the ""Pokémon Race Season"" event of the first anniversary carnival ",,
7021,7,91,101,1,1982,,50,{2026=1;rmb=200},,,"Ah, new rarity!",Get a Mega-Rayquaza for the first time,,
7022,7,91,102,1,1972,,50,{2033=1;rmb=200},,,"Ah, new rarity!",Get a Primal-Groudon for the first time,,
7023,7,91,103,1,1962,,50,{2063=1;rmb=200},,,Master of the ocean,First time receiving Primal Kyogre,,
7024,7,91,104,1,7011,,50,{2065=1;rmb=100},,,Team up with water ninjas,Get Ash-Greninja for the first time,,
7025,7,91,105,1,3632,,50,{2070=1;rmb=200},,,"Guardian of the star wall, the princess is here!",Get a Mega Diancie for the first time,,
7026,7,91,106,1,762,,50,{2126=1;rmb=200},,,"Change fate against the sky, fight endlessly!",Get a Super Mewtwo X for the first time,,
7027,7,91,107,1,763,,50,{2132=1;rmb=200},,,神形双体&精神掌控！,Get a Super Mewtwo Y for the first time,,<cn;kr;en;tw;en_us;en_eu>
7028,7,91,108,1,3242,,50,{2138=1;rmb=200},,,冰与火之歌,首次获得一只焰白酋雷姆,,<cn;kr;en;tw;en_us;en_eu>
7029,7,91,109,1,7101,,50,{2141=1;rmb=100},,,红莲假面&火系斗士,首次获得一只假面超级火焰鸡,,<cn;kr;en;tw;en_us;en_eu>
7030,7,91,110,1,3243,,50,{2145=1;rmb=200},,,冰与电之歌,首次获得一只暗黑酋雷姆,,<cn;kr;en;tw;en_us;en_eu>
7031,7,91,111,1,4103,,50,{2951=1;rmb=200},,,日光回旋下苍穹,首次获得一只黄昏之鬃,,<cn>
7032,7,91,112,1,4104,,50,{2958=1;rmb=200},,,月华飞溅落灵霄,首次获得一只拂晓之翼,,<cn>
7201,7,92,201,12,211,,50,{rmb=20},,,Trainers who are near Meowth can get rich!,Unlock Meowth's Pay Day,,
8001,4,93,93,10,,,20,{coin14=600;rmb=30},,,Hunter,A total of 10 clearances in the Safari Zone on normal routes,,<cn;kr;en;tw;en_us;en_eu>
8002,4,93,93,30,,,40,{coin14=1000;rmb=50},,2,Advance Hunter,A total of 30 clearances in the Safari Zone on normal routes,,<cn;kr;en;tw;en_us;en_eu>
8003,4,93,93,50,,,80,{coin14=3000;rmb=100},,3,King of hunting,A total of 50 clearances in the Safari Zone on normal routes,,<cn;kr;en;tw;en_us;en_eu>
8011,4,94,94,10,,,30,{coin14=800;rmb=60},,,Hunting Warrior,A total of 10 clearances in the Safari Zone advanced route,,<cn;kr;en;tw;en_us;en_eu>
8012,4,94,94,30,,,60,{coin14=1500;rmb=100},,2,Hunting master,A total of 30 clearances in the Safari Zone advanced route,,<cn;kr;en;tw;en_us;en_eu>
8013,4,94,94,50,,,100,{coin14=5000;rmb=200},,3,Peerless Hunting King,A total of 50 clearances in the Safari Zone advanced route,,<cn;kr;en;tw;en_us;en_eu>
8101,4,104,104,20,,,20,{coin19=600;rmb=30},,,卡牌入门,卡牌冒险玩法累计挑战20次,,<cn;kr;en;tw;en_us;en_eu>
8102,4,104,104,50,,,40,{coin19=1000;rmb=50},,2,卡牌老手,卡牌冒险玩法累计挑战50次,,<cn;kr;en;tw;en_us;en_eu>
8103,4,104,104,100,,,80,{coin19=3000;rmb=100},,3,卡牌精通,卡牌冒险玩法累计挑战100次,,<cn;kr;en;tw;en_us;en_eu>
8111,4,105,105,15,,,30,{coin19=800;rmb=60},,,卡牌学徒,卡牌冒险玩法累计通关15次,,<cn;kr;en;tw;en_us;en_eu>
8112,4,105,105,35,,,60,{coin19=1500;rmb=100},,2,卡牌大师,卡牌冒险玩法累计通关35次,,<cn;kr;en;tw;en_us;en_eu>
8113,4,105,105,60,,,100,{coin19=5000;rmb=200},,3,卡牌王者,卡牌冒险玩法累计通关60次,,<cn;kr;en;tw;en_us;en_eu>
