变量名,name,languages,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,unlock,unlockDesc,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,overture,offPos,chattext1,chattext2,chattext3,crossArenaPos,__version
84,修（活动限定）,<cn>,config/portrait/toptouxiang/img_role_84@.png,config/big_role/show/img_role_84@.png,config/big_role/show/img_role_84@.png,figure/xiu_yiji/xiu_ds.skel,,config/portrait/qbanrenwu/img_role_84.png,qbanrole/xiu_yiji_q.skel,,personal/img_bjt5.png,2,110,,,来到新地区进行探索的训练家，热衷于宝可梦对战和变强，是个疼爱妹妹的好哥哥。,{1=10},特殊活动投放,,{2290=1},,9,120,,10,120,,,,<70075>,<1>,,,,除了变强，还有什么别的东西需要在意么！,有时间在意那些女生的话不如去特训啊！,别来烦我！,{x=0;y=0},
85,奥琳,<cn>,config/portrait/toptouxiang/img_role_85@.png,config/big_role/show/img_role_85@.png,config/big_role/show/img_role_85@.png,figure/aolin/aolin.skel,,config/portrait/qbanrenwu/img_role_85.png,qbanrole/qban_aolin.skel,,personal/img_bjt5.png,2,110,,,奥琳是帕底亚地区顶尖的宝可梦研究者，专注于太晶化现象与悖谬宝可梦的研究,{1=10},特殊活动投放,,{2291=1},,7,1%,,7,240,,,,<70076>,<1>,,,,你好，年轻的训练家。我是奥琳，帕底亚的宝可梦研究者,你手上的传说钥匙……是解开太晶化秘密的第一步。准备好迎接挑战了吗？,太晶化是让宝可梦超越极限的力量……但也可能撕裂时空。去吧，去第零区寻找答案——我会在终点等你。,,
86,天桐（活动限定）,<cn>,config/portrait/toptouxiang/img_role_86@.png,config/big_role/show/img_role_86@.png,config/big_role/show/img_role_86@.png,figure/tiantong_wuyi/tiantong_wuyi.skel,,config/portrait/qbanrenwu/img_role_86.png,qbanrole/qban_tiantong_wuyi.skel,,personal/img_bjt5.png,2,110,,,超级愿望的男主角之一，三曜道馆的三兄弟馆主之一，小智在合众地区旅行的同伴，也是一位优秀的宝可梦酒侍,{1=10},特殊活动投放,,{2292=1},,9,1%,,9,120,,,,<70077>,<1>,,,,嗯，芳醇的香味…♪,It's tasting time!,我的佳酿，去吧，花椰猴！,{x=50;y=-10},
87,丹瑜,<cn>,config/portrait/toptouxiang/img_role_87@.png,config/big_role/show/img_role_87@.png,config/big_role/show/img_role_87@.png,figure/danyu/danyu.skel,,config/portrait/qbanrenwu/img_role_87.png,qbanrole/qban_danyu.skel,,personal/img_bjt5.png,2,110,,,来自北上乡，是蓝莓学园的在校生，联盟社成员。性格倔强、略微任性，虽然拙于表达但总是关心着弟弟乌栗。对于从其他地区来的人，她似乎会有较冷淡的态度,{1=10},特殊活动投放,,{2293=1},,7,1%,,7,240,,,,<70078>,<1>,,,,哦哟~？想不到你这家伙还挺温柔的！,要拍了哦……一起说~皮皮！,昨天的……那个！你没跟任何人说吧！？,{x=50;y=-10},
88,派帕（夏日限定）,<cn;tw;en_us>,config/portrait/toptouxiang/img_role_88@.png,config/big_role/show/img_role_88@.png,config/big_role/show/img_role_88@.png,figure/paipa_summer/paipa_summer.skel,,config/portrait/qbanrenwu/img_role_88.png,qbanrole/paipa_summer_q.skel,,personal/img_bjt5.png,2,110,,,"派帕是橘子学院/葡萄学院的学生，他穿着秋季制服，具有深浅棕发的特征,专注于研究能让宝可梦恢复活力的健康料理",{1=10},特殊活动投放,,{2294=1},,1,1%,,,,,,,<70079>,<1>,,,,虽然我的梦想是想成为能让宝可梦充满活力的厨师，但我也要变得更强！,这是属于我们的宝物！,你们知道，那个时候有多少人在为你们担心吗?,{x=0;y=-10},
90,小光（月兔版）,<cn>,config/portrait/toptouxiang/img_role_90@.png,config/big_role/show/img_role_90@.png,config/big_role/show/img_role_90@.png,figure/xiaoguang_yuetuban/xiaoguang_yuetuban.skel,,config/portrait/qbanrenwu/img_role_90.png,qbanrole/xiaoguang_yuetuban_q.skel,,personal/img_bjt5.png,2,110,,,小智在神奥地区旅行时遇到的同伴。是一名宝可梦协调训练家，梦想是成为像她妈妈一样的顶尖协调训练家,{1=10},特殊活动投放,,{2296=1},,8,1%,,8,240,,,,<70081>,<1>,,,,与宝可梦的相遇，是由一个个偶然积累出来的,我和你的相遇，说不定也是命运的安排呢！,有机会，你一定要来神奥地区玩喔！我会帮你带路的！,{x=0;y=-10},
91,竹兰（活动限定）,<cn;tw;en_us>,config/portrait/toptouxiang/img_role_91@.png,config/big_role/show/img_role_91@.png,config/big_role/show/img_role_91@.png,figure/zhulanguoqing/zhulanguoqing.skel,,config/portrait/qbanrenwu/img_role_91.png,qbanrole/zhulanguoqing_q.skel,,personal/img_bjt5.png,2,110,,,"竹兰是神奥联盟的冠军,实力惊人，备受尊敬。她被称为冠军联盟大师,也是一名考古学家。",{1=10},特殊活动投放,,{2297=1},,7,1%,,7,240,,,,<70082>,<1>,,,,宝可梦对战不是为了争强好胜，而是为了超越自己,真正的宝可梦训练家，会为了宝可梦而战,留存下来的，是历尽艰辛抵达这里的，旅途的记忆,{x=0;y=-10},
92,婉龙（万圣节）,<cn>,config/portrait/toptouxiang/img_role_92@.png,config/big_role/show/img_role_92@.png,config/big_role/show/img_role_92@.png,figure/wanlongpf/wanlongpf.skel,,config/portrait/qbanrenwu/img_role_92.png,qbanrole/q_wanlongpf.skel,,personal/img_bjt5.png,2,110,,,婉龙是合众地区四天王其中之一，也是一名优秀的小说家。她认为有足够的积累才能写好小说,{1=10},特殊活动投放,,{2298=1},,10,1%,,10,120,,,,<70083>,<1>,,,,感动的时候就会说不出话来。其实......我是写作的，现在的我却没办法用一大堆词汇来表达我现在的心情。你真是太棒了!!,我的宝可梦，还有挑战者的宝可梦虽然都伤痕累累，却还在战斗......谢了,挑战者，如果你击败了合众联盟其余几位四天王的话，你就可以继续挑战冠军了。,{x=-70;y=10},
93,牡丹,<cn>,config/portrait/toptouxiang/img_role_93@.png,config/big_role/show/img_role_93@.png,config/big_role/show/img_role_93@.png,figure/mudan/mudan.skel,,config/portrait/qbanrenwu/img_role_93.png,qbanrole/q_mudan.skel,,personal/img_bjt5.png,2,110,,{x=-120;y=0},牡丹有非常高超的骇客技术，可以轻易骇入手机洛托姆及联盟系统。,{1=10},特殊活动投放,,{2299=1},,1,1%,,,,,,,<70084>,<1>,,,,别问我是谁……你只需要知道，我在帮你清理碍眼的家伙。我们……各取所需,……天星队什么的，最讨厌了。你、你快点打倒他们然后离开啦。,我建立的避风港……最终却成了新的风暴。谢谢你，陪我一起结束这场错误,{x=-100;y=10},
94,玛俐（圣诞限定）,<cn>,config/portrait/toptouxiang/img_role_94@.png,config/big_role/show/img_role_94@.png,config/big_role/show/img_role_94@.png,figure/malishengdan/malishengdan.skel,,config/portrait/qbanrenwu/img_role_94.png,qbanrole/q_malishengdan.skel,,personal/img_bjt5.png,2,110,,,穿上了圣诞装束的玛俐,{1=10},特殊活动投放,,{4100=1},,8,1%,,8,240,,,,<70085>,<1>,,,,喏，给你……别一直盯着我看，只是在买补给品的时候顺便看到的，觉得稍微有点适合你而已。收好了……那个，圣诞快乐。,那群家伙，居然把霓虹灯挂在了我的莫鲁贝可身上……真是的。不过，看在今天是圣诞节的份上，就稍微原谅他们一次吧。,莫鲁贝可吃饱睡着了。现在……稍微安静一点了呢。那个……谢谢你一直以来的关照。明年，我也不会输给你的。,{x=-100;y=10},
95,寇沙,<cn>,config/portrait/toptouxiang/img_role_95@.png,config/big_role/show/img_role_95@.png,config/big_role/show/img_role_95@.png,figure/kousha/kousha.skel,,config/portrait/qbanrenwu/img_role_95.png,qbanrole/kousha_q.skel,,personal/img_bjt5.png,2,110,,,寇沙是深钵镇的道馆馆主，他以“崇尚自然艺术家”的身份活动，将宝可梦对战视为艺术作品，在道馆测验中测试训练家的审美眼光,{1=10},特殊活动投放,,{4101=1},,10,1%,,10,120,,,,<70086>,<1>,,,,新年快乐！,前卫啊！,嘿！,{x=-70;y=10},
96,小菊儿（新春限定）,<cn;kr>,config/portrait/toptouxiang/img_role_96@.png,config/big_role/show/img_role_96@.png,config/big_role/show/img_role_96@.png,figure/xiaojuer_xcxd/xiaojuer_xcxd.skel,,config/portrait/qbanrenwu/img_role_96.png,qbanrole/xiaojuer_xcxdq.skel,,personal/img_bjt5.png,2,110,,,小菊儿是合众地区雷文市雷文道馆的道馆馆主。精通电属性宝可梦，掌管伏特徽章,{1=10},特殊活动投放,,{4102=1},,7,1%,,7,240,,,,<70087>,<1>,,,,我本来是想要让你目眩神迷的，没想到反而被你迷上了,感觉还不够啊……下次能使出全力来吗,你是一个闪着光芒的优秀训练家。但还是敌不过我的宝可梦们的光芒,{x=-100;y=100},
100,联盟大赛主持人,,,config/big_role/show/img_role_11@.png,,,,,,,,2,,,,,{1=199},等级到达10级后可解锁,,{gold=1000},1,1,100,,8,0,,,,,,1,,,1111,2222,3333,,
101,图鉴洛托姆,,,login/new_character/img_tjltm@.png,,,,,,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
201,阿蜜,,config/portrait/toptouxiang/img_am@.png,config/big_role/show/ami@.png,config/big_role/show/ami@.png,figure/gym/daoguan_ami.skel,,config/portrait/qbanrenwu/img_role_57.png,qbanrole/ami.skel,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
202,阿速,,config/portrait/toptouxiang/img_as@.png,config/big_role/show/asu@.png,config/big_role/show/asu@.png,figure/gym/daoguan_asu.skel,,,,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
203,玛绣,,config/portrait/toptouxiang/img_mx@.png,config/big_role/show/maxiu@.png,config/big_role/show/maxiu@.png,figure/gym/daoguan_maxiu.skel,,,qbanrole/maxiu.skel,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
204,青绿,,config/portrait/toptouxiang/img_ql@.png,config/big_role/show/qinglv@.png,config/big_role/show/qinglv@.png,figure/gym/daoguan_qinglv.skel,,,,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
205,松叶,,config/portrait/toptouxiang/img_sy@.png,config/big_role/show/songye@.png,config/big_role/show/songye@.png,figure/gym/daoguan_songye.skel,,,qbanrole/songye.skel,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
206,夏伯,,config/portrait/toptouxiang/img_xb@.png,config/big_role/show/xiabo@.png,config/big_role/show/xiabo@.png,figure/gym/daoguan_xiabo.skel,,config/portrait/qbanrenwu/img_role_57.png,qbanrole/xiabo.skel,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
207,夏卡,,config/portrait/toptouxiang/img_xk@.png,config/big_role/show/xiaka@.png,config/big_role/show/xiaka@.png,figure/gym/daoguan_xiaka.skel,,,,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
208,小崧,,config/portrait/toptouxiang/img_xs@.png,config/big_role/show/xiasong@.png,config/big_role/show/xiasong@.png,figure/gym/daoguan_xiaosong.skel,,,qbanrole/q_xiaosong.skel,,,2,,,,,{1=199},,,{gold=1000},,,,,,,,,,,,1,,,,,,,
