变量名,name,languages,drawlanguages,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction,location,aidID,contractPlan,emeraPlanID,__version,chipsMod,contractMod,gemMod
2411,霏欧纳,<cn;kr;tw;en;en_us;en_eu>,,2411,,<8>,,,,,,,,2411,52411,,0,,<24;23;14;16>,,<80;80;80;80;80;80;480>,,3,11,3,<621;622;623;602;603>,,,3,2411,,{148=<24131;24132;24133;24136;61151;61152>},24113,<24111;24112;24113;24116;61151;61152>,2411,,<11023;11123;11223;11323>,22411,3,3,{drawcard=huang_effect_loop},2411,4,3,3,3,<24111;24112;24113;24114>,1042,15,0.8,据说看到霏欧纳就会带来好运，据说木通镇上好几年的宝可梦竞技赛优胜者都曾见过霏欧纳。霏欧纳能够融化在液体中使自己不容易被发现,沧海的小王子,,430,2,,,<<116;204>;<117;206>>,<1027>
2421,玛纳霏,<cn;kr;tw;en;en_us;en_eu>,,2421,,<8>,,,,,,,,2421,52421,,0,,<24;23;14;16>,2,<100;100;100;100;100;100;600>,,4,21,4,<621;622;623;604;605>,,,4,2421,,{126=<24241;24242;24243;24246;61151;61152>;160=<24371;24372;24373;24376;61151;61152>},24213,<24211;24212;24213;24216;61151;61152>,2421,,<11024;11124;11224;11324>,22421,4,4,{drawcard=hong_effect_loop},2421,9,4,4,4,<24211;24212;24213;24214>,1033,20,,水属性幻之宝可梦，出生于冰冷的海底，洄游在大洋中，拥有与生俱来的神奇力量，能和任何宝可梦心灵相通,沧海的王子,2421,530,2,,<2018;2017>,<<124;204>;<125;202>>,<2019;2020>
2431,达克莱伊,<cn;kr;tw;en;en_us;en_eu>,,2431,,<8>,,,,,,,,2431,52431,,0,,<6;7;18;19>,2,<70;125;90;90;135;90;600>,,4,21,4,<606;607;608;604;605>,,,4,2431,,{104=<24321;24322;24323;24326;61101;61102>},24313,<24311;24312;24313;24316;61101;61102>,2431,,<11014;11114;11214;11314>,22431,4,4,{drawcard=hong_effect_loop},2431,8,4,4,4,<24311;24312;24313;24314>,1503,20,0.7,达克莱伊，黑暗宝可梦。据说在无月之夜出现，使人们入睡并遭受噩梦。,噩梦掌控&梦魇汲取,2431,540,2,,<2016;2027>,<<126;202>>,<2017;2032>
2441,谢米,<cn;kr;tw;en;en_us;en_eu>,,2441,,<8>,,1,2,,,8,,2441,52441,,0,,<6;7;18;19>,3,<100;100;100;100;100;100;600>,,4,21,4,<609;610;611;604;605>,,,4,2441,,,24413,<24411;24412;24413;24416;61101;61102>,2441,,<11004;11104;11204;11304>,22441,4,4,{drawcard=hong_effect_loop},2441,10,4,4,4,<24411;24412;24413;24414>,1523,20,,象征感恩的幻之宝可梦，能通过心灵感应交流并感受他人的感恩之心，拥有净化大气毒素，令荒芜大地瞬间变成花海的力量,治疗链接&感恩种子,,540,2,,<2019;2021>,<<126;202>>,<2020;2024>
2442,谢米·天空,<cn;kr;tw;en;en_us;en_eu>,,2441,,<8>,,2,2,,,8,,2441,52441,,0,,<6;7;18;19>,3,<100;127;103;75;120;75;600>,,4,21,4,<609;610;611;604;605>,,,4,2442,,,24423,<24421;24422;24423;24426;61101;61102>,2441,,<11004;11104;11204;11304>,22441,4,4,{drawcard=hong_effect_loop},2441,10,4,4,4,<24411;24412;24413;24414>,1523,20,,象征感恩的幻之宝可梦，能通过心灵感应交流并感受他人的感恩之心，天空形态的谢米常于葛拉西蒂亚花盛开的季节翱翔天空,蝴蝶治疗&感恩花束,,540,2,,<2019;2021>,<<126;202>>,<2020;2024>
2461,比克提尼,<cn;kr;tw;en;en_us;en_eu>,,2461,,<8>,,,,,,,,2461,52461,,0,,<6;7;18;19>,3,<100;100;100;100;100;100;600>,,4,21,4,<606;607;608;604;605>,,,4,2461,,{119=<24631;24632;24633;24636;61101;61102>},24613,<24611;24612;24613;24616;61101;61102>,2461,,<11014;11114;11214;11314>,22461,4,4,{drawcard=hong_effect_loop},2461,7,4,4,4,<24611;24612;24613;24614>,1103,20,,传说称收服了比克提尼的训练家永远不会失败。它的体内可以产生无尽的能量，并可以将这股能量通过触摸的方式传递给其他宝可梦,胜利火种,2461,530,2,,<2020;2021>,<<124;204>;<125;202>>,<2021;2024>
2471,藤藤蛇,<cn;kr;en;en_us;en_eu;tw>,<cn;kr;en;en_us;en_eu;tw>,2471,,<8>,,,,,,,,2471,52471,,,,<6;8;14;16>,,<45;63;45;55;45;55;308>,,3,11,3,<609;610;611;602;603>,,,3,2471,,,24713,<24711;24712;24713;24716;61101;61102>,2471,,<11002;11102;11202;11302>,22471,3,3,{drawcard=huang_effect_loop},2471,3,3,3,3,<24711;24712;24713;24714>,1532,15,0.75,藤藤蛇，草蛇宝可梦。总是保持冷静，不被任何事物动摇，以尾巴上的叶子进行光合作用产生能量。,全体缠绕&负面转化,2471,440,2,,,<<118;204>;<119;204>>,
2472,青藤蛇,<cn;kr;en;en_us;en_eu;tw>,<cn;kr;en;en_us;en_eu;tw>,2471,,<8>,2,,,,,,,2471,52471,,,,<6;8;14;16>,,<60;83;60;75;60;75;413>,,3,11,3,<609;610;611;602;603>,,,3,2472,,,24723,<24721;24722;24723;24726;61101;61102>,2471,,<11002;11102;11202;11302>,22471,3,3,{drawcard=huang_effect_loop},2471,3,3,3,3,<24711;24712;24713;24714>,1532,15,0.75,青藤蛇，草蛇宝可梦，藤藤蛇的进化形。藉由潜入茂密草木的阴影之中，来躲避攻击，会用灵巧的甩鞭进行反击。,全体缠绕&负面转化,2471,440,2,,,<<118;204>;<119;204>>,
2473,君主蛇,<cn;kr;en;en_us;en_eu;tw>,<cn;kr;en;en_us;en_eu;tw>,2471,,<8>,3,,,,,,,2471,52471,,,,<6;8;14;16>,,<75;113;75;95;75;95;528>,,3,11,3,<609;610;611;602;603>,,,3,2473,,,24733,<24731;24732;24733;24736;61101;61102>,2471,,<11002;11102;11202;11302>,22471,3,3,{drawcard=huang_effect_loop},2471,3,3,3,3,<24711;24712;24713;24714>,1532,15,0.75,君主蛇，皇家宝可梦，青藤蛇的进化形，光是瞪视，就可以让对手无法动弹，会让太阳之力在体内增幅。,全体缠绕&负面转化,2471,440,2,,,<<118;204>;<119;204>>,
2481,暖暖猪,,,2481,,<7>,,,,,,,,2481,52481,,,,<11;12;15;16>,,<65;45;63;45;45;45;308>,,2,11,2,<618;619;620;602;603>,,,2,2481,,,24813,<24811;24812;24813;24816;61101;61102>,2481,,<11032;11132;11232;11332>,22481,2,2,,2481,16,2,2,2,<24811;24812;24813>,1181,,1.1,可以轻巧地躲避敌人的攻击，从鼻子里射出火球来。会用火烤树果吃。,火焰破盾,,310,,,,<<103;208>;<102;208>;<101;209>>,
2482,炒炒猪,,,2481,,<7>,2,,,,,,,2481,52481,,,,<10;11;13;9>,,<90;55;93;55;70;55;418>,,2,11,2,<618;619;620;602;603>,,,2,2482,,,24823,<24821;24822;24823;24826;61101;61102>,2481,,<11032;11132;11232;11332>,22481,2,2,,2481,16,2,2,2,<24811;24812;24813>,1181,,1.1,如果体内的火焰燃起，动作就会变得非常敏捷。危机时刻会喷出烟雾。,火焰破盾,,310,,,,<<103;208>;<102;208>;<101;209>>,
2483,炎武王,,,2481,,<7>,3,,,,,,,2481,52481,,,,<10;11;13;9>,,<110;65;123;65;100;65;528>,,2,11,2,<618;619;620;602;603>,,,2,2483,,,24833,<24831;24832;24833;24836;61101;61102>,2481,,<11032;11132;11232;11332>,22481,2,2,,2481,16,2,2,2,<24811;24812;24813>,1181,,1.1,用下颚的火焰燃烧拳头，连续使出火焰拳。是对伙伴非常体贴的宝可梦。,火焰破盾,,310,,,,<<103;208>;<102;208>;<101;209>>,
2491,水水獭,,,2491,,<8>,,,,,,,,2491,52491,,,,<18;19;20;21>,,<55;45;55;45;63;45;308>,,3,11,3,<621;622;623;602;603>,,,3,2491,,,24913,<24911;24912;24913;24916;61101;61102>,2491,,<11023;11123;11223;11323>,22491,3,3,{drawcard=huang_effect_loop},2491,,3,3,3,<24911;24912;24913;24914>,1052,15,0.95,水水獭可以摘下腹部的扇贝贝当武器使用，诸如像使用小刀一样攻击，或是用扇贝贝来防御,禁疗增伤&功能输出,,410,,,,<<110;204>;<111;206>;<112;204>>,
2492,双刃丸,,,2491,,<8>,2,,,,,,,2491,52491,,,,<18;19;20;21>,,<75;60;75;60;83;60;413>,,3,11,3,<621;622;623;602;603>,,,3,2492,,,24923,<24921;24922;24923;24926;61101;61102>,2491,,<11023;11123;11223;11323>,22491,3,3,{drawcard=huang_effect_loop},2491,,3,3,3,<24911;24912;24913;24914>,1052,15,0.95,双刃丸是一个酷似忍者的水属性宝可梦。说它酷似忍者是因为它有着类似空手劈一般的扇贝贝。它有着白色的猫一般的胡须，类似于大尾狸更小一点的梭状尾巴以及如同小丑一般小小的椭圆红色鼻子,禁疗增伤&功能输出,,410,,,,<<110;204>;<111;206>;<112;204>>,
2493,大剑鬼,,,2491,,<8>,3,,,,,,,2491,52491,,,,<18;19;20;21>,,<95;70;100;85;108;70;528>,,3,11,3,<621;622;623;602;603>,,,3,2493,,,24933,<24931;24932;24933;24936;61101;61102>,2491,,<11023;11123;11223;11323>,22491,3,3,{drawcard=huang_effect_loop},2491,,3,3,3,<24911;24912;24913;24914>,1052,15,0.95,大剑鬼的对战作风十分特殊，犹如是在沉默间就可以打败对手的一个厉害的宝可梦。在生活中，大剑鬼是一个默默无言为训练家奉献的温和型宝可梦,禁疗增伤&功能输出,,410,,,,<<110;204>;<111;206>;<112;204>>,
2591,石丸子,,,2591,,<7>,,,,,,,,2591,52591,,,,<15;16;11;12>,,<55;15;75;85;25;25;280>,,2,11,2,<615;616;617;602;603>,,,2,2591,,,25913,<25911;25912;25913;25916;61151;61152>,2591,,<11042;11142;11242;11342>,22591,2,2,,2591,17,2,2,2,<25911;25912;25913>,1001,,0.85,是从地裂的断层中被发现的。构成身体的成分是好几百年前的土。,前排承伤：石化变硬,,320,4,,,<<106;208>;<105;208>;<104;209>>,
2592,地幔岩,,,2591,,<7>,2,,,,,,,2591,52591,,,,<7;8;9;12>,,<70;20;105;105;50;40;390>,,2,11,2,<615;616;617;602;603>,,,2,2592,,,25923,<25921;25922;25923;25926;61151;61152>,2591,,<11042;11142;11242;11342>,22591,2,2,,2591,17,2,2,2,<25911;25912;25913>,1001,,0.85,从身体里溢出的能量变成了橙色的结晶。其硬度连钻石都能弄碎。,前排承伤：石化变硬,,320,4,,,<<106;208>;<105;208>;<104;209>>,
2593,庞岩怪,,,2591,,<7>,3,,,,,,,2591,52591,,,,<11;12;15;16>,,<85;25;135;130;60;80;515>,,2,11,2,<615;616;617;602;603>,,,2,2593,,,25933,<25931;25932;25933;25936;61151;61152>,2591,,<11042;11142;11242;11342>,22591,2,2,,2591,17,2,2,2,<25911;25912;25913>,1001,,0.85,如果以全力射出能量，那力量能让它自己的身体骤然产生出无数裂缝。,前排承伤：石化变硬,,320,4,,,<<106;208>;<105;208>;<104;209>>,
2611,螺钉地鼠,,,2611,,<7>,,,,,,,,2611,52611,,,,<7;8;9;12>,,<60;68;85;40;30;45;328>,,2,11,2,<609;610;611;602;603>,,,2,2611,,,26113,<26111;26112;26113;26116;61151;61152>,2611,,<11002;11102;11202;11302>,22611,2,2,,2611,16,2,2,2,<26111;26112;26113>,1201,,1.1,将双掌上的爪子并拢，并让身体高速旋转的话，就会以迅猛的速度在地里前进。,物防坦克杀手,,310,,,,<<103;208>;<102;208>;<101;209>>,
2612,龙头地鼠,,,2611,,<7>,2,,,,,,,2611,52611,,,,<7;8;9;12>,,<110;88;135;60;50;65;508>,,2,11,2,<609;610;611;602;603>,,,2,2612,,,26123,<26121;26122;26123;26126;61151;61152>,2611,,<11002;11102;11202;11302>,22611,2,2,,2611,16,2,2,2,<26111;26112;26113>,1201,,1.1,进化成钢的钻头拥有穿透铁板的破坏力。在隧道工程里非常活跃。,物防坦克杀手,,310,,,,<<103;208>;<102;208>;<101;209>>,
2631,搬运小匠,,,2631,,<7>,,,,,,,,2631,52631,,,,<11;12;15;16>,,<75;35;80;55;25;35;305>,,2,11,2,<612;613;614;602;603>,,,2,2631,,,26313,<26311;26312;26313;26316;61151;61152>,2631,,<11052;11152;11252;11352>,22631,2,2,,2631,18,2,2,2,<26311;26312;26313>,1091,,1.05,经常拿着方材走，帮忙做土木工程。长大后会换大的方材拿。,眩晕增伤,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2632,铁骨土人,,,2631,,<7>,2,,,,,,,2631,52631,,,,<11;12;15;16>,,<85;40;105;85;40;50;405>,,2,11,2,<612;613;614;602;603>,,,2,2632,,,26323,<26321;26322;26323;26326;61151;61152>,2631,,<11052;11152;11252;11352>,22631,2,2,,2631,18,2,2,2,<26311;26312;26313>,1091,,1.05,身体经过锻炼充满了肌肉，即使是职业摔角手一拥而上进行攻击，也是纹丝不动。,眩晕增伤,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2633,修建老匠,,,2631,,<7>,3,,,,,,,2631,52631,,,,<11;12;15;16>,,<105;45;140;95;55;65;505>,,2,11,2,<612;613;614;602;603>,,,2,2633,,,26333,<26331;26332;26333;26336;61151;61152>,2631,,<11052;11152;11252;11352>,22631,2,2,,2631,18,2,2,2,<26311;26312;26313>,1091,,1.05,熟练学会了不依赖力量，灵活运用离心力挥舞混凝土的招式。,眩晕增伤,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2681,百足蜈蚣,,,2681,,<7>,,,,,,,,2681,52681,,,,<6;8;14;16>,,<30;57;45;59;30;39;260>,,2,11,2,<609;610;611;602;603>,,,2,2681,,,26813,<26811;26812;26813;26816;61101;61102>,2681,,<11002;11102;11202;11302>,22681,2,2,,2681,19,2,2,2,<26811;26812;26813>,1511,,0.6,会咬住对手施以剧毒。就连它的天敌大型鸟宝可梦也会身体麻痹，动弹不得。,毒系输出,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2682,车轮球,,,2681,,<7>,2,,,,,,,2681,52681,,,,<24;23;14;16>,,<40;47;55;99;40;79;360>,,2,11,2,<609;610;611;602;603>,,,2,2682,,,26823,<26821;26822;26823;26826;61101;61102>,2681,,<11002;11102;11202;11302>,22681,2,2,,2681,19,2,2,2,<26811;26812;26813>,1511,,0.6,被坚硬的壳保护着。像轮胎那样地旋转，猛烈地撞击敌人。,毒系输出,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2683,蜈蚣王,,,2681,,<7>,3,,,,,,,2681,52681,,,,<8;9;13;12>,,<60;112;100;89;55;69;485>,,2,11,2,<609;610;611;602;603>,,,2,2683,,,26833,<26831;26832;26833;26836;61101;61102>,2681,,<11002;11102;11202;11302>,22681,2,2,,2681,19,2,2,2,<26811;26812;26813>,1511,,0.6,以敏捷的动作穷追敌人，用头上的角进行攻击。在敌人毙命前绝不罢手。,毒系输出,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2721,黑眼鳄,,,2721,,<7>,,,,,,,,2721,52721,,,,<7;8;9;12>,,<50;65;72;35;35;35;292>,,3,11,3,<609;610;611;602;603>,,,3,2721,,,27213,<27211;27212;27213;27216;61101;61102>,2721,,<11003;11103;11203;11303>,22721,3,3,{drawcard=huang_effect_loop},2721,,3,3,3,<27211;27212;27213;27214>,1052,15,0.95,因为还不太擅长狩猎，所以主要是吃倒毙在沙漠里的东西。被称为沙漠的清扫者。,真伤溅射&单体致盲,2721,410,,,,<<110;204>;<111;206>;<112;204>>,
2722,混混鳄,,,2721,,<7>,2,,,,,,,2721,52721,,,,<7;8;9;12>,,<60;74;82;45;45;45;351>,,3,11,3,<609;610;611;602;603>,,,3,2722,,,27223,<27221;27222;27223;27226;61101;61102>,2721,,<11003;11103;11203;11303>,22721,3,3,{drawcard=huang_effect_loop},2721,,3,3,3,<27211;27212;27213;27214>,1052,15,0.95,把猎物的一部分埋在沙子里，作为狩猎失败时的储备粮。,真伤溅射&单体致盲,2721,410,,,,<<110;204>;<111;206>;<112;204>>,
2723,流氓鳄,,,2721,,<7>,3,,,,,,,2721,52721,,,,<7;8;9;12>,,<95;92;117;80;65;70;519>,,3,11,3,<609;610;611;602;603>,,,3,2723,,,27233,<27231;27232;27233;27236;61101;61102>,2721,,<11003;11103;11203;11303>,22721,3,3,{drawcard=huang_effect_loop},2721,,3,3,3,<27211;27212;27213;27214>,1052,15,0.95,把身体藏在沙漠蜻蜓引起的沙暴中，静静地等待着猎物的到来。,真伤溅射&单体致盲,2721,410,,,,<<110;204>;<111;206>;<112;204>>,
2801,始祖小鸟,<cn>,,2801,,<7>,,,,,,,,2801,52801,,,,<10;11;13;9>,,<55;70;112;45;74;45;401>,,3,11,3,<615;616;617;602;603>,,,3,2801,,,28013,<28011;28012;28013;28016;61101;61102>,2801,,<11043;11143;11243;11343>,22801,3,3,{drawcard=huang_effect_loop},2801,,3,3,3,<28011;28012;28013;28014>,1122,15,0.55,是所有鸟宝可梦的祖先。始祖小鸟本身还不会飞，在树上跳着移动。,天空猎杀&捕猎本能,,430,2,,,<<116;204>;<117;206>>,
2802,始祖大鸟,<cn>,,2801,,<7>,2,,,,,,,2801,52801,,,,<10;11;13;9>,,<75;110;140;65;112;65;567>,,3,11,3,<615;616;617;602;603>,,,3,2802,,,28023,<28021;28022;28023;28026;61101;61102>,2801,,<11043;11143;11243;11343>,22801,3,3,{drawcard=huang_effect_loop},2801,,3,3,3,<28011;28012;28013;28014>,1122,15,0.55,据说是鸟宝可梦的祖先。挥动翅膀的肌肉还很弱，必须助跑才能飞起来。,天空猎杀&捕猎本能,,430,2,,,<<116;204>;<117;206>>,
2821,索罗亚,,,2821,,<8>,,,,,,,,2821,52821,,,,<18;19;20;21>,,<40;65;65;40;80;40;330>,,3,11,3,<606;607;608;602;603>,,,3,2821,,,28213,<28211;28212;28213;28216;61101;61102>,2821,,<11013;11113;11213;11313>,22821,3,3,{drawcard=huang_effect_loop},2821,,3,3,3,<28211;28212;28213;28214>,1062,15,0.6,平时很爱说话的孩子如果突然不说话了，或许是被索罗亚替换了哦。,幻影的霸者&幻化之力,,410,,,,<<110;204>;<111;206>;<112;204>>,
2822,索罗亚克,,,2821,,<8>,2,,,,,,,2821,52821,,,,<18;19;20;21>,,<60;105;105;60;120;60;510>,,3,11,3,<606;607;608;602;603>,,,3,2822,,,28223,<28221;28222;28223;28226;61101;61102>,2821,,<11013;11113;11213;11313>,22821,3,3,{drawcard=huang_effect_loop},2821,,3,3,3,<28211;28212;28213;28214>,1062,15,0.6,据说，栖息地快要暴露在人类面前时，它就会制造出幻象，让人在森林里不断徘徊。,幻影的霸者&幻化之力,,410,,,,<<110;204>;<111;206>;<112;204>>,
2831,泡沫栗鼠,<cn;kr;en;en_us;en_eu;tw>,,2831,,<7>,,,,,,,,2831,52831,,,,<8;9;13;12>,,<55;75;50;40;40;40;300>,,2,11,2,<606;607;608;602;603>,,,2,2831,,,28313,<28311;28312;28313;28316;61101;61102>,2831,,<11011;11111;11211;11311>,22831,2,2,,2831,19,2,2,2,<28311;28312;28313>,1521,,0.75,泡沫栗鼠，栗鼠宝可梦。是很喜欢干净物品的宝可梦。要是发现脏掉的东西，就会用尾巴代替扫帚，来打扫干净。,负面清扫,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2832,奇诺栗鼠,<cn;kr;en;en_us;en_eu;tw>,,2831,,<7>,2,,,,,,,2831,52831,,,,<8;9;13;12>,,<75;115;95;60;65;60;470>,,2,11,2,<606;607;608;602;603>,,,2,2832,,,28323,<28321;28322;28323;28326;61101;61102>,2831,,<11011;11111;11211;11311>,22831,2,2,,2831,19,2,2,2,<28311;28312;28313>,1521,,0.75,奇诺栗鼠，丝巾宝可梦。泡沫栗鼠的进化形。白色长毛上有着特殊的覆盖层，可以闪避敌人的攻击,负面清扫,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2841,哥德宝宝,<cn;kr;en;en_us;en_eu;tw>,,2841,,<8>,,,,,,,,2841,52841,,,,<22;24;18;20>,,<45;45;30;50;55;65;290>,,2,11,2,<606;607;608;602;603>,,,2,2841,,,28413,<28411;28412;28413;28416;61101;61102>,2841,,<11012;11112;11212;11312>,22841,2,2,,2841,19,2,2,2,<28411;28412;28413>,1041,,0.7,用蝴蝶结一样的触角让精神力量增强。一直都目不转睛地盯着什么。,次元空间&超能辅助,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2842,哥德小童,<cn;kr;en;en_us;en_eu;tw>,,2841,,<8>,2,,,,,,,2841,52841,,,,<22;24;18;20>,,<60;55;45;70;75;85;390>,,2,11,2,<606;607;608;602;603>,,,2,2842,,,28423,<28421;28422;28423;28426;61101;61102>,2841,,<11012;11112;11212;11312>,22841,2,2,,2841,19,2,2,2,<28411;28412;28413>,1041,,0.7,据说会在星光闪耀的夜晚把睡着的孩子们带走。也有人称它为惩罚魔女。,次元空间&超能辅助,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2843,哥德小姐,<cn;kr;en;en_us;en_eu;tw>,,2841,,<8>,3,,,,,,,2841,52841,,,,<22;24;18;20>,,<70;65;55;95;95;110;490>,,2,11,2,<606;607;608;602;603>,,,2,2843,,,28433,<28431;28432;28433;28436;61101;61102>,2841,,<11012;11112;11212;11312>,22841,2,2,,2841,19,2,2,2,<28411;28412;28413>,1041,,0.7,根据星星的动向预知未来。虽然拥有强大的精神力量，但生性并不喜好纷争。,次元空间&超能辅助,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2871,迷你冰,,,2871,,<8>,,,,,,,,2871,52871,,,,<22;24;18;20>,,<36;44;50;50;65;60;305>,,2,11,2,<615;616;617;602;603>,,,2,2871,,,28713,<28711;28712;28713;28716;61101;61102>,2871,,<11042;11142;11242;11342>,22871,2,2,,2871,19,2,2,2,<28711;28712;28713>,1541,,0.71,是由沐浴在朝阳下但仍不愿融化的冰柱诞生而成。晚上会潜入雪中睡觉。,冰系输出：溅射伤害,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2872,多多冰,,,2871,,<8>,2,,,,,,,2871,52871,,,,<22;24;18;20>,,<51;59;65;65;80;75;395>,,2,11,2,<615;616;617;602;603>,,,2,2872,,,28723,<28721;28722;28723;28726;61101;61102>,2871,,<11042;11142;11242;11342>,22871,2,2,,2871,19,2,2,2,<28711;28712;28713>,1541,,0.71,从冰河时期生存下来，非常魁梧的宝可梦。特别是在炎热的地方，极受欢迎。,冰系输出：溅射伤害,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2873,双倍多多冰,,,2871,,<8>,3,,,,,,,2871,52871,,,,<18;19;20;21>,,<71;79;95;85;110;95;535>,,2,11,2,<615;616;617;602;603>,,,2,2873,,,28733,<28731;28732;28733;28736;61101;61102>,2871,,<11042;11142;11242;11342>,22871,2,2,,2871,19,2,2,2,<28711;28712;28713>,1541,,0.71,因朝阳而开始融化的2只多多冰贴在一起，在寒冷的夜里再次冻结时诞生而成。,冰系输出：溅射伤害,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2891,电飞鼠,,,2891,,<8>,,,,,,,,2891,52891,,,,<8;9;18;19>,,<55;103;75;60;75;60;428>,,2,11,2,<612;613;614;602;603>,,,2,2891,,,28913,<28911;28912;28913;28916;61101;61102>,2891,,<11052;11152;11252;11352>,22891,2,2,,2891,19,2,2,2,<28911;28912;28913>,1071,,0.55,飞鼠宝可梦。生活在森林里的树木上，会使用斗篷般的翼膜滑翔于空中。,电力增幅,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2921,轻飘飘·雌,,,2921,,<8>,,,,,,,,2921,52921,,2,,<6;7;18;19>,,<55;40;40;50;65;85;335>,,2,11,2,<621;622;623;602;603>,,,2,2921,,,29213,<29211;29212;29213;29216;61151;61152>,2921,,<11022;11122;11222;11322>,22921,2,2,,2921,20,2,2,2,<29211;29212;29213>,1511,,,会用薄纱般的手脚缠住正在游泳的猎物，将其拖入深海之中。,前排治疗,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2922,轻飘飘·雄,,,2922,,<8>,,,,,,,,2922,52922,,1,,<6;7;18;19>,,<55;40;40;50;65;85;335>,,2,11,2,<621;622;623;602;603>,,,2,2922,,,29223,<29221;29222;29223;29226;61151;61152>,2922,,<11022;11122;11222;11322>,22922,2,2,,2922,20,2,2,2,<29221;29222;29223>,1111,,,会用薄纱般的手脚缠住正在游泳的猎物，将其拖入深海之中。,血量打击,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2923,胖嘟嘟·雌,,,2921,,<8>,2,,,,,,,2921,52921,,2,,<6;7;18;19>,,<100;60;60;70;85;105;480>,,2,11,2,<621;622;623;602;603>,,,2,2923,,,29233,<29231;29232;29233;29236;61151;61152>,2921,,<11022;11122;11222;11322>,22921,2,2,,2921,20,2,2,2,<29211;29212;29213>,1511,,,它是令渔夫恐惧的存在。传说，它会将渔夫拖入海中，夺走对方的性命。,前排治疗,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2924,胖嘟嘟·雄,,,2922,,<8>,2,,,,,,,2922,52922,,1,,<6;7;18;19>,,<100;60;60;70;85;105;480>,,2,11,2,<621;622;623;602;603>,,,2,2924,,,29243,<29241;29242;29243;29246;61151;61152>,2922,,<11022;11122;11222;11322>,22922,2,2,,2922,20,2,2,2,<29221;29222;29223>,1111,,,它是令渔夫恐惧的存在。传说，它会将渔夫拖入海中，夺走对方的性命。,血量打击,,330,2,,,<<109;209>;<108;208>;<107;208>>,
2961,齿轮儿,,,2961,,<7>,,,,,,,,2961,52961,,0,,<24;23;14;16>,,<40;30;55;70;45;60;300>,,2,11,2,<615;616;617;602;603>,,,2,2961,,,29613,<29611;29612;29613;29616;61151;61152>,2961,,<11042;11142;11242;11342>,22961,2,2,,2961,17,2,2,2,<29611;29612;29613>,1531,,0.6,2个身体的组合是定好了的。和别的身体不会咬合会分离。,增益辅助：后排回怒,,320,4,,,<<106;208>;<105;208>;<104;209>>,
2962,齿轮组,,,2961,,<7>,2,,,,,,,2961,52961,,0,,<24;23;14;16>,,<60;50;80;95;70;85;440>,,2,11,2,<615;616;617;602;603>,,,2,2962,,,29623,<29621;29622;29623;29626;61151;61152>,2961,,<11042;11142;11242;11342>,22961,2,2,,2961,17,2,2,2,<29611;29612;29613>,1531,,0.6,通过改变旋转方向与同伴传达情感。越愤怒旋转速度越快。,增益辅助：后排回怒,,320,4,,,<<106;208>;<105;208>;<104;209>>,
2963,齿轮怪,,,2961,,<7>,3,,,,,,,2961,52961,,0,,<15;16;11;12>,,<60;90;100;115;70;85;520>,,2,11,2,<615;616;617;602;603>,,,2,2963,,,29633,<29631;29632;29633;29636;61151;61152>,2961,,<11042;11142;11242;11342>,22961,2,2,,2961,17,2,2,2,<29611;29612;29613>,1531,,0.6,红色核心担当着能量罐的角色。填充好的能量会从尖刺射向周围。,增益辅助：后排回怒,,320,4,,,<<106;208>;<105;208>;<104;209>>,
