变量名,skillName,_beizhu,skillTypeShow,describe,describe1,simDesc,starEffect,starEffectDesc,starEffectDesc1,zawakeEffect,zawakeEffectDesc,zawakeEffectDesc1,zawakeStarEffectDesc1,zawakeSimpleType,zawakeSimpleDesc,upLvDesc,iconRes,isGlobal,changeUnitTrigger,isCombat,alwaysEffective,passivePriority,skillType,skillType2,skillDamageType,skillNatureType,skillPower,skillHit,weather,cdRound,startRound,passiveStartRound,passiveTriggerType,passiveTriggerArg,posChoose,moveTime,specialChoose,hitFormula,hintTargetType,hintChoose,specialHintChoose,autoHintChoose,targetTypeDesc,targetChooseType,_attacktest,damageFormula,_damageFormula,hpFormula,skillCalDamageProcessId,diffSkillCalDmgProcessId,skillProcess,passiveSkillAttrs,activeType,activeCondition,fightingPoint,costMp1,costMp1Args,recoverMp1,widgetEffects,hurtMp1,costID,posC,chargeArgs,skillArgs,conditionValue,spineAction,flashBack,cameraNear,cameraNear_posC,cameraNear_blankTime,cameraNear_scaleArgs,blankTime,scaleArgs,effectBigName,effectBigPos,effectBigFlip,notShowProcedure,hurtPos,sound,allEffectTime,descGray,keyWords,zawakeKeyWords,skillPriority,zawakeStarEffectDesc,specialRatio,skillFlag,summonInherit,blockEffect,__version
24639,剑·火焰流星,,,,,,,,,<79001>,,,,,攻击附带灼烧效果2回合,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,2,,,,,,,,,5,,,,,,,,敌方随机单体,single,,self:specialDamage()*0.6+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<246391;246392;246393;246394>,,,,,,,240,,,,{x=0;y=0},,,,attack_1,,,,,,,,,,,,,,,,,,,,,,,,
24711,摔打,,,,<攻击敌方单体目标，造成#C0xE69900#50%物攻#C0x5B545B#+#C0x3D8A99#50%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【双攻降低Ⅰ】1回合>,藤藤蛇用长长的尾巴摔打敌方单体目标，并治疗自己,,,,<79001>,,{1=攻击敌方单体目标，造成#C0xE69900#55%物攻#C0x5B545B#+#C0x3D8A99#55%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【双攻降低Ⅰ】1回合；自身获得【血量上限Ⅰ】2回合},,,#C0x5c9970#基础伤害系数提升至55%，自身获得【血量上限Ⅰ】2回合,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,4,,,,,,,,,1,,,,,,,,敌方单体,single,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*24)*(self:flagZ1() and 0.55 or 0.5)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*24)*(self:flagZ1() and 0.55 or 0.5),,,,,<247111;247112;247113>,,,,,,,240,,,,{x=-180;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/tengtengs_attack.mp3},,,<【双攻降低Ⅰ】>,<【双攻降低Ⅰ】;【血量上限Ⅰ】>,,,,,,,
24712,藤蔓绞杀,,,,<攻击敌方单体目标，造成#C0xE69900#80%物攻#C0x5B545B#+#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，吸取1名草系队友的1个1/2级负面效果，转移至自身>,藤藤蛇用藤蔓绞紧敌方单体目标,,,,<79002>,,{1=攻击敌方单体目标，造成#C0xE69900#90%物攻#C0x5B545B#+#C0x3D8A99#90%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，吸取1名草系队友的1个1/2级负面效果，转移至自身；对转移的队友触发1次【驱散Ⅰ】},,,#C0x5c9970#基础伤害系数提升至90%，对转移的队友触发1次【驱散Ⅰ】,固定伤害+192,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,4,,,,2,,,,,1,,,,,,,,敌方单体,single,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*60)*(self:flagZ2() and 0.9 or 0.8)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*60)*(self:flagZ1() and 0.9 or 0.8),,,,,<247121;247122>,,,,,,,360,,,2,{x=-270;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/tengtengs_skill1.mp3},,,,<【驱散Ⅰ】>,,,,,,,
24713,荆棘舞,,,,<攻击敌方全体目标，造成#C0xE69900#80%物攻#C0x5B545B#+#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身和攻击最高敌方获得【双攻降低Ⅱ】2回合；吸取2名草系队友1个1/2级负面效果，转移至自身>,藤藤蛇借助自然之力，召唤出舞动的荆棘藤蔓攻击敌方全体并将其缠绕,<11>,,<释放必杀时，自身会获得【反噬缠绕】1次>,<79003;1>,,{1=攻击敌方全体目标，造成#C0xE69900#85%物攻#C0x5B545B#+#C0x3D8A99#85%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身和攻击最高敌方获得【双攻降低Ⅱ】2回合；吸取2名草系队友1个1/2级负面效果，转移至自身；可额外吸取2名草系队友1/2级负面效果，并赋予攻击最高的草系队友【反噬缠绕】1次},<释放必杀时，自身会获得【反噬缠绕】1次>,,#C0x5c9970#基础伤害系数提升至85%，可额外吸取2名草系队友1/2级负面效果，并赋予攻击最高的草系队友【反噬缠绕】1次,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,4,,,,,,,,,,,,,,11,,,敌方全体,all,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*36)*(self:flagZ3() and 0.85 or 0.8)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*36)*(self:flagZ3() and 0.85 or 0.8),,,,,<247131;247132;247133;247134;247135;247136;247137>,,,,,1000,,,,,3,{x=-850;y=0},,,,skill2,,,,3833.3,{delayLast=3833.3;endLast=50;scale=1;startLast=50},3833.3,{delayLast=3833.3;endLast=50;scale=1;startLast=50},<img_495_tts@>,,,,,{loop=0;delay=0;res=hero_sound/tengtengs_skill2.mp3},,,<【双攻降低Ⅱ】;【反噬缠绕】>,<【双攻降低Ⅱ】;【反噬缠绕】>,,,5,<11>,,,
24716,唱反调,,,,<{title=唱反调};自身受到的1/2级负面效果，都会将其转化为随机1/2级增益效果，持续1回合；每次转化会恢复自身#C0x5c9970#$(30+skillLevel*0.1-0.1)$%#C0x5B545B#双攻之和的血量，同时自身不享受队友增益>,所有自身被施加的负面效果，都会转化为随机正面效果；己方对自身施加的正面效果，都不会生效。在场时，草系技能威力提升15%,<6;8>,,<<<>;#L10#攻击成长：#L0#唱反调转化时，自身双攻会永久提升2%（最多可到40%）；免伤永久提升1%（上限20%）>;<<>;#L10#同根：#L0#自身行动时，会将随级2个1/2级增益，分别赐予给随机2名草系队友>>,<79004;1>,,{1={title=唱反调};2=自身受到的1/2级负面效果，都会将其转化为随机1/2级增益效果，持续1回合；每次转化会恢复自身#C0x5c9970#$(30+skillLevel*0.1-0.1)$%#C0x5B545B#双攻之和的血量},<<<>;#L10#攻击成长：#L0#唱反调转化时，自身双攻会永久提升2%（最多可到40%）；免伤永久提升1%（上限20%）>;<<>;#L10#同根：#L0#自身行动时，会将随级2个1/2级增益，分别赐予给随机2名草系队友;#L10#从容不迫：#L0#血量首次低于40%后的1回合，自身受到的伤害都会转化为治疗>>,,血量首次低于40%后的1回合，自身受到的伤害都会转化为治疗,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<247161;247162;247163>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24721,叶刃,,,,<攻击敌方单体目标，造成#C0xE69900#50%物攻#C0x5B545B#+#C0x3D8A99#50%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【双攻降低Ⅰ】1回合>,青藤蛇像用剑一般操纵叶片切斩敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0xE69900#55%物攻#C0x5B545B#+#C0x3D8A99#55%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【双攻降低Ⅰ】1回合；自身获得【血量上限Ⅰ】2回合},,,#C0x5c9970#基础伤害系数提升至55%，自身获得【血量上限Ⅰ】2回合,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,4,,,,,,,,,1,,,,,,,,敌方单体,single,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*24)*(self:flagZ1() and 0.55 or 0.5)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*24)*(self:flagZ1() and 0.55 or 0.5),,,,,<247211;247212;247213>,,,,,,,240,,,,{x=-320;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/qingtengs_attack.mp3},,,<【双攻降低Ⅰ】>,<【双攻降低Ⅰ】;【血量上限Ⅰ】>,,,,,,,
24722,草之誓约,,,,<攻击敌方单体目标，造成#C0xE69900#80%物攻#C0x5B545B#+#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，吸取1名草系队友的1个1/2级负面效果，转移至自身>,青藤蛇将草叶凝聚成球攻击敌方单体目标,,,,<79002>,,{1=攻击敌方单体目标，造成#C0xE69900#90%物攻#C0x5B545B#+#C0x3D8A99#90%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，吸取1名草系队友的1个1/2级负面效果，转移至自身；对转移的队友触发1次【驱散Ⅰ】},,,#C0x5c9970#基础伤害系数提升至90%，对转移的队友触发1次【驱散Ⅰ】,固定伤害+192,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,4,,,,2,,,,,1,,,,,,,,敌方单体,single,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*60)*(self:flagZ2() and 0.9 or 0.8)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*60)*(self:flagZ1() and 0.9 or 0.8),,,,,<247221;247222>,,,,,,,360,,,2,{x=-450;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/qingtengs_skill1.mp3},,,,<【驱散Ⅰ】>,,,,,,,
24723,种子雨,,,,<攻击敌方全体目标，造成#C0xE69900#80%物攻#C0x5B545B#+#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身和攻击最高敌方获得【双攻降低Ⅱ】2回合；吸取2名草系队友1个1/2级负面效果，转移至自身>,青藤蛇将种子从高空撒下，种子落地后会生长出巨大藤蔓攻击敌方全体目标并将其缠绕,<11>,,<释放必杀时，自身会获得【反噬缠绕】1次>,<79003;1>,,{1=攻击敌方全体目标，造成#C0xE69900#85%物攻#C0x5B545B#+#C0x3D8A99#85%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身和攻击最高敌方获得【双攻降低Ⅱ】2回合；吸取2名草系队友1个1/2级负面效果，转移至自身；可额外吸取2名草系队友1/2级负面效果，并赋予攻击最高的草系队友【反噬缠绕】1次},<释放必杀时，自身会获得【反噬缠绕】1次>,,#C0x5c9970#基础伤害系数提升至85%，可额外吸取2名草系队友1/2级负面效果，并赋予攻击最高的草系队友【反噬缠绕】1次,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,4,,,,,,,,,,,,,,11,,,敌方全体,all,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*36)*(self:flagZ3() and 0.85 or 0.8)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*36)*(self:flagZ3() and 0.85 or 0.8),,,,,<247231;247232;247233;247234;247235;247236;247237;247238>,,,,,1000,,,,,3,{x=-100;y=-100},,,,skill2,,,,7700,{delayLast=7000;endLast=50;scale=1;startLast=50},7700,{delayLast=7000;endLast=50;scale=1;startLast=50},<img_496_qts@>,,TRUE,,,{loop=0;delay=0;res=hero_sound/qingtengs_skill2.mp3},,,<【双攻降低Ⅱ】;【反噬缠绕】>,<【双攻降低Ⅱ】;【反噬缠绕】>,,,5,<11>,,,
24726,唱反调,,,,<{title=唱反调};自身受到的1/2级负面效果，都会将其转化为随机1/2级增益效果，持续1回合；每次转化会恢复自身#C0x5c9970#$(30+skillLevel*0.1-0.1)$%#C0x5B545B#双攻之和的血量，同时自身不享受队友增益>,所有自身被施加的负面效果，都会转化为随机正面效果；己方对自身施加的正面效果，都不会生效。在场时，草系技能威力提升15%,<6;8>,,<<<>;#L10#攻击成长：#L0#唱反调转化时，自身双攻会永久提升2%（最多可到40%）；免伤永久提升1%（上限20%）>;<<>;#L10#同根：#L0#自身行动时，会将随级2个1/2级增益，分别赐予给随机2名草系队友>>,<79004;1>,,{1={title=唱反调};2=自身受到的1/2级负面效果，都会将其转化为随机1/2级增益效果，持续1回合；每次转化会恢复自身#C0x5c9970#$(30+skillLevel*0.1-0.1)$%#C0x5B545B#双攻之和的血量},<<<>;#L10#攻击成长：#L0#唱反调转化时，自身双攻会永久提升2%（最多可到40%）；免伤永久提升1%（上限20%）>;<<>;#L10#同根：#L0#自身行动时，会将随级2个1/2级增益，分别赐予给随机2名草系队友;#L10#从容不迫：#L0#血量首次低于40%后的1回合，自身受到的伤害都会转化为治疗>>,,血量首次低于40%后的1回合，自身受到的伤害都会转化为治疗,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<247261;247262;247263>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24731,叶刃连斩,,,,<攻击敌方单体目标，造成#C0xE69900#50%物攻#C0x5B545B#+#C0x3D8A99#50%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【双攻降低Ⅰ】1回合>,君主蛇操纵叶片对敌方单体目标进行连续打击,,,,<79001>,,{1=攻击敌方单体目标，造成#C0xE69900#55%物攻#C0x5B545B#+#C0x3D8A99#55%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【双攻降低Ⅰ】1回合；自身获得【血量上限Ⅰ】2回合},,,#C0x5c9970#基础伤害系数提升至55%，自身获得【血量上限Ⅰ】2回合,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,4,,,,,,,,,1,,,,,,,,敌方单体,single,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*24)*(self:flagZ1() and 0.55 or 0.5)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*24)*(self:flagZ1() and 0.55 or 0.5),,,,,<247311;247312;247313>,,,,,,,240,,,,{x=-320;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/junzhus_attack.mp3},,,<【双攻降低Ⅰ】>,<【双攻降低Ⅰ】;【血量上限Ⅰ】>,,,,,,,
24732,毒液,,,,<攻击敌方单体目标，造成#C0xE69900#80%物攻#C0x5B545B#+#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，吸取1名草系队友的1个1/2级负面效果，转移至自身>,君主蛇将胃液吐向敌人的身体进行攻击,,,,<79002>,,{1=攻击敌方单体目标，造成#C0xE69900#90%物攻#C0x5B545B#+#C0x3D8A99#90%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，吸取1名草系队友的1个1/2级负面效果，转移至自身；对转移的队友触发1次【驱散Ⅰ】},,,#C0x5c9970#基础伤害系数提升至90%，对转移的队友触发1次【驱散Ⅰ】,固定伤害+192,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,4,,,,2,,,,,1,,,,,,,,敌方单体,single,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*60)*(self:flagZ2() and 0.9 or 0.8)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*60)*(self:flagZ1() and 0.9 or 0.8),,,,,<247321;247322>,,,,,,,360,,,2,{x=-500;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/junzhus_skill1.mp3},,,,<【驱散Ⅰ】>,,,,,,,
24733,木灵囚牢,,,,<攻击敌方全体目标，造成#C0xE69900#80%物攻#C0x5B545B#+#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身和攻击最高敌方获得【双攻降低Ⅱ】2回合；吸取2名草系队友1个1/2级负面效果，转移至自身>,君主蛇操纵藤蔓构成坚不可破的囚牢，随后囚牢会爆炸对敌方全体目标造成伤害，并在目标下回合行动后将其缠绕,<11>,,<释放必杀时，自身会获得【反噬缠绕】1次>,<79003;1>,,{1=攻击敌方全体目标，造成#C0xE69900#85%物攻#C0x5B545B#+#C0x3D8A99#85%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身和攻击最高敌方获得【双攻降低Ⅱ】2回合；吸取2名草系队友1个1/2级负面效果，转移至自身；可额外吸取2名草系队友1/2级负面效果，并赋予攻击最高的草系队友【反噬缠绕】1次},<释放必杀时，自身会获得【反噬缠绕】1次>,,#C0x5c9970#基础伤害系数提升至85%，可额外吸取2名草系队友1/2级负面效果，并赋予攻击最高的草系队友【反噬缠绕】1次,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,4,,,,,,,,,,,,,,11,,,敌方全体,all,,(self:damage()+(self:flag(99) and skillLevel or skillLevel*4)*36)*(self:flagZ3() and 0.85 or 0.8)+(self:specialDamage()+(self:flag(99) and skillLevel or skillLevel*4)*36)*(self:flagZ3() and 0.85 or 0.8),,,,,<247331;247332;247333;247334;247335;247336;247337;247338>,,,,,1000,,,,,3,{x=100;y=0},,,,skill2,,,,7833.3,{delayLast=7833.3;endLast=50;scale=1;startLast=50},7833.3,{delayLast=7833.3;endLast=50;scale=1;startLast=50},<img_497_jzs@>,,,,,{loop=0;delay=0;res=hero_sound/junzhus_skill2.mp3},,,<【双攻降低Ⅱ】;【反噬缠绕】>,<【双攻降低Ⅱ】;【反噬缠绕】>,,,5,<11>,,,
24736,唱反调,,,,<{title=唱反调};自身受到的1/2级负面效果，都会将其转化为随机1/2级增益效果，持续1回合；每次转化会恢复自身#C0x5c9970#$(30+skillLevel*0.1-0.1)$%#C0x5B545B#双攻之和的血量，同时自身不享受队友增益>,所有自身被施加的负面效果，都会转化为随机正面效果；己方对自身施加的正面效果，都不会生效。在场时，草系技能威力提升15%,<6;8>,,<<<>;#L10#攻击成长：#L0#唱反调转化时，自身双攻会永久提升2%（最多可到40%）；免伤永久提升1%（上限20%）>;<<>;#L10#同根：#L0#自身行动时，会将随级2个1/2级增益，分别赐予给随机2名草系队友>>,<79004;1>,,{1={title=唱反调};2=自身受到的1/2级负面效果，都会将其转化为随机1/2级增益效果，持续1回合；每次转化会恢复自身#C0x5c9970#$(30+skillLevel*0.1-0.1)$%#C0x5B545B#双攻之和的血量},<<<>;#L10#攻击成长：#L0#唱反调转化时，自身双攻会永久提升2%（最多可到40%）；免伤永久提升1%（上限20%）>;<<>;#L10#同根：#L0#自身行动时，会将随级2个1/2级增益，分别赐予给随机2名草系队友;#L10#从容不迫：#L0#血量首次低于40%后的1回合，自身受到的伤害都会转化为治疗>>,,血量首次低于40%后的1回合，自身受到的伤害都会转化为治疗,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,<247361;247362;247363>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24811,爱心撞击,,,,<攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#>,暖暖猪发出爱心冲撞敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#，并提升自身10%物攻2回合},,,#C0x5c9970#并提升自身10%物攻2回合#C0x5B545B#,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,,2,,,,,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,24811,,<248111;248112;248113>,,,,,,,240,,,,{x=-200;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/nuannuanzhu_attack.mp3},,,,,,,,,,,
24812,蓄能焰袭,,,,<攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，本次攻击有20%概率无视敌方护盾>,暖暖猪释放体内的火焰能量，冲向敌方单体目标,,,,<79002>,,{1=攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，本次攻击有40%概率无视敌方护盾},,,本次攻击有20%概率无视敌方护盾\n#F20#\n#F40##C0x5c9970#→本次攻击有40%概率无视敌方护盾#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,,2,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36,,,24811,,<248121;248122;248123>,,,,,,,360,,,2,{x=-270;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/nuannuanzhu_skill1.mp3},,,,,,,,,,,
24813,喷射火焰,,,,<攻击敌方列排目标，造成#C0xE69900#280%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，若本次攻击打破护盾，则额外对敌人造成来自自身最大生命值15%的真实伤害>,暖暖猪喷射膨胀于体内的火焰，攻击敌方列排目标，若本次攻击打破护盾，则额外对敌人造成一定真实伤害,<11>,,<效果强化：破盾后附加额外伤害提升至自自身最大生命值30%的真实伤害>,<79003;1>,,{1=攻击敌方列排目标，造成#C0xE69900#280%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，若本次攻击打破护盾，则额外对敌人造成来自自身最大生命值15%的真实伤害},<效果强化：破盾后附加额外伤害提升至自自身最大生命值45%的真实伤害>,,破盾后附加额外伤害提升至自炎武王最大生命值30%的真实伤害。\n#F20#\n#F40##C0x5c9970#→破盾后附加额外伤害提升至自炎武王最大生命值45%的真实伤害。#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,,2,,,,,,,,,4,,,,,,,,敌方列排,column,,self:damage()*2.8+(self:flag(99) and skillLevel or skillLevel*4)*36,,,24811,,<248131;248132;248133>,,,,,1000,,,,,3,{x=-300;y=0},,,,skill2,,,,,,,,<img_498_nnz@>,,,,,{loop=0;delay=0;res=hero_sound/nuannuanzhu_skill2.mp3},,,,,,,2,<204>,,,
24816,火焰穿透,,,,<{title=火焰穿透};攻击护盾目标时，伤害提升#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#>,,<8>,,<<>;效果强化：攻击护盾目标时，伤害额外再提升20%>,<79004;1>,,{1={title=火焰穿透};2=攻击护盾目标时，伤害提升#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#},<<>;效果强化：攻击护盾目标时，伤害额外再提升40%>,,攻击护盾目标时，伤害额外再提升20%\n#F20#\n#F40##C0x5c9970#→攻击护盾目标时，伤害额外再提升40%#C0x5B545B#,,,,TRUE,TRUE,,,3,3,,,,,,,,,9,,5,,,,,,,,,,,,,,,,<248161>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24821,火焰拳,,,,<攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#>,炒炒猪旋转带火焰的拳头攻击敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#，并提升自身10%物攻2回合},,,#C0x5c9970#并提升自身10%物攻2回合#C0x5B545B#,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,,2,,,,,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,24811,,<248211;248212;248213>,,,,,,,240,,,,{x=-100;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/chaochaozhu_attack.mp3},,,,,,,,,,,
24822,火焰猛撞,,,,<攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，本次攻击有20%概率无视敌方护盾>,炒炒猪散发出火焰靠近敌人，然后踢向敌方单体目标,,,,<79002>,,{1=攻击敌方单体目标，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，本次攻击有40%概率无视敌方护盾},,,本次攻击有20%概率无视敌方护盾\n#F20#\n#F40##C0x5c9970#→本次攻击有40%概率无视敌方护盾#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,,7,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:damage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36,,,24811,,<248221;248222;248223>,,,,,,,360,,,2,{x=-200;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/chaochaozhu_skill1.mp3},,,,,,,,,,,
24823,火焰旋劈,,,,<攻击敌方列排目标，造成#C0xE69900#280%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，若本次攻击打破护盾，则额外对敌人造成来自自身最大生命值15%的真实伤害>,炒炒猪旋转至空中然后劈打向目标，利用火浪余波攻击敌方列排目标，若本次攻击打破护盾，则额外对敌人造成一定真实伤害,<11>,,<效果强化：破盾后附加额外伤害提升至自自身最大生命值30%的真实伤害>,<79003;1>,,{1=攻击敌方列排目标，造成#C0xE69900#280%物攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#物理伤害#C0x5B545B#，若本次攻击打破护盾，则额外对敌人造成来自自身最大生命值15%的真实伤害},<效果强化：破盾后附加额外伤害提升至自自身最大生命值45%的真实伤害>,,破盾后附加额外伤害提升至自炎武王最大生命值30%的真实伤害。\n#F20#\n#F40##C0x5c9970#→破盾后附加额外伤害提升至自炎武王最大生命值45%的真实伤害。#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,,2,,,,,,,,,4,,,,,,,,敌方列排,column,,self:damage()*2.8+(self:flag(99) and skillLevel or skillLevel*4)*36,,,24811,,<248231;248232;248233>,,,,,1000,,,,,3,{x=-250;y=0},,,,skill2,,,,,,,,<img_499_ccz@>,,TRUE,,,{loop=0;delay=0;res=hero_sound/chaochaozhu_skill2.mp3},,,,,,,2,<204>,,,
