变量名,_comment,weightList,cardWeightMap,specialWeightMap
927,927-随机等级箱子材料库,<<5049;100;1>;<5050;100;1>;<5051;100;1>>,,
928,928-随机等级箱子材料库,<<5052;100;1>;<5053;100;1>;<5054;100;1>>,,
929,929-随机等级箱子材料库,<<5055;100;1>;<5056;100;1>;<5057;100;1>>,,
930,930-随机等级箱子材料库,<<5058;100;1>;<5059;100;1>;<5060;100;1>>,,
931,911-随机等级箱子材料库,<<5001;100;20>;<5002;100;20>;<5003;100;20>>,,
932,912-随机等级箱子材料库,<<5004;100;20>;<5005;100;20>;<5006;100;20>>,,
933,913-随机等级箱子材料库,<<5007;100;20>;<5008;100;20>;<5009;100;20>>,,
934,914-随机等级箱子材料库,<<5010;100;20>;<5011;100;20>;<5012;100;20>>,,
935,915-随机等级箱子材料库,<<5013;100;20>;<5014;100;20>;<5015;100;20>>,,
936,916-随机等级箱子材料库,<<5016;100;20>;<5017;100;20>;<5018;100;20>>,,
937,917-随机等级箱子材料库,<<5019;100;20>;<5020;100;20>;<5021;100;20>>,,
938,918-随机等级箱子材料库,<<5022;100;20>;<5023;100;20>;<5024;100;20>>,,
939,919-随机等级箱子材料库,<<5025;100;20>;<5026;100;20>;<5027;100;20>>,,
940,920-随机等级箱子材料库,<<5028;100;20>;<5029;100;20>;<5030;100;20>>,,
941,921-随机等级箱子材料库,<<5031;100;20>;<5032;100;20>;<5033;100;20>>,,
942,922-随机等级箱子材料库,<<5034;100;20>;<5035;100;20>;<5036;100;20>>,,
943,923-随机等级箱子材料库,<<5037;100;20>;<5038;100;20>;<5039;100;20>>,,
944,924-随机等级箱子材料库,<<5040;100;20>;<5041;100;20>;<5042;100;20>>,,
945,925-随机等级箱子材料库,<<5043;100;20>;<5044;100;20>;<5045;100;20>>,,
946,926-随机等级箱子材料库,<<5046;100;20>;<5047;100;20>;<5048;100;20>>,,
947,927-随机等级箱子材料库,<<5049;100;20>;<5050;100;20>;<5051;100;20>>,,
948,,<<5052;100;20>;<5053;100;20>;<5054;100;20>>,,
949,,<<5055;100;20>;<5056;100;20>;<5057;100;20>>,,
950,,<<5058;100;20>;<5059;100;20>;<5060;100;20>>,,
951,,<<5061;100;20>;<5062;100;20>;<5063;100;20>>,,
952,,<<5064;100;20>;<5065;100;20>;<5066;100;20>>,,
971,971-公会箱子进化材料库旧,<<5001;100;1>;<5002;100;1>;<5003;100;1>>,,
972,972-公会箱子进化材料库旧,<<5004;100;1>;<5005;100;1>;<5006;100;1>>,,
973,973-公会箱子进化材料库旧,<<5007;100;1>;<5008;100;1>;<5009;100;1>>,,
974,974-公会箱子进化材料库旧,<<5010;100;1>;<5011;100;1>;<5012;100;1>>,,
975,975-公会箱子进化材料库旧,<<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
976,976-公会箱子进化材料库旧,<<5016;100;1>;<5017;100;1>;<5018;100;1>>,,
977,977-公会箱子进化材料库旧,<<5019;100;1>;<5020;100;1>;<5021;100;1>>,,
978,978-公会箱子进化材料库旧,<<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
979,979-公会箱子进化材料库旧,<<5025;100;1>;<5026;100;1>;<5027;100;1>>,,
981,981-公会箱子进化材料库新,<<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>>,,
982,982-公会箱子进化材料库新,<<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>>,,
983,983-公会箱子进化材料库新,<<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
984,984-公会箱子进化材料库新,<<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>>,,
985,985-公会箱子进化材料库新,<<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>>,,
986,986-公会箱子进化材料库新,<<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
987,987-公会箱子进化材料库新,<<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>>,,
988,988-公会箱子进化材料库新,<<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>;<5028;100;1>;<5029;100;1>;<5030;100;1>>,,
989,989-公会箱子进化材料库新,<<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>;<5028;100;1>;<5029;100;1>;<5030;100;1>;<5031;100;1>;<5032;100;1>;<5033;100;1>>,,
1001,1001-钻石抽卡卡牌库,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=43};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};100>;<{id=191};100>;<{id=231};100>;<{id=261};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=331};100>;<{id=351};100>;<{id=371};100>;<{id=391};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=491};100>;<{id=541};100>;<{id=551};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=632};100>;<{id=721};100>;<{id=731};100>;<{id=741};100>;<{id=751};100>;<{id=761};100>;<{id=771};100>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=881};100>;<{id=891};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};100>;<{id=1231};100>;<{id=1241};100>;<{id=1251};100>;<{id=1291};100>;<{id=1311};100>;<{id=1351};100>;<{id=1391};100>;<{id=1421};100>;<{id=1441};100>;<{id=1501};100>;<{id=1611};100>;<{id=1811};100>;<{id=1841};100>;<{id=1861};100>;<{id=1891};100>;<{id=1901};100>;<{id=2011};100>;<{id=2071};100>;<{id=2231};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};100>;<{id=2611};100>;<{id=2631};100>;<{id=2681};100>;<{id=2721};100>;<{id=2821};100>;<{id=2871};100>;<{id=2961};100>;<{id=3001};100>;<{id=3011};100>;<{id=3141};100>;<{id=3281};100>;<{id=3291};100>;<{id=3301};100>;<{id=3341};100>;<{id=3351};100>;<{id=3411};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};100>;<{id=3541};100>;<{id=3561};100>>,
1002,1002-精灵碎片库,<<20001;100;2>;<20011;100;2>;<20021;100;2>;<20031;100;2>;<20041;100;2>;<20051;100;2>;<20061;100;2>;<20071;100;2>;<20081;100;2>;<20091;100;2>;<20101;100;2>;<20111;100;2>;<20121;100;2>;<20131;100;2>;<20171;100;2>;<20191;100;2>;<20231;100;2>;<20261;100;2>;<20271;100;2>;<20281;100;2>;<20301;100;2>;<20331;100;2>;<20351;100;2>;<20371;100;2>;<20391;100;2>;<20451;100;2>;<20461;100;2>;<20471;100;2>;<20481;100;2>;<20491;100;2>;<20541;100;2>;<20551;100;2>;<20571;100;2>;<20591;100;2>;<20601;100;2>;<20631;100;2>;<20721;100;2>;<20731;100;2>;<20741;100;2>;<20751;100;2>;<20761;100;2>;<20771;100;2>;<20781;100;2>;<20791;100;2>;<20801;100;2>;<20881;100;2>;<20891;100;2>;<21071;100;2>;<21081;100;2>;<21171;100;2>;<21221;100;2>;<21231;100;2>;<21241;100;2>;<21251;100;2>;<21291;100;2>;<21311;100;2>;<21351;100;2>;<21391;100;2>;<21421;100;2>;<21441;100;2>;<21501;100;2>;<21611;100;2>;<21811;100;2>;<21841;100;2>;<21861;100;2>;<21891;100;2>;<21901;100;2>;<22011;100;2>;<22071;100;2>;<22231;100;2>;<22271;100;2>;<22301;100;2>;<22481;100;2>;<22591;100;2>;<22611;100;2>;<22631;100;2>;<22681;100;2>;<22721;100;2>;<22821;100;2>;<22871;100;2>;<22961;100;2>;<23001;100;2>;<23011;100;2>;<23141;100;2>;<23281;100;2>;<23291;100;2>;<23301;100;2>;<23341;100;2>;<23351;100;2>;<23411;100;2>;<23431;100;2>;<23471;100;2>;<23501;100;2>;<23511;100;2>;<23541;100;2>;<23561;100;2>>,,
1003,1003-元素挑战金币,<<gold;100;10000>;<gold;100;15000>;<gold;100;15000>;>,,
1004,1004-元素挑战好感度材料,<<900;100;1>;<901;100;1>;<902;100;1>;>,,
1005,1005-元素挑战精灵经验材料,<<12;50;15>;<13;100;10>;<12;50;20>>,,
1101,1101-限时神兽万能碎片库,<<502;100;1>;<502;100;1>;<521;100;1>>,,
1102,1101-限时神兽升星道具库,<<501;100;1>>,,
1103,1103-限时神兽精灵碎片库,<<20261;100;3>;<20331;100;3>;<20391;100;3>;<20491;0;3>;<20571;100;3>;<20591;100;3>;<20601;100;3>;<20631;100;3>;<20721;80;3>;<20731;80;3>;<20741;80;3>;<20751;0;3>;<20771;0;3>;<20881;100;3>;<21071;100;3>;<21171;100;3>;<21221;80;3>;<21231;80;3>;<21241;80;3>;<21251;100;3>;<21291;100;3>;<21301;0;3>;<21311;0;3>;<21391;100;3>;<21421;100;3>;<21501;100;3>;<21811;100;3>;<21841;100;3>;<21891;0;3>;<21901;0;3>;<22231;0;3>;<22721;0;3>;<22821;0;3>;<23001;0;3>;<23021;100;3>;<23141;100;3>;<23301;0;3>;<23351;100;3>;<23411;100;3>;<23541;100;3>;<20261;100;2>;<20331;100;2>;<20391;100;2>;<20491;0;2>;<20571;100;2>;<20591;100;2>;<20601;100;2>;<20631;100;2>;<20721;80;2>;<20731;80;2>;<20741;80;2>;<20751;0;2>;<20771;0;2>;<20881;100;2>;<21071;100;2>;<21171;100;2>;<21221;80;2>;<21231;80;2>;<21241;80;2>;<21251;100;2>;<21291;100;2>;<21301;0;2>;<21311;0;2>;<21391;100;2>;<21421;100;2>;<21501;100;2>;<21811;100;2>;<21841;100;2>;<21891;0;2>;<21901;0;2>;<22231;0;2>;<22721;0;2>;<22821;0;2>;<23001;0;2>;<23021;100;2>;<23141;100;2>;<23301;0;2>;<23351;100;2>;<23411;100;2>;<23541;100;2>>,,
1105,1105-限时神兽魂匣万能碎片库,<<502;150;1>;<502;100;2>;<521;100;1>>,,
1106,1106-限时神兽魂匣升星道具库,<<501;100;1>>,,
1107,1107-限时魂匣道具随机库,<<5000;100;15>;<gold;125;50000>;<501;100;1>;<14;125;8>;<452;225;20>;<602;120;5>;<603;60;2>;<604;120;5>;<605;60;2>;<935;200;1>>,,
1111,1111-固拉多碎片库,<<21971;200;1>;<21971;100;2>;<21971;100;3>>,,
1112,1112-宝贝龙碎片库,<<21891;200;2>;<21891;100;3>;<21891;50;4>>,,
1113,1111-固拉多卡牌,,<<{id=1971};100>>,
1114,1111-洛奇亚卡牌,,<<{id=1261};100>>,
1115,1111-洛奇亚碎片库,<<21261;200;1>;<21261;90;2>;<21261;55;3>>,,
1116,1111-蒂安希卡牌,,<<{id=3631};100>>,
1117,1111-蒂安希碎片库,<<23631;200;1>;<23631;100;2>;<23631;60;3>>,,
1118,1111-裂空座卡牌,,<<{id=1981};100>>,
1119,1111-裂空座碎片库,<<21981;200;1>;<21981;100;2>;<21981;60;3>>,,
1120,1111-达克莱伊卡牌,,<<{id=2431};100>>,
1121,1111-达克莱伊碎片库,<<22431;200;1>;<22431;100;2>;<22431;50;3>>,,
1150,二选一-固拉多盖欧卡,<<6151;100;1>>,,
1151,1151-固拉多盖欧卡碎片库,<<6152;200;1>;<6152;100;2>;<6152;50;3>>,,
1152,二选一-达克莱伊蒂安希,<<6153;100;1>>,,
1153,1151-达克莱伊蒂安希碎片库,<<6154;200;1>;<6154;100;2>;<6154;50;3>>,,
1154,二选一-雷吉奇卡斯洛奇亚,<<6155;100;1>>,,
1155,1151-雷吉奇卡斯洛奇亚碎片库,<<6156;200;1>;<6156;100;2>;<6156;50;3>>,,
1156,二选一-帝牙卢卡裂空座,<<6157;100;1>>,,
1157,1151-帝牙卢卡裂空座碎片库,<<6158;200;1>;<6158;100;2>;<6158;50;3>>,,
1158,二选一-帕路奇亚盖欧卡,<<6159;100;1>>,,
1159,1151-帕路奇亚盖欧卡碎片库,<<6160;200;1>;<6160;100;2>;<6160;50;3>>,,
1160,二选一-固拉多蒂安希,<<6161;100;1>>,,
1161,1151-固拉多蒂安希碎片库,<<6162;200;1>;<6162;100;2>;<6162;50;3>>,,
1162,二选一-达克莱伊骑拉帝纳,<<6163;100;1>>,,
1163,1151-达克莱伊骑拉帝纳碎片库,<<6164;200;1>;<6164;100;2>;<6164;50;3>>,,
1164,二选一-雷吉奇卡斯谢米,<<6165;100;1>>,,
1165,1151-雷吉奇卡斯谢米碎片库,<<6166;200;1>;<6166;100;2>;<6166;50;3>>,,
1166,二选一-裂空座洛奇亚,<<6167;100;1>>,,
1167,1151-裂空座洛奇亚碎片库,<<6168;200;1>;<6168;100;2>;<6168;50;3>>,,
1168,二选一-胡帕帝牙卢卡,<<6169;100;1>>,,
1169,1151-胡帕帝牙卢卡碎片库,<<6170;200;1>;<6170;100;2>;<6170;50;3>>,,
1170,二选一-帕路奇亚莱希拉姆,<<6171;100;1>>,,
1171,1151-帕路奇亚莱希拉姆碎片库,<<6172;200;1>;<6172;100;2>;<6172;50;3>>,,
1172,二选一-裂空座达克莱伊,<<6173;100;1>>,,
1173,1151-裂空座达克莱伊碎片库,<<6174;200;1>;<6174;100;2>;<6174;50;3>>,,
1174,二选一-电龙鬼龙,<<6175;100;1>>,,
1175,1151-电龙鬼龙碎片库,<<6176;200;1>;<6176;100;2>;<6176;50;3>>,,
1176,二选一-固拉多达克莱伊,<<6177;100;1>>,,
1177,1151-固拉多达克莱伊碎片库,<<6178;200;1>;<6178;100;2>;<6178;50;3>>,,
1178,二选一-盖欧卡雷吉奇卡斯,<<6850;100;1>>,,
1179,1151-盖欧卡雷吉奇卡斯碎片库,<<6851;200;1>;<6851;100;2>;<6851;50;3>>,,
1180,二选一-酋雷姆谢米,<<6852;100;1>>,,
1181,1151-酋雷姆谢米碎片库,<<6853;200;1>;<6853;100;2>;<6853;50;3>>,,
1182,二选一-蒂安希雷吉奇卡斯,<<6854;100;1>>,,
1183,二选一-蒂安希雷吉奇卡斯碎片库,<<6855;200;1>;<6855;100;2>;<6855;50;3>>,,
1184,二选一-美洛耶塔胡帕,<<6856;100;1>>,,
1185,二选一-美洛耶塔胡帕碎片库,<<6857;200;1>;<6857;100;2>;<6857;50;3>>,,
1186,二选一-基拉祈/莱希拉姆,<<6858;100;1>>,,
1187,二选一-基拉祈/莱希拉姆碎片库,<<6859;200;1>;<6859;100;2>;<6859;50;3>>,,
1188,二选一-蒂安希/洛奇亚,<<6860;100;1>>,,
1189,二选一-蒂安希/洛奇亚碎片库,<<6861;200;1>;<6861;100;2>;<6861;50;3>>,,
1200,1200-限时UP抽卡S级卡牌初始库,,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=1391};80>;<{id=3351};80>>,
1201,1201-限时UP抽卡S级卡牌后续库,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};500>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};250>;<{id=1251};50>;<{id=1291};100>;<{id=1311};500>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1202,1202-限时UP抽卡S级卡牌初始库,,<<{id=721};80>;<{id=3021};100>;<{id=1081};100>;<{id=3141};100>;<{id=1841};100>>,
1203,1203-限时UP抽卡S级卡牌冰恶后续库,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};250>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=3021};500>;<{id=3141};500>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1204,1204-限时UP抽卡S级卡牌火系初始库,,<<{id=741};80>;<{id=601};100>;<{id=1171};100>;<{id=241};100>;<{id=1231};100>>,
1205,1205-限时UP抽卡S级卡牌火系后续库,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};500>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};250>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};500>;<{id=1221};50>;<{id=1231};250>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};500>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1206,1206-限时UP抽卡S级卡牌初始库-水地系,,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=2721};80>;<{id=491};80>>,
1207,1207-限时UP抽卡S级卡牌后续库-水地,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};500>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};500>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};250>;<{id=1251};50>;<{id=1291};100>;<{id=1311};500>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};500>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1208,1208-限时UP抽卡S级卡牌初始库-电系,,<<{id=331};100>;<{id=731};80>;<{id=591};100>;<{id=881};100>;<{id=1221};80>>,
1209,1209-限时UP抽卡S级卡牌后续库-电系,,<<{id=261};100>;<{id=331};500>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};500>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};250>;<{id=741};50>;<{id=881};500>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};250>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1210,1210-限时UP抽卡S级卡牌初始库-冰妖精系,,<<{id=721};80>;<{id=3021};100>;<{id=1081};100>;<{id=1391};100>;<{id=3351};100>>,
1211,1211-限时UP抽卡S级卡牌后续库--冰妖精系,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};250>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};500>;<{id=3141};100>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1212,1212-限时UP抽卡S级卡牌初始库-钢岩系,,<<{id=401};100>;<{id=491};100>;<{id=1251};80>;<{id=1501};100>;<{id=3411};100>>,
1213,1213-限时UP抽卡S级卡牌后续库-钢岩系,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};500>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};250>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};500>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};500>;<{id=241};100>;<{id=401};500>;<{id=3001};75>;<{id=2991};75>>,
1214,1214-限时UP抽卡S级卡牌初始库-恶系,,<<{id=1081};80>;<{id=1171};100>;<{id=1841};100>;<{id=3141};100>;<{id=2721};100>>,
1215,1215-限时UP抽卡S级卡牌后续库-恶系,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};500>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};500>;<{id=3021};100>;<{id=3141};500>;<{id=3351};100>;<{id=3541};100>;<{id=1841};500>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1216,1216-限时UP抽卡S级卡牌初始库-虫草普系,,<<{id=1071};100>;<{id=1421};100>;<{id=571};100>;<{id=1291};100>>,
1217,1217-限时UP抽卡S级卡牌后续库-虫草普系,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};500>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};500>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};500>;<{id=1311};100>;<{id=1391};100>;<{id=1421};500>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1218,1218-限时UP抽卡S级卡牌初始库-超龙幽系,,<<{id=261};100>;<{id=391};100>;<{id=1391};100>;<{id=1811};100>;<{id=3541};80>;<{id=3001};80>>,
1219,1219-限时UP抽卡S级卡牌后续库-超龙幽系,,<<{id=261};500>;<{id=331};100>;<{id=391};500>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};500>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};400>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};300>;<{id=2991};75>>,
1251,1251-限时UP抽卡S级卡牌火系初始库-自选,,<<{id=741};80>;<{id=601};100>;<{id=1171};100>;<{id=241};100>;<{id=1231};100>;<{id=2991};100>;<{id=3151};100>>,
1252,1252-限时UP抽卡S级卡牌火系后续库-自选,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};960>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};800>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};960>;<{id=1221};50>;<{id=1231};800>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};960>;<{id=401};100>;<{id=3001};75>;<{id=2991};960>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};960>;<{id=3591};100>>,
1253,1253-限时UP抽卡S级卡牌初始库-水地系-自选,,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=2721};80>;<{id=491};80>;<{id=2031};100>>,
1254,1254-限时UP抽卡S级卡牌后续库-水地-自选,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};1200>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};1200>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};960>;<{id=1251};50>;<{id=1291};100>;<{id=1311};1200>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};1200>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>;<{id=3661};100>;<{id=161};100>;<{id=2031};1200>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};100>;<{id=3591};100>>,
1255,1255-限时UP抽卡S级卡牌初始库-电系-自选,,<<{id=331};100>;<{id=731};80>;<{id=591};100>;<{id=881};100>;<{id=1221};80>>,
