变量名,name,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSpine,cardSpinePos,cardSpineScale,finalDamageSubC,extraSkillList,cardSkinScale,followSpineScale,weight,shinyPos,height,followSpinePos,shiny,cardSpineNeedStar,cardSkinPos,fakePassiveSkillList,shinyRes,mZawakeStatus,unitType,frontPriority,elementalDamageAddC,elementalDamageDeepenC,elementalDamageReduceC,elementalDamageSubC,finalDamageAddC,finalDamageDeepenC,finalDamageReduceC,ignoreDamageSubC,mpAttackRecoverC,mpBeAttackRecoverC,shieldPowerC,skinReplaceIDs,__version
192441,谢米·陆地,bossmonster,4,4,10,,<99;1201;10003>,,,,2441,,config/portrait/speedranktouxiang/img_492_xm@.png,config/portrait/jinglingtouxiang/img_492_xm@.png,config/portrait/jinglingtouxiang1/img_492_xm@.png,config/portrait/simple/img_492_xm@.png,config/big_hero/normal/img_492_xm@.png,,,koudai_jiemiludi/hero_jiemiludi.skel,,config/big_hero/standby/img_492_xm@.png,,,<59001;59011>,<24411;24412;24413>,,,{headPos={y=180;x=0};hitPos={y=100;x=0};lifePos={y=220;x=0};namePos={y=220;x=0}},,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,0.2,,,,,,,,,,,,,,,,,,,,,,
192442,谢米·天空,bossmonster,4,4,10,,<99;1201;10003>,,,,2442,,config/portrait/speedranktouxiang/img_492_xmtkxt@.png,config/portrait/jinglingtouxiang/img_492_xmtkxt@.png,config/portrait/jinglingtouxiang1/img_492_xmtkxt@.png,config/portrait/simple/img_492_xmtkxt@.png,config/big_hero/normal/img_492_xmtkxt@.png,1.3,{x=-10;y=30},koudai_jiemitiankong/hero_jiemitiankong.skel,,config/big_hero/standby/img_492_xmtkxt@.png,,,<59001;59011>,<24421;24422;24423>,,,{headPos={y=280;x=0};hitPos={y=150;x=0};lifePos={y=320;x=0};namePos={y=320;x=0}},,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,0.2,,,,,,,,,,,,,,,,,,,,,,
192461,比克提尼,bossmonster,4,11,2,,<99;1201>,,,,2461,,config/portrait/speedranktouxiang/img_494_bktn@.png,config/portrait/jinglingtouxiang/img_494_bktn@.png,config/portrait/jinglingtouxiang1/img_494_bktn@.png,config/portrait/simple/img_494_bktn@.png,config/big_hero/normal/img_494_bktn@.png,,,koudai_jiemiludi/hero_jiemiludi.skel,,config/big_hero/standby/img_494_bktn@.png,,,<59001;59011>,<24611;24612;24613>,,,{headPos={y=180;x=0};hitPos={y=100;x=0};lifePos={y=220;x=0};namePos={y=220;x=0}},,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<24621>,,,4,,0.4,,,,,,,,,,,,,,,,,,,,,,
192471,藤藤蛇,bossmonster,3,4,,,<99>,,,,2471,,config/portrait/speedranktouxiang/img_495_tts@.png,config/portrait/jinglingtouxiang/img_495_tts@.png,config/portrait/jinglingtouxiang1/img_495_tts@.png,config/portrait/simple/img_495_tts@.png,config/big_hero/normal/img_495_tts@.png,,,koudai_tengtengshe/hero_tengtengshe.skel,,config/big_hero/standby/img_495_tts@.png,,,<59001;59011>,<24711;24712;24713>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,0.6,,,,,,,,,,,,,,,,,,,,,,
192472,青藤蛇,bossmonster,3,4,,,<99>,,,,2472,,config/portrait/speedranktouxiang/img_496_qts@.png,config/portrait/jinglingtouxiang/img_496_qts@.png,config/portrait/jinglingtouxiang1/img_496_qts@.png,config/portrait/simple/img_496_qts@.png,config/big_hero/normal/img_496_qts@.png,,{x=-30;y=20},koudai_qingtengshe/hero_qingtengshe.skel,,config/big_hero/standby/img_496_qts@.png,,,<59001;59011>,<24721;24722;24723>,,,{headPos={y=280;x=0};hitPos={y=150;x=0};lifePos={y=320;x=0};namePos={y=320;x=0}},,,,2.4,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,0.8,,,,,,,,,,,,,,,,,,,,,,
192473,君主蛇,bossmonster,3,4,,,<99>,,,,2473,,config/portrait/speedranktouxiang/img_497_jzs@.png,config/portrait/jinglingtouxiang/img_497_jzs@.png,config/portrait/jinglingtouxiang1/img_497_jzs@.png,config/portrait/simple/img_497_jzs@.png,config/big_hero/normal/img_497_jzs@.png,1.3,{x=10;y=0},koudai_junzhushe/hero_junzhushe.skel,,config/big_hero/standby/img_497_jzs@.png,,,<59001;59011>,<24731;24732;24733>,,,{headPos={y=340;x=0};hitPos={y=180;x=0};lifePos={y=380;x=0};namePos={y=380;x=0}},,,,2.8,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,3.3,,,,,,,,,,,,,,,,,,,,,,
192481,暖暖猪,bossmonster,2,2,,,<99>,,,,2481,,config/portrait/speedranktouxiang/img_498_nnz@.png,config/portrait/jinglingtouxiang/img_498_nnz@.png,config/portrait/jinglingtouxiang1/img_498_nnz@.png,config/portrait/simple/img_498_nnz@.png,config/big_hero/normal/img_498_nnz@.png,1.2,{x=0;y=60},koudai_nuannuanzhu/hero_nuannuanzhu.skel,,config/big_hero/standby/img_498_nnz@.png,,,<59001;59011>,<24811;24812;24813>,,,{headPos={y=190;x=0};hitPos={y=105;x=0};lifePos={y=230;x=0};namePos={y=230;x=0}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,0.5,,,,,,,,,,,,,,,,,,,,,,
192482,炒炒猪,bossmonster,2,2,7,,<99>,,,,2482,,config/portrait/speedranktouxiang/img_499_ccz@.png,config/portrait/jinglingtouxiang/img_499_ccz@.png,config/portrait/jinglingtouxiang1/img_499_ccz@.png,config/portrait/simple/img_499_ccz@.png,config/big_hero/normal/img_499_ccz@.png,,{x=25;y=30},koudai_chaochaozhu/hero_chaochaozhu.skel,,config/big_hero/standby/img_499_ccz@.png,,,<59001;59011>,<24821;24822;24823>,,,{headPos={y=240;x=0};hitPos={y=130;x=0};lifePos={y=280;x=0};namePos={y=280;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,1,,,,,,,,,,,,,,,,,,,,,,
192483,炎武王,bossmonster,2,2,7,,<99>,,,,2483,,config/portrait/speedranktouxiang/img_500_yww@.png,config/portrait/jinglingtouxiang/img_500_yww@.png,config/portrait/jinglingtouxiang1/img_500_yww@.png,config/portrait/simple/img_500_yww@.png,config/big_hero/normal/img_500_yww@.png,1.4,{x=30;y=0},koudai_yanwuwang/hero_yanwuwang.skel,,config/big_hero/standby/img_500_yww@.png,,,<59001;59011>,<24831;24832;24833>,,,{headPos={y=290;x=0};hitPos={y=155;x=0};lifePos={y=330;x=0};namePos={y=330;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,1.6,,,,,,,,,,,,,,,,,,,,,,
192491,水水獭,bossmonster,3,3,,,<99>,,,,2491,,config/portrait/speedranktouxiang/img_501_sst@.png,config/portrait/jinglingtouxiang/img_501_sst@.png,config/portrait/jinglingtouxiang1/img_501_sst@.png,config/portrait/simple/img_501_sst@.png,config/big_hero/normal/img_501_sst@.png,1.2,{x=0;y=50},koudai_shuishuita/hero_shuishuita.skel,,config/big_hero/standby/img_501_sst@.png,,,<59001;59011>,<24911;24912;24913>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<60000601;60000602;60000603>,,,5.9,,0.5,,,,,,,,,,,,,,,,,,,,,,
192492,双刃丸,bossmonster,3,3,,,<99>,,,,2492,,config/portrait/speedranktouxiang/img_502_srw@.png,config/portrait/jinglingtouxiang/img_502_srw@.png,config/portrait/jinglingtouxiang1/img_502_srw@.png,config/portrait/simple/img_502_srw@.png,config/big_hero/normal/img_502_srw@.png,1.1,{x=20;y=20},koudai_shuangrenwan/hero_shuangrenwan.skel,,config/big_hero/standby/img_502_srw@.png,,,<59001;59011>,<24921;24922;24923>,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,0.8,,,,,,,,,,,,,,,,,,,,,,
192493,大剑鬼,bossmonster,3,3,,,<99>,,,,2493,,config/portrait/speedranktouxiang/img_503_djg@.png,config/portrait/jinglingtouxiang/img_503_djg@.png,config/portrait/jinglingtouxiang1/img_503_djg@.png,config/portrait/simple/img_503_djg@.png,config/big_hero/normal/img_503_djg@.png,1.4,{x=-35;y=20},koudai_dajiangui/hero_dajiangui.skel,,config/big_hero/standby/img_503_djg@.png,,,<59001;59011>,<24931;24932;24933>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,,1.5,,,,,,,,,,,,,,,,,,,,,,
192591,石丸子,bossmonster,2,13,,,<99>,,,,2591,,config/portrait/speedranktouxiang/img_524_swz@.png,config/portrait/jinglingtouxiang/img_524_swz@.png,config/portrait/jinglingtouxiang1/img_524_swz@.png,config/portrait/simple/img_524_swz@.png,config/big_hero/normal/img_524_swz@.png,,{x=15;y=20},koudai_shiwanzi/hero_shiwanzi.skel,,config/big_hero/standby/img_524_swz@.png,,,<59001;59011>,<25911;25912;25913>,,,{headPos={y=210;x=0};hitPos={y=115;x=0};lifePos={y=250;x=0};namePos={y=250;x=0}},,,,2.3,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,0.4,,,,,,,,,,,,,,,,,,,,,,
192592,地幔岩,bossmonster,2,13,,,<99>,,,,2592,,config/portrait/speedranktouxiang/img_525_dzy@.png,config/portrait/jinglingtouxiang/img_525_dzy@.png,config/portrait/jinglingtouxiang1/img_525_dzy@.png,config/portrait/simple/img_525_dzy@.png,config/big_hero/normal/img_525_dzy@.png,1.2,{x=0;y=30},koudai_dimanyan/hero_dimanyan.skel,,config/big_hero/standby/img_525_dzy@.png,,,<59001;59011>,<25921;25922;25923>,,,{headPos={y=240;x=0};hitPos={y=130;x=0};lifePos={y=280;x=0};namePos={y=280;x=0}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,0.9,,,,,,,,,,,,,,,,,,,,,,
192593,庞岩怪,bossmonster,2,13,,,<99>,,,,2593,,config/portrait/speedranktouxiang/img_526_pyg@.png,config/portrait/jinglingtouxiang/img_526_pyg@.png,config/portrait/jinglingtouxiang1/img_526_pyg@.png,config/portrait/simple/img_526_pyg@.png,config/big_hero/normal/img_526_pyg@.png,1.6,{x=25;y=30},koudai_pangyanguai/hero_pangyanguai.skel,,config/big_hero/standby/img_526_pyg@.png,,,<59001;59011>,<25931;25932;25933>,,,{headPos={y=290;x=0};hitPos={y=155;x=0};lifePos={y=330;x=0};namePos={y=330;x=0}},,,,2.8,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,1.7,,,,,,,,,,,,,,,,,,,,,,
192611,螺钉地鼠,bossmonster,2,9,,,<99>,,,,2611,,config/portrait/speedranktouxiang/img_529_ldds@.png,config/portrait/jinglingtouxiang/img_529_ldds@.png,config/portrait/jinglingtouxiang1/img_529_ldds@.png,config/portrait/simple/img_529_ldds@.png,config/big_hero/normal/img_529_ldds@.png,,{x=5;y=30},koudai_luodingdishu/hero_luodingdishu.skel,,config/big_hero/standby/img_529_ldds@.png,,{x=140;y=-20},<59001;59011;26116>,<26111;26112;26113>,,,{headPos={y=190;x=0};hitPos={y=105;x=0};lifePos={y=230;x=0};namePos={y=230;x=0}},,,,2.1,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,0.3,,,,,,,,,,,,,,,,,,,,,,
192612,龙头地鼠,bossmonster,2,9,17,,<99>,,,,2612,,config/portrait/speedranktouxiang/img_530_ltds@.png,config/portrait/jinglingtouxiang/img_530_ltds@.png,config/portrait/jinglingtouxiang1/img_530_ltds@.png,config/portrait/simple/img_530_ltds@.png,config/big_hero/normal/img_530_ltds@.png,1.25,{x=30;y=25},koudai_longtoudishu/hero_longtoudishu.skel,,config/big_hero/standby/img_530_ltds@.png,,{x=140;y=-20},<59001;59011;26126>,<26121;26122;26123>,,,{headPos={y=200;x=0};hitPos={y=110;x=0};lifePos={y=240;x=0};namePos={y=240;x=0}},,,,2.5,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,0.7,,,,,,,,,,,,,,,,,,,,,,
192631,搬运小匠,bossmonster,2,7,,,<99>,,,,2631,,config/portrait/speedranktouxiang/img_532_byxj@.png,config/portrait/jinglingtouxiang/img_532_byxj@.png,config/portrait/jinglingtouxiang1/img_532_byxj@.png,config/portrait/simple/img_532_byxj@.png,config/big_hero/normal/img_532_byxj@.png,1.3,{x=-20;y=0},koudai_banyunxiaojiang/hero_banyunxiaojiang.skel,,config/big_hero/standby/img_532_byxj@.png,,,<59001;59011>,<26311;26312;26313>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,1.9,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,0.6,,,,,,,,,,,,,,,,,,,,,,
192632,铁骨土人,bossmonster,2,7,,,<99>,,,,2632,,config/portrait/speedranktouxiang/img_533_tgtr@.png,config/portrait/jinglingtouxiang/img_533_tgtr@.png,config/portrait/jinglingtouxiang1/img_533_tgtr@.png,config/portrait/simple/img_533_tgtr@.png,config/big_hero/normal/img_533_tgtr@.png,1.4,{x=60;y=25},koudai_tieguturen/hero_tieguturen.skel,,config/big_hero/standby/img_533_tgtr@.png,,,<59001;59011>,<26321;26322;26323>,,,{headPos={y=260;x=0};hitPos={y=140;x=0};lifePos={y=300;x=0};namePos={y=300;x=0}},,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,1.2,,,,,,,,,,,,,,,,,,,,,,
192633,修建老匠,bossmonster,2,7,,,<99>,,,,2633,,config/portrait/speedranktouxiang/img_534_xjlj@.png,config/portrait/jinglingtouxiang/img_534_xjlj@.png,config/portrait/jinglingtouxiang1/img_534_xjlj@.png,config/portrait/simple/img_534_xjlj@.png,config/big_hero/normal/img_534_xjlj@.png,2.4,{x=30;y=60},koudai_xiujianlaojiang/hero_xiujianlaojiang.skel,,config/big_hero/standby/img_534_xjlj@.png,,,<59001;59011>,<26331;26332;26333>,,,{headPos={y=270;x=0};hitPos={y=145;x=0};lifePos={y=310;x=0};namePos={y=310;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,1.4,,,,,,,,,,,,,,,,,,,,,,
192681,百足蜈蚣,bossmonster,2,12,8,,<99>,,,,2681,,config/portrait/speedranktouxiang/img_543_bzwg@.png,config/portrait/jinglingtouxiang/img_543_bzwg@.png,config/portrait/jinglingtouxiang1/img_543_bzwg@.png,config/portrait/simple/img_543_bzwg@.png,config/big_hero/normal/img_543_bzwg@.png,1.4,{x=10;y=90},koudai_baizuwugong/hero_baizuwugong.skel,,config/big_hero/standby/img_543_bzwg@.png,,,<59001;59011>,<26811;26812;26813>,,,{headPos={y=200;x=0};hitPos={y=110;x=0};lifePos={y=240;x=0};namePos={y=240;x=0}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,0.4,,,,,,,,,,,,,,,,,,,,,,
192682,车轮球,bossmonster,2,12,8,,<99>,,,,2682,,config/portrait/speedranktouxiang/img_544_clq@.png,config/portrait/jinglingtouxiang/img_544_clq@.png,config/portrait/jinglingtouxiang1/img_544_clq@.png,config/portrait/simple/img_544_clq@.png,config/big_hero/normal/img_544_clq@.png,1.25,{x=70;y=10},koudai_chelunqiu/hero_chelunqiu.skel,,config/big_hero/standby/img_544_clq@.png,,,<59001;59011>,<26821;26822;26823>,,,{headPos={y=230;x=0};hitPos={y=125;x=0};lifePos={y=270;x=0};namePos={y=270;x=0}},,,,2.8,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,,1.2,,,,,,,,,,,,,,,,,,,,,,
192683,蜈蚣王,bossmonster,2,12,8,,<99>,,,,2683,,config/portrait/speedranktouxiang/img_545_wgw@.png,config/portrait/jinglingtouxiang/img_545_wgw@.png,config/portrait/jinglingtouxiang1/img_545_wgw@.png,config/portrait/simple/img_545_wgw@.png,config/big_hero/normal/img_545_wgw@.png,1.4,{x=35;y=0},koudai_wugongwang/hero_wugongwang.skel,,config/big_hero/standby/img_545_wgw@.png,,,<59001;59011>,<26831;26832;26833>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.5,,2.5,,,,,,,,,,,,,,,,,,,,,,
192721,黑眼鳄,bossmonster,3,9,16,,<2721;99>,,,,2721,,config/portrait/speedranktouxiang/img_551_hye@.png,config/portrait/jinglingtouxiang/img_551_hye@.png,config/portrait/jinglingtouxiang1/img_551_hye@.png,config/portrait/simple/img_551_hye@.png,config/big_hero/normal/img_551_hye@.png,,{x=0;y=10},koudai_heiyane/hero_heiyane.skel,,config/big_hero/standby/img_551_hye@.png,,{x=140;y=-20},<59001;59011>,<27211;27212;27213>,,,{headPos={y=160;x=0};hitPos={y=90;x=0};lifePos={y=200;x=0};namePos={y=200;x=0}},,,,2.4,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,0.7,,,,,,,,,,,,,,,,,,,,,,
192722,混混鳄,bossmonster,3,9,16,,<2721;99>,,,,2722,,config/portrait/speedranktouxiang/img_552_hhe@.png,config/portrait/jinglingtouxiang/img_552_hhe@.png,config/portrait/jinglingtouxiang1/img_552_hhe@.png,config/portrait/simple/img_552_hhe@.png,config/big_hero/normal/img_552_hhe@.png,,,koudai_hunhune/hero_hunhune.skel,,config/big_hero/standby/img_552_hhe@.png,,{x=140;y=-20},<59001;59011>,<27221;27222;27223>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,2.6,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,,1,,,,,,,,,,,,,,,,,,,,,,
192723,流氓鳄,bossmonster,3,9,16,,<2721;99>,,,,2723,,config/portrait/speedranktouxiang/img_553_lme@.png,config/portrait/jinglingtouxiang/img_553_lme@.png,config/portrait/jinglingtouxiang1/img_553_lme@.png,config/portrait/simple/img_553_lme@.png,config/big_hero/normal/img_553_lme@.png,,{x=15;y=5},koudai_liumange/hero_liumange.skel,,config/big_hero/standby/img_553_lme@.png,,{x=140;y=-20},<59001;59011>,<27231;27232;27233>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.8,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,1.5,,,,,,,,,,,,,,,,,,,,,,
192821,索罗亚,bossmonster,3,16,,,<99>,,,,2821,,config/portrait/speedranktouxiang/img_570_sly@.png,config/portrait/jinglingtouxiang/img_570_sly@.png,config/portrait/jinglingtouxiang1/img_570_sly@.png,config/portrait/simple/img_570_sly@.png,config/big_hero/normal/img_570_sly@.png,,{x=0;y=40},koudai_suoluoya/hero_suoluoya.skel,,config/big_hero/standby/img_570_sly@.png,,{x=140;y=-20},<59001;59011>,<28211;28212;28213>,,,{headPos={y=210;x=0};hitPos={y=115;x=0};lifePos={y=250;x=0};namePos={y=250;x=0}},,,,1.8,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,0.7,,,,,,,,,,,,,,,,,,,,,,
192822,索罗亚克,bossmonster,3,16,,,<99>,,,,2822,,config/portrait/speedranktouxiang/img_571_slyk@.png,config/portrait/jinglingtouxiang/img_571_slyk@.png,config/portrait/jinglingtouxiang1/img_571_slyk@.png,config/portrait/simple/img_571_slyk@.png,config/big_hero/normal/img_571_slyk@.png,1.8,{x=0;y=-10},koudai_suoluoyake/hero_suoluoyake.skel,,config/big_hero/standby/img_571_slyk@.png,,{x=140;y=-20},<59001;59011>,<28221;28222;28223>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.3,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,,1.6,,,,,,,,,,,,,,,,,,,,,,
192831,泡沫栗鼠,bossmonster,2,,,,<99>,,,,2821,,config/portrait/speedranktouxiang/img_572_pmls@.png,config/portrait/jinglingtouxiang/img_572_pmls@.png,config/portrait/jinglingtouxiang1/img_572_pmls@.png,config/portrait/simple/img_572_pmls@.png,config/big_hero/normal/img_572_pmls@.png,,{x=10;y=10},koudai_paomolishu/hero_paomolishu.skel,,config/big_hero/standby/img_572_pmls@.png,,{x=140;y=-20},<59001;59011>,<28311;28312;28313>,,,{headPos={y=240;x=0};hitPos={y=130;x=0};lifePos={y=280;x=0};namePos={y=280;x=0}},,,,2.1,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,0.7,,,,,,,,,,,,,,,,,,,,,,
192832,奇诺栗鼠,bossmonster,2,,,,<99>,,,,2822,,config/portrait/speedranktouxiang/img_573_qnls@.png,config/portrait/jinglingtouxiang/img_573_qnls@.png,config/portrait/jinglingtouxiang1/img_573_qnls@.png,config/portrait/simple/img_573_qnls@.png,config/big_hero/normal/img_573_qnls@.png,1.1,{x=20;y=10},koudai_qinuolishu/hero_qinuolishu.skel,,config/big_hero/standby/img_573_qnls@.png,,{x=140;y=-20},<59001;59011>,<28321;28322;28323>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,2.25,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,,1.6,,,,,,,,,,,,,,,,,,,,,,
192841,哥德宝宝,bossmonster,2,11,,,<99>,,,,2841,,config/portrait/speedranktouxiang/img_574_gdbb@.png,config/portrait/jinglingtouxiang/img_574_gdbb@.png,config/portrait/jinglingtouxiang1/img_574_gdbb@.png,config/portrait/simple/img_574_gdbb@.png,config/big_hero/normal/img_574_gdbb@.png,,{x=20;y=20},koudai_gedebaobao/hero_gedebaobao.skel,,config/big_hero/standby/img_574_gdbb@.png,,,<59001;59011>,<28411;28412;28413>,,,{headPos={y=280;x=0};hitPos={y=140;x=0};lifePos={y=280;x=0};namePos={y=320;x=0}},,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,0.4,,,,,,,,,,,,,,,,,,,,,,
192842,哥德小童,bossmonster,2,11,,,<99>,,,,2842,,config/portrait/speedranktouxiang/img_575_gdxt@.png,config/portrait/jinglingtouxiang/img_575_gdxt@.png,config/portrait/jinglingtouxiang1/img_575_gdxt@.png,config/portrait/simple/img_575_gdxt@.png,config/big_hero/normal/img_575_gdxt@.png,,,koudai_gedexiaotong/hero_gedexiaotong.skel,,config/big_hero/standby/img_575_gdxt@.png,,,<59001;59011>,<28421;28422;28423>,,,{headPos={y=280;x=0};hitPos={y=160;x=0};lifePos={y=300;x=0};namePos={y=320;x=0}},,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,0.7,,,,,,,,,,,,,,,,,,,,,,
192843,哥德小姐,bossmonster,2,11,,,<99>,,,,2843,,config/portrait/speedranktouxiang/img_576_gdxj@.png,config/portrait/jinglingtouxiang/img_576_gdxj@.png,config/portrait/jinglingtouxiang1/img_576_gdxj@.png,config/portrait/simple/img_576_gdxj@.png,config/big_hero/normal/img_576_gdxj@.png,1.4,{x=0;y=-60},koudai_gedexiaojie/hero_gedexiaojie.skel,,config/big_hero/standby/img_576_gdxj@.png,,,<59001;59011>,<28431;28432;28433>,,,{headPos={y=280;x=0};hitPos={y=170;x=0};lifePos={y=340;x=0};namePos={y=320;x=0}},,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,1.5,,,,,,,,,,,,,,,,,,,,,,
