变量名,type,_yyId,card,helditem,item,desc
214,6,,<2391;1281;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22391;21281;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
215,6,,<7181;7161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27181;27161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
216,6,,<1991;2431;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;21991;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
217,6,,<2461;2381;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22461;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
218,6,,<7041;4024;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27041;24024;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
219,6,,<7191;7171;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27191;27171;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
220,6,,<2461;2391;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22461;22391;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
221,6,,<7081;4683;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27081;24683;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
222,6,,<2441;1281;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22441;21281;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
223,6,,<2352;5381;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22352;25381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
224,6,,<2361;3611;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22361;23611;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
225,6,,<4161;3221;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23221;24161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
226,6,,<3601;1991;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23601;21991;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
227,6,,<7181;7201;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27181;27201;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
228,6,,<4591;7021;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24591;27021;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
229,6,,<4601;7051;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24601;27051;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
230,6,,<7191;7211;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27191;27211;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
231,6,,<3651;1991;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23651;21991;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
232,6,,<7061;7071;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27061;27071;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
233,6,,<7021;4683;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27021;24683;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
234,6,,<3623;2391;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23621;22391;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
235,6,,<2352;7221;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22352;27221;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
236,6,,<3601;2461;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23601;22461;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
237,6,,<4101;4682;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24101;24682;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
238,6,,<4024;3271;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24024;23271;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
239,6,,<2362;7201;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22362;27201;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
240,6,,<2421;3611;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22421;23611;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
241,6,,<4631;4024;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24631;24024;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
242,6,,<4683;7051;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24683;27051;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
243,6,,<4631;7081;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24631;27081;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
244,6,,<4631;7041;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;24631;27041;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
245,6,,<5561;7211;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;25561;27211;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
246,6,,<5481;7221;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;25481;27221;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
247,6,,<7031;7161;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;27031;27161;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
248,6,,<2362;7231;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;22362;27231;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
249,6,,<3271;3601;tag_cardS;tag_cardA;tag_cardB>,,<502;521;501;23271;23601;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
1001,5,惊喜捞一捞展示,,,<92351;90731;502;142;59003;59002;2103;124;15;5000;870>,
1002,5,好运抽奖展示,<2031>,,<503;521;519;502;451;529;850;100;2101;12;605;gold;rmb;stamina>,
1003,5,,,,<92391;90881;502;142;59003;59002;2103;124;15;5000;870>,
1101,5,,,,<8126;8125;502;142;59003;59002;2103;124;15;5000;870>,
1201,8,,<9003>,,<7900;7901;7902;521;59003;526;501;6050;925;gold;502;stamina;59002;22381;22431;22441;23631;21261;21961;21971;21981;21991;23261;22351;22361;22391;23211;23221;23241;23641;23611;21281;23271;23201;23191;23231;23961;22411;24081;24071;22371;24151;24031;24141;24061;20991;24051;24041;24621;22491;20561;20321;20251;23831;24623;24012>,
1211,15,,,,,<<rarityEmera1;50>;<rarityEmera2;27>;<rarityEmera3;15>;<rarityEmera4;6.4>;<rarityEmera5;1.6>>
1221,16,,<tag_cardA;tag_cardB>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
