变量名,weatherDetail,contestEndTime,betEndTime,rightTeam,leftTeam,contestDate,betID,weatherSkillIDs,weatherID,__version
1016,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,92,91,,,,<>,
1017,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,3,2,,2,,<>,
1018,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,19,31,,3,,<>,
1019,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,7,1,,4,,<>,
1020,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,113,38,,5,,<>,
1021,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,108,107,2,6,,<>,
1022,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,31,106,2,7,,<>,
1023,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,5,6,2,8,,<>,
1024,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,70,101,2,9,,<>,
1025,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,26,49,2,10,,<>,
1026,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,11,1,3,11,,<>,
1027,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,115,7,3,12,,<>,
1028,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,106,105,3,13,,<>,
1029,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,4,3,3,14,,<>,
1030,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,13,115,3,15,,<>,
1031,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,2,1,,,,<>,
1032,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,4,3,,2,,<>,
1033,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,6,5,,3,,<>,
1034,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,8,7,,4,,<>,
1035,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,10,9,,5,,<>,
1036,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,12,11,2,6,,<>,
1037,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,14,13,2,7,,<>,
1038,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,16,15,2,8,,<>,
1039,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,18,17,2,9,,<>,
1040,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,20,19,2,10,,<>,
1041,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,22,21,3,11,,<>,
1042,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,24,23,3,12,,<>,
1043,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,26,25,3,13,,<>,
1044,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,28,27,3,14,,<>,
1045,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,30,29,3,15,,<>,
1046,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,32,31,,,,<>,
1047,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,34,33,,2,,<>,
1048,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,36,35,,3,,<>,
1049,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,38,37,,4,,<>,
1050,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,40,39,,5,,<>,
1051,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,42,41,2,6,,<>,
1052,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,44,43,2,7,,<>,
1053,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,46,45,2,8,,<>,
1054,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,48,47,2,9,,<>,
1055,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,50,49,2,10,,<>,
1056,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,52,51,3,11,,<>,
1057,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,54,53,3,12,,<>,
1058,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,56,55,3,13,,<>,
1059,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,58,57,3,14,,<>,
1060,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,60,59,3,15,,<>,
1061,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,62,61,,,,<>,
1062,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,64,63,,2,,<>,
1063,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,66,65,,3,,<>,
1064,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,68,67,,4,,<>,
1065,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,70,69,,5,,<>,
1066,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,72,71,2,6,,<>,
1067,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,74,73,2,7,,<>,
1068,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,76,75,2,8,,<>,
1069,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,78,77,2,9,,<>,
1070,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,80,79,2,10,,<>,
1071,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,82,81,3,11,,<>,
1072,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,84,83,3,12,,<>,
1073,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,86,85,3,13,,<>,
1074,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,88,87,3,14,,<>,
1075,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,90,89,3,15,,<>,
1081,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,122,121,,,,<>,
1082,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,124,123,,2,,<>,
1083,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,126,125,,3,,<>,
1084,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,128,127,,4,,<>,
1085,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,130,129,,5,,<>,
1086,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,132,131,2,6,,<>,
1087,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,134,133,2,7,,<>,
1088,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,93,135,2,8,,<>,
1089,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,138,137,2,9,,<>,
1090,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,140,139,2,10,,<>,
1091,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1401,1400,142,141,3,11,,<>,
1092,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1501,1500,144,143,3,12,,<>,
1093,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1601,1600,146,145,3,13,,<>,
1094,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1701,1700,148,147,3,14,,<>,
1095,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",1801,,150,149,3,15,,<>,
